Program Name,Acronym,Agency Owner,Program Type,Budget,Contract Vehicle Used,Prime Contractor,Key Subcontractors,Period of Performance,Recompete Date,Incumbent Score,Related Jobs,COR/COTR,Clearance Requirements,Confidence Level,Contract Value,Contract Vehicle/Type,Key Locations,Keywords/Signals,Known Subcontractors,Notes,PTS Involvement,Pain Points,Period of Performance (Original),PoP End,PoP Start,Prime Contractor 1,Priority Level,Program Manager,Security Requirements,Source Evidence,Technical Stack,Typical Roles
CAMMO (AF Satellite Control Network O&M),CAMMO,Space Force,,,,,,,,,,,"Secret, TS/SCI",Medium,$446M,Single Award,Worldwide SATCOM tracking stations,“SATCOM O&M”,L3Harris; LinQuest (indicative),,,,~2017–2024,2024,2017,CACI,Medium,,,Program line in sheet,,RF techs; schedulers; network ops; SATCOM operators
Castle Net (Recompete),Castle Net,DoD,,,,,,,,,,,Secret,Medium,,RECOMPETE,,“Recompete list”,,,,,Upcoming,,,,Medium,,,Row entry,,IT ops; admins; engineers
CBP Enterprise IT Support,CBP-Peraton,DHS,,,,,,,,,,,"Public Trust, Secret",Medium,,Services,CBP sites nationwide,“Border IT”,,,,,Ongoing,Ongoing,,Peraton,Medium,,,Program line,,IT/cyber support staff; network engineers; help desk
CBP Traveler Processing & Vetting / BISS,TPVS / BISS,DHS,Professional Services,,,,,,,,,,TS/SCI,Medium,,~2020–2026,TS (some SCI),IT Ops / Analytics,,,,,Ashburn VA,,,ManTech (TPVS/BISS); CACI (BISS follow-on),Medium,,,Medium,,“ManTech Data Scientist SME… TPVS/BISS… Ashburn”
CDAO Advanced AI Tools (Scale AI OTA),Donovan,DoD,R&D,,,,,,,,,,TS/SCI,Medium,$100M,OTA,DoD secure enclaves,“Advanced AI Tools OTA… deployable to TS/SCI enclaves”,DoD labs; integrators,,,,2025–2030,2030,2025,Scale AI,Medium,,,Program description,,ML engineers; data labeling teams; AI DevOps
CDAO AI Tools OTA (Expanded),Donovan,DoD,R&D,,,,,,,,,,TS/SCI,Medium,$100M,OTA,DoD secure enclaves,“Scale AI… deployable AI tools up to TS/SCI”,,,,,2025,,2025,Scale AI,Medium,,,OTA notes,,AI engineers; data labelers; DevOps
CENTCOM Comms Tech Support V,CTSS V,DoD,,,,,,,,,,,"Secret, Top Secret",High,$865M,Single Award,20 countries (SW Asia AOR),“CTSS V… 20 countries… high-turnover… AVI-SPL sub usage”,AVI-SPL,,,,~2023–2030,2030,2023,GovCIO (Salient CRGT),High,,,CTSS V entry in Top-20,,Deployable comms techs; RF engineers; SATCOM; network admins
CENTCOM Enterprise IT Modernization,,DoD,,,,,,,,,,,"Secret, Top Secret",High,$922M,Single Award,MacDill AFB; CENTCOM sites OCONUS,“CENTCOM EITM… GDIT… AVI-SPL subs… enterprise modernization”,AVI-SPL; IT staffing partners,,,,~2023–2029,2029,2023,GDIT,High,,,Program description,,Cloud architects; cyber engineers; legacy IT sustainment
CISA Enterprise Support (CACI),CISA-CACI,DHS,Cyber,,,,,,,,,,Secret,Medium,,Services,NCR,“CISA support”,,,,,Ongoing,Ongoing,,CACI,Medium,,,Program line,,Cybersecurity; IT ops support
Cloud One,Cloud One,Air Force,,,,,,,,,,,Secret,High,$727M,Single Award,Hanscom AFB; remote,“AF Cloud migration; Azure/AWS”,,,,,~2020–2025,2025,2020,SAIC,High,,,Cloud One value from program intel,,Cloud engineers; DevSecOps; cyber
Cloud One (USAF Cloud Program),Cloud One,Air Force,,,,,,,,,,,Secret,High,$727M,Single Award,Hanscom AFB; remote,“USAF common multi-cloud environment”,Unnamed subcontractors,,,,2020–2025,2025,2020,SAIC,High,,,Cloud One description,,Cloud engineers; DevSecOps
CMMARS (Navy Rapid C5ISR),CMMARS,Navy,,,,,,,,,,,Secret,Medium,,IDIQ,NAVWAR,“Navy rapid C5ISR”,Multiple subs,,,,Ongoing,Ongoing,,Multiple,Medium,,,NAVWAR program entry,,Rapid C5ISR engineering; prototyping; integration
CMS Enterprise Cloud Infrastructure Services,ECIS,DoD,,,,,,,,,,,Public Trust,Medium,,Services,CMS,“CMS cloud”,,,,,Ongoing,Ongoing,,Peraton / SAIC (indicative),Medium,,,Row entry,,Cloud engineers; cloud ops
CMS FPS2,FPS2,DoD,,,,,,,,,,,Public Trust,Low,,CONTRACT,CMS,“FPS2”,,,,,Ongoing,Ongoing,,,Low,,,Row entry,,DevOps; developers
"Command & Control, Battle Mgmt & Comms (MDA) – Secondary Row",C2BMC,MDA,,,,,,,,,,,"Secret, TS/SCI",Medium,,R&D,Colorado Springs; Huntsville,“C2BMC… software/network-centric”,Parsons; Tetra Tech,,,,Multi-year,,,Northrop Grumman,Medium,,,Same dataset as earlier rows,,SW engineers; network engineers; cyber engineers
"Command & Control, Battle Mgmt & Comms",C2BMC,MDA,,,,,,,,,,,"Secret, TS/SCI",Medium,Multi-$B,FOLLOW-ON (NEXT),Huntsville / Schriever,Global missile defense C2,"Northrop, Raytheon subs",,,,2024 award (Next),,2024,Lockheed Martin,Medium,,,,,"C2 SW, integration"
"Command and Control, Battle Management & Communications (MDA)",C2BMC,MDA,,,,,,,,,,,"Secret, TS/SCI",Medium,,R&D,Colorado Springs CO; Huntsville AL,“MDA C2BMC heavily software/network-centric; small biz partners sought”,Parsons; Tetra Tech (support contracts cited),,,,Multi-year,,,Northrop Grumman,Medium,,,“C2BMC program may seek small biz partners; PTS cyber/network relevant”,,Software engineers; network engineers; cyber engineers
"Command and Control, Battle Management, Communications",C2BMC,MDA,,,,,,,,,,,"Secret, TS/SCI",Medium,,,Colorado Springs CO; Huntsville AL (indicative),“C2BMC”,,,,,,,,Lockheed Martin,Medium,,,“C2BMC”,,Systems engineers; software development/test; network engineers
Commercial Virtual Remote Collaboration (Legacy) – Secondary Row,CVR,DISA,Professional Services,,,,,,,,,,Secret,Medium,,2020–2021,IL5/IL6,IT Ops / Cyber,,,,,Remote CONUS,,,,Medium,,,Medium,,“CVR… Teams… O365 sunset”
Commercial Virtual Remote Collaboration Support (legacy),CVR,DISA,Professional Services,,,,,,,,,,Secret,Medium,,2020–2021,IL5 / IL6,IT Ops / Cyber,,,,,Remote (all CONUS bases),,,,Medium,,,Medium,,"“CVR, Teams, Remote Collaboration, O365 sunset, DOD365”"
Common Open Operational Launch Range,COOLR,Space Force,,,,,,,,,,,Secret,Medium,,R&D,Ranges (test ranges),“Launch range C2”,,,,,Ongoing,Ongoing,,Lockheed Martin (indicative),Medium,,,,,C2 / Range software engineers
Comms Technical Support V,CTSS V,DoD,,,,,,,,,,,"Secret, Top Secret",High,$865M,,SW Asia AOR + MacDill AFB reach-back,“OCONUS rotations”; “$865M… OCONUS support”,Prior incumbent GDIT; AVI-SPL (A/V),,,,7 years,,,GovCIO (Salient CRGT),High,,,Provided CTSS V details,,Deployed comms techs; network eng; IT O&M technicians
Consolidated AFSCN Mod & Ops,CAMMO,Space Force,,,,,,,,,,,"Secret, Top Secret",High,$446M,Single Award,"Schriever SFB CO; worldwide tracking stations (HI, DG, UK)",“AFSCN Operations… merged three contracts… L3Harris principal subcontractor”,L3Harris; KBR/FTI; LinQuest,,,,2017–2024 (+extensions),2024,2017,CACI (via L-3 NSS acquisition),High,,,CAMMO description as provided,,Satellite tracking ops; RF techs; network engineers
Consolidated AFSCN Mod & Ops – Secondary Row,CAMMO,Space Force,,,,,,,,,,,"Secret, Top Secret",High,$446M,Single Award,Schriever SFB; worldwide tracking,“AFSCN O&M… merged contracts… CACI prime”,L3Harris; KBR; LinQuest,,,,2017–2024,2024,2017,CACI,High,,,CAMMO reference,,Satellite controllers; RF techs; network ops
Conventional Prompt Strike,CPS,Army,Weapon Systems,,,,,,,,,,"Secret, Top Secret",Medium,Multi-$B,Production,Fleet & Army strategic sites,“Hypersonic missiles”,Northrop; others,,,,2019–,,2019,Lockheed Martin,Medium,,,,,Hypersonic engineers; test engineers; flight test support
Conventional Prompt Strike – Secondary Row,CPS,Navy,Weapon Systems,,,,,,,,,,"Secret, Top Secret",Medium,Multi-$B,Production,Fleet & Army,“Hypersonic missiles”,Northrop; subsystem providers,,,,2019–,,2019,Lockheed Martin,Medium,,,Hypersonics notes,,Hypersonic engineering; embedded software; flight test
Counterintelligence Field Activity,CIFA,DIA,Intel,,,,,,,,,,TS/SCI w/ Poly,Low,,,Washington DC,"“Counterintel, CIFA, CI Agent”",unknown,,,,Ongoing,Ongoing,,CACI,Low,,,Older PTS past performance notes,,HUMINT; CI analyst; intel support
Counterintelligence Field Activity – Secondary Row,CIFA,DIA,Intel,,,,,,,,,,TS/SCI w/ Poly,Low,,,Washington DC,“CIFA”,unknown,,,,Ongoing,Ongoing,,CACI,Low,,,PTS past performance notes,,HUMINT; CI agents; intel collection
CRIP (Indicative Program),CRIP,DoD,Professional Services,,,,,,,,,,Secret,Medium,,PROGRAM,Secret,IT Ops,,,,,,,,,Medium,,,Medium,,“CRIP”
CTSS V (Expanded Listing),CTSS V,DoD,,,,,,,,,,,"Secret, Top Secret",High,$865M,Task Order,Qatar; Kuwait; Bahrain; Iraq; etc.,“Comprehensive comms & IT O&M across CENTCOM AOR”,AVI-SPL; Trace Systems (likely),,,,7 years,,,GovCIO,High,,,CTSS V narrative,,Comms techs; RF; SATCOM; network administrators
CYBAR TRON (Recompete),CYBAR TRON,DoD,Cyber,,,,,,,,,,Secret,Medium,,RECOMPETE,,“CYBAR TRON”,,,,,Upcoming,,,,Medium,,,Row entry,,Cyber engineers; cyber analysts
Data Center & Cloud Optimization,DCCO,DHS,,,,,,,,,,,"Public Trust, Secret",Medium,,ENTERPRISE IT,NCR,“DHS cloud/DC”,Multiple,,,,Ongoing,Ongoing,,Peraton / Leidos (indicative),Medium,,,Row text,,Cloud ops; DC ops
DC3 – Defense Cyber Crime Center,DC3,DoD,Cyber,,,,,,,,,,TS/SCI,Medium,,PROGRAM,Linthicum MD,“DC3”,,,,,Ongoing,Ongoing,,Peraton,Medium,,,,,Forensics; malware; cyber intel
DC3 Cyber Crime Center – Secondary Row,DC3,DoD,Cyber,,,,,,,,,,Secret,Medium,,ONGOING,TS/SCI,Cyber,,,,,Linthicum MD,,,Peraton,Medium,,,Medium,,“DC3 forensics”
Defense Cyber Crime Center,DC3,DoD,Cyber,,,,,,,,,,TS/SCI,Medium,,PROGRAM,Linthicum MD,“DC3”,,,,,Ongoing,Ongoing,,Peraton,Medium,,,Row text,,Digital forensics; malware analysis; cyber investigators
Defense Enclave Services,DES,DoD,,,,,,,,,,,Secret,High,$11.5B,,Fort Belvoir VA (HQ),“PTS is already on DES (Fort Belvoir placements)”,PTS (subcontractor),,,,needs-scrape,,,Leidos,High,,,BD evidence,,Systems engineers; IT support; service desk; NOC staff
Defense Enclave Services – Fourth Estate IT Consolidation,DES,DISA,,,,,,,,,,,Secret,High,$11.5B,IDIQ,Fort Meade MD; Fort Belvoir VA; Columbus OH; Philadelphia PA,“DES… Leidos… large IT consolidation; subs incl. NOVA-Diné”,NOVA-Diné; Accenture Federal; AT&T; Thundercat; various SBs,,,,2022–2030,2030,2022,Leidos,High,,,Provided row text,,Migration engineers; service desk; deskside support; floor-walkers; NOC/enterprise support
Defense Enclave Services (DoDNet),DES (DoDNet),DISA,,,,,,,,,,,"Secret, Top Secret",High,$11.5B,IDIQ,Fort Belvoir; multiple 4th Estate bases,“Consolidating 4th Estate networks… PTS placed desktop support at Belvoir”,NOVA-Diné; other tribal small businesses; cleared IT subs,,,,Multi-year (varies by TO),,,Leidos,High,,,DES intel lines,,Help desk; sysadmin; network/security ops
Defense Enterprise Office 365 Migration / DoD365,DOD365,DISA,Cyber,,,,,,,,,,Secret,High,,BLANKET PURCHASE AGREEMENT,Crystal City VA; remote,“DOD365; Microsoft 365; Flank Speed; cloud migration”,Five Star Technology Solutions,,,,2021–Present,Ongoing,2021,Microsoft,High,,,CVR/CCPO support references,,O365 admins; migration leads; help desk; Teams/Exchange engineers
Defense Enterprise Office Solutions,DEOS,DISA,,,,,,,,,,,"Public Trust, Secret, Top Secret",Low,,ENTERPRISE CLOUD SAAS / UC CONTRACT,DoD & federal offices CONUS/OCONUS,“DEOS PMO referenced in DISA Hosting & Compute context”,,,,,Multi-year,,,CSRA / Leidos (team),Low,,,Provided notes,,O365/Teams engineers; cloud architects; UC engineers; enterprise email support
Defense Health Agency Desktop to Datacenter,D2D,DoD,,,,,,,,,,,Secret,Medium,$4.3B,IDIQ,San Antonio TX; NCR; Hawaii,"“DHA, D2D, Desktop to Datacenter, GDIT”",Leidos; Perspecta; DHA IT partners,,,,2020–2028,2028,2020,GDIT,Medium,,,“Top 20 DoD Programs”,,Desktop support; help desk; sysadmin; endpoint engineers
Defense Health Agency Modernization / MHS GENESIS,MHS GENESIS,DoD,,,,,,,,,,,"Public Trust, Secret",Medium,$4.3B,IDIQ,San Antonio TX; Falls Church VA,“DHA; MHS GENESIS; Leidos; Healthcare IT”,Cerner;; Booz Allen Hamilton,,,,2015–2026,2026,2015,Leidos,Medium,,,BD cross-reference,,Healthcare IT engineers; systems analysts; clinical/tech integration roles
Defense Logistics Agency – J6 Enterprise Technology Services,DLA JETS,DoD,Professional Services,,,,,,,,,,Secret,Medium,,MULTI-YEAR,Secret (indicative),IT Ops,,,,,Fort Belvoir; DLA CONUS,,,Multiple (IDIQ pool),Medium,,,Medium,,“DLA JETS”
Defense Satellite Communications Modernization,DSCM (Satellite),Space Force,,,,,,,,,,,Secret,Medium,,SATCOM MODERNIZATION,Colorado Springs; Fort Meade,“DSCM Satellite”,,,,,Multi-year,,,CACI,Medium,,,Row text,,SATCOM RF engineers; network engineers
DFAS Enterprise IT Support – Secondary Row,DFAS-Peraton,DoD,,,,,,,,,,,Public Trust,Medium,,Services,DFAS nationwide,“Finance IT support”,,,,,Ongoing,Ongoing,,Peraton,Medium,,,Row listing,,Financial IT; ERP modernization
DFAS Enterprise Support,DFAS-Peraton,DoD,,,,,,,,,,,Public Trust,Medium,,Services,DFAS sites,“Finance IT”,,,,,Ongoing,Ongoing,,Peraton,Medium,,,,,Financial systems IT; ERP support
DGFS (RTX),DGFS,DoD,Weapon Systems,,,,,,,,,,Secret,Medium,,PROGRAM,Tucson AZ + other sites,“DGFS RTX”,,,,,Ongoing,Ongoing,,Raytheon (RTX),Medium,,,,,Munitions engineers; missile specialists
DHA Enterprise IT Services BPA,EITSI,DoD,,,,,,,,,,,"Public Trust, Secret",Medium,$2B,BPA,DHA sites,“Health IT”,Multiple,,,,2022–,,2022,Peraton (Perspecta heritage),Medium,,,Provided entry,,Service desk; modernization; health IT
DHA Enterprise IT Transformation,EITSI (BPA),DoD,,,,,,,,,,,"Public Trust, Secret",High,$2B,BPA,DHA sites,“Perspecta secures $2B BPA”,Multiple,,,,2022+,,2022,Peraton (Perspecta),High,,,BPA news references,,Health IT desk; modernization engineers; cyber
DHS Cybersecurity Support Contract,,DHS,Cyber,,,,,,,,,,Top Secret,Low,,Services,DC Metro,“He runs 100 people on a DHS DISA I think project”,,,,,Ongoing,Ongoing,,Five Star Technology Solutions,Low,,,Provided context,,Cybersecurity SMEs; program managers
DHS Data Center 2,DC2,DHS,,,,,,,,,,,"Public Trust, Secret",Medium,,DC HOSTING,DC2 sites,“DHS DC2”,Multiple,,,,Ongoing,Ongoing,,GDIT / Peraton (indicative),Medium,,,,,DC engineers; ops; cloud
DHS Enterprise IT Services I,EITS I,DHS,,,,,,,,,,,"Public Trust, Secret",Medium,,Task Order,DHS HQ,“DHS HQ IT”,Multiple subs,,,,Ongoing,Ongoing,,Leidos / SAIC (indicative),Medium,,,,,IT services; enterprise support
DIA Battlefield Information Networks / BICES-X,BICES-X,DIA,C5ISR,,,,,,,,,,TS/SCI,High,,IDIQ,Offutt AFB NE; Stuttgart Germany,"“BICES-X,” “DIA,” “Offutt,” “TS/SCI”",Peraton; GDIT,,,,Ongoing,Ongoing,,CACI,High,,,DIA mapping examples,,Network engineers; sysadmins; cyber analysts
DIA EMERALD,EMERALD,NGA,Professional Services,,,,,,,,,,Secret,Medium,,ONGOING,TS/SCI,Intel,,,,,Springfield VA (likely),,,Peraton (Perspecta heritage),Medium,,,Medium,,“Talent acquisition lead at Perspecta (now Peraton) for NGA’s EMERALD contract”
DIA Information Systems Engineering Office,ISEO,DIA,,,,,,,,,,,TS/SCI,High,$400M,IDIQ,Reston VA; JBAB DC,“DIA IT Sustainment”,Insight Global; TEKsystems,,,,2020–2027,2027,2020,Leidos,High,,,AI-Generated playbook,,Sysadmin; help desk; desktop support
DIA Infrastructure Services Enterprise Ops,ISEO,DIA,Intel,,,,,,,,,,TS/SCI w/ Poly,High,$401M,Task Order,JBAB DC; Reston VA,“Leidos secures $401M… manage DIA IT operations”,SHINE Systems + others,,,,~2020–2025,2025,2020,Leidos,High,,,Contract award notes,,Service desk; data center ops; mobile/IA teams
DIA Infrastructure Services Ops,ISEO,DIA,,,,,,,,,,,TS/SCI,High,$401M,Single Award,DIA HQ (DC) + field sites,“DIA ISEO… modernization & O&M… small biz”,SHINE Systems (SB),,,,~2020–2025,2025,2020,Leidos,High,,,Award description,,Service desk; mobile support; IA & data center
DIA ISEO,ISEO,DIA,,,,,,,,,,,TS/SCI,High,$400M,,Washington DC (Bolling); remote sites,“DIA ISEO – Leidos – TS/SCI IT workforce”,,,,,Ongoing,Ongoing,,Leidos,High,,,Line from BD artifacts,,IT support; help desk; desktop support
DIA ISEO (IT Sustainment for DIA),ISEO,DIA,Intel,,,,,,,,,,TS/SCI,High,$400M,,Washington DC; Fort Meade MD,“Staffing surge… clearance delays… BICES similarities”,Smaller cleared firms (unnamed),,,,Ongoing,Ongoing,,Leidos,High,,,Notes in program extraction,,Help desk; desktop; surge staffing
DIA IT Sustainment & Engineering Office,ISEO,DIA,Intel,,,,,,,,,,TS/SCI,High,$400M,COST-PLUS / SUSTAINMENT,Reston VA; JBAB DC,"“DIA ISEO,” “Help Desk,” “PTS angle”",Apex Systems; Insight Global,,,,Multi-year,,,Leidos,High,,,BD Playbook examples,,Help desk; desktop; IT sustainment engineers
DIA IT Sustainment & Enterprise Ops,ISEO,DIA,Intel,,,,,,,,,,TS/SCI,High,$400M,IDIQ,JBAB DC; DIA field sites,“$400M… large TS/SCI help desk & network ops”,SHINE Systems (SB) + others,,,,5+ years,,,Leidos,High,,,Program line,,Tier 1–3 help desk; VIP support; network operations
DIA IT Sustainment & Enterprise Ops (Task Order),ISEO,DIA,Intel,,,,,,,,,,TS/SCI,High,$400M,IDIQ,JBAB DC; Reston VA,“Backbone enterprise IT… small cleared firms fill routine support”,SHINE Systems + small SBs,,,,5+ years,,,Leidos,High,,,Provided BD notes,,Desktop/VIP support; service desk; network ops
DIA IT Sustainment (ISEO),ISEO,DIA,Sustainment,,,,,,,,,,TS/SCI,High,$400M,,Reston VA; Bolling AFB; CO,“ISEO… staffing gaps… surge TS/SCI support”,Small firms (surge IT),,,,Multi-year,,,Leidos,High,,,BD notes,,Desktop; help desk; TS-cleared techs
DIA SITE III,SITE III,DIA,Intel,,,,,,,,,,TS/SCI w/ Poly,Medium,$12.6B,IDIQ,Worldwide CONUS/OCONUS,“DIA; Multi-Int; Big Data”,Booz Allen; SAIC,,,,2021–2031,2031,2021,Leidos,Medium,,,Site III ecosystem notes,,DevSecOps; cyber; AI/ML; big data
DIA SITE III IDIQ,SITE III,DIA,Intel,,,,,,,,,,TS/SCI,High,,IDIQ,National Harbor MD (conference note),“PTS could position for subcontracting”,PTS (prospective sub),,,,Ongoing,Ongoing,,"Leidos, CACI, others",High,,,Program notes,,Cyber; IT infrastructure; systems engineering
DIA Solutions for the Information Technology Enterprise III,SITE III,DIA,Intel,,,,,,,,,,TS/SCI,High,$12.6B,IDIQ,JBAB DC; DIA field sites,“High TO velocity… large TS/SCI cleared workforce”,SHINE Systems (cleared SB),,,,2021–2031,2031,2021,Multi-award primes,High,,,SITE III documentation,,Sys/Win/Linux Admin; Service Desk; SharePoint Admin
DIMS (Peraton),DIMS,Air Force,Data,,,,,,,,,,Secret,Medium,,PROGRAM,Secret,“DIMS Peraton”,,,,,Ongoing,Ongoing,,Peraton,Medium,,,Program list reference,,Data analysts; IT sustainment; cloud/DB support
DISA ENCORE III,ENCORE III,DISA,Professional Services,,,,,,,,,,Secret,Medium,$17.5B,IDIQ,DoD-wide,“19 performance areas… network support… cyber”,Numerous small SB subs,,,,2018–2028,2028,2018,20 large + 20 small primes,Medium,,,IDIQ description,,IT modernization; software; cyber; net ops
DISA ENCORE III Cyber Task Orders,ENCORE III Cyber,DISA,Cyber,,,,,,,,,,TS/SCI,Medium,$17.5B,IDIQ,Fort Meade MD; Scott AFB IL,“CACI ENCORE III Cyber TOs… 15+ reqs”,SB partners,,,,2018–2028,2028,2018,CACI,Medium,,,Program references,,Boundary protection; DevSecOps; PKI; cyber engineering
DISA Enterprise IT Support / Cloud Support BPA,,DISA,,,,,,,,,,,Top Secret,Low,,BPA,Crystal City VA; Fort Meade MD,“DISA’s Cloud Support BPA”,,,,,Active,,,Multiple primes,Low,,,BPA notes,,Cloud SMEs; security engineers; cloud ops
DISA Forecast to Industry (Event),,DISA,Event,,,,,,,,,,Secret,Medium,,INDUSTRY EVENT / FORECAST,Fort Meade MD,“DISA Forecast… Networking Event… DoD Events Calendar L140–L150”,,,,,Annual (Q4),,,,Medium,,,Provided text,,BD reps; capture managers; PMs; cyber/IT vendors
DISA Global Service Mgmt – Ops II,GSM-O II,DISA,,,,,,,,,,,"Secret, TS/SCI",High,$6.52B,IDIQ,Scott AFB IL; Fort Meade MD; Montgomery AL; Lackland TX,“GSM-O II JRSS/Network Ops… 30+ openings”,GD; AT&T/Verizon; Parsons; staffing partners,,,,2018–2028,2028,2018,Leidos,High,,,Provided text,,Network admin; boundary security; NOC; ServiceNow devs
DISA GSM-O II,GSM-O II,DISA,Cyber,,,,,,,,,,TS/SCI,High,$6.52B,IDIQ,Worldwide (DoDIN NOCs),“Global network ops & cyber… 24×7 NOC… Leidos uses staffing firms for surge support”,Various staffing firms for NOC/cyber (Insight Global; Apex Systems etc.),,,,2018–2028,2028,2018,Leidos,High,,,GSM-O II program description,,Network ops center techs; cyber analysts; NOC engineers; JRSS staff
DISA GSM-O II (Surge Staffing Focus),GSM-O II,DISA,Cyber,,,,,,,,,,TS/SCI,High,$6.5B,IDIQ,Scott AFB; Fort Meade,“PTS placement at Scott AFB”; “Leidos uses subs for surge”,Insight Global; Apex Systems,,,,needs-scrape,,,Leidos,High,,,BD mapping notes,,NOC technicians; ServiceNow developers; cyber analysts
DISA JWCC – Joint Warfighting Cloud Capability,JWCC,DISA,Cyber,,,,,,,,,,TS/SCI,Medium,$9B,IDIQ,Global DoD; Crystal City VA,“JWCC multi-cloud accounts… CCPO initiatives”,,,,,2023–2028,2028,2023,Amazon; Microsoft; Google; Oracle,Medium,,,JWCC passage in BD text,,Cloud architects; cloud security engineers; multi-cloud administrators
DISA Supply Chain Mgmt (GDIT),DSCM-GDIT,DISA,,,,,,,,,,,Secret,Medium,,PROGRAM,Fort Meade MD,“DSCM”,,,,,Ongoing,Ongoing,,GDIT,Medium,,,Row text,,IT/cyber analysts; logistics IT support
Distributed Common Ground System (AF),DCGS,Air Force,Professional Services,,,,,,,,,,Secret,Medium,,ONGOING,TS/SCI,Intel / C5ISR,,,,,Beale AFB; Hampton,,,BAE; multiple,Medium,,,Medium,,“AF DCGS”
DLA J6 Enterprise Tech Services,JETS,DoD,,,,,,,,,,,Secret,High,$6B,IDIQ,DLA CONUS sites,“Perspecta used Apex Systems in 17 states”,Many small/large IT subs,,,,2017–2026,2026,2017,Multiple Awardees,High,,,DLA JETS reference text,,Help desk; app support; network ops
DLA J6 Enterprise Technology Services,DLA JETS,DoD,,,,,,,,,,,"Public Trust, Secret",High,$6B,IDIQ,Fort Belvoir; Columbus OH; Philadelphia PA,"“J6”, “IDIQ”, “Enterprise Tech Services”",Agile Defense; Capstone; others (needs-scrape),,,,2016–2026,2026,2016,CACI; Deloitte; SAIC; GDIT,High,,,DoD Program List.xlsx (L2–L10),,Sysadmin; help desk; cyber; engineering
DLA J6 Enterprise Technology Services 2.0,DLA JETS 2.0,DoD,Cyber,,,,,,,,,,"Secret, TS/SCI",High,$6B,IDIQ,Fort Belvoir; Columbus OH; Scott AFB IL,“JETS 2.0”; “Leidos”; “Scott AFB”,Insight Global; Bowhead; SAIC,,,,2023–2033 est.,2033,2023,Leidos; GDIT; Booz Allen; CACI; Peraton,High,,,BD target ranking notes,,Network engineer; cyber; cloud architect; sysadmin
DLA JETS (DLA J6 Variant),JETS,DoD,,,,,,,,,,,Secret,Medium,,IDIQ,Richmond VA; Columbus OH; other CONUS sites,“Large MA-IDIQ with constant TO churn”,,,,,Multi-year,,,Multiple primes,Medium,,,Row text,,Network engineers; sysadmins; software dev; cyber
DLA JETS (Variant Row),DLA JETS,DoD,Logistics,,,,,,,,,,Secret,Medium,$6B,IDIQ,Richmond VA,"“Logistics, Enterprise Tech”",,,,,2016–2024,2024,2016,Multiple,Medium,,,Scoring Engine model citation,,Procurement analysts; IT engineers
DLA JETS 2.0 (Follow-On),JETS 2.0,DoD,,,,,,,,,,,Secret,High,$11.9B,IDIQ,NCR; remote,“$11.9B – GDIT & CACI”,,,,,2024–2034 est.,2034,2024,CACI; GDIT,High,,,Row text,,IT; cyber; logistics analysts
DoD Cloud Computing Program Office Support (CCPO / ATAT),CCPO,DISA,Cyber,,,,,,,,,,Public Trust,High,$21M,FFP,Crystal City VA; Remote; Fort Meade,"“DISA CCPO, ATAT, DoD365, Flank Speed, MS Azure…”",Five Star Technology Solutions,,,,Dec 2020 – Dec 2025,Dec 2025,Dec 2020,Hunter Strategy LLC,High,,,Provided text,,Cloud engineers; cyber analysts; Azure admins; program managers
DoD Health Modernization,DHMSM (MHS GENESIS),DoD,Health IT,,,,,,,,,,"Public Trust, Secret",Medium,Multi-$B,ACQUISITION / DEPLOY,MTFs nationwide,“Joint EHR”,Many,,,,2015–,,2015,Leidos; Cerner; Accenture,Medium,,,Row text,,Health IT; clinical IT integration; systems analysts
DoD High Performance Computing Modernization Program – HITS / HITS-U Support,HITS / HITS-U,DoD,,,,,,,,,,,"Public Trust, Secret",High,$586M,,DSRC sites: ERDC (Vicksburg MS); ARL (Aberdeen MD); AFRL (Wright-Patterson AFB OH),“HITS-U… DoD High Performance Computing… DSRC… HPCMP… SAIC… ERDC/ARL/AFRL”,Analytical Services Inc. (past); other HPC small-business partners (needs-scrape),,,,2014–2021+ (program evolved into follow-on HPCMP vehicles),2021,2014,SAIC,High,,,Derived from SAIC HPCMP/HITS program details in your files,,HPC system administrators; network engineers; computational scientists; storage engineers; Linux cluster admins; petascale systems operators
DoD HPC Modernization Program Support (HITS-U),HPCMP (HITS-U),Army,R&D,,,,,,,,,,Secret,High,$586M,Single Award,Vicksburg MS; Aberdeen MD; Wright-Patterson AFB; other DSRCs,“SAIC… managing five DoD Supercomputing Centers… staffing-intensive”,Analytical Services Inc. (ASI); others,,,,2014–2021 (evolved to new contract),2021,2014,SAIC,High,,,Provided text,,HPC sysadmins; computational scientists; network engineers
DoD IAC Multiple Award Contract,IAC-MAC,DoD,R&D,,,,,,,,,,Secret,Medium,$28B,IDIQ,DoD labs CONUS,“IAC”,Universities; labs; niche contractors,,,,2018–2027,2027,2018,Multiple primes,Medium,,,Provided row,,R&D SMEs; scientists; analysts
DoD Information Analysis Center MAC,IAC-MAC,DoD,R&D,,,,,,,,,,Secret,Medium,$28B,IDIQ,CONUS R&D labs,“22 technical focus areas… prototype projects”,Universities; labs; niche firms,,,,2018–2027,2027,2018,Multiple,Medium,,,Provided,,Scientists; R&D engineers; prototype developers
