program,location,total_openings,leadership_openings,lead_openings,senior_openings,junior_openings,job_sources,clearances_needed,sample_titles,prime_contractor,hiring_intensity
Mission Partner Environment (Field Ops / MPCO),"Dhs, Virginia",1,0,0,0,1,Insight Global,Public Trust,PROJECT CONTROLS,GDIT,Low
MSS Smart Systems (Palantir contract),"Norfolk, Virginia",1,0,0,0,1,Insight Global,Secret,DATA ENGINEER,Palantir,Low
NARSIL – Advanced Research for System Intelligence & Learning,"O'fallon, Illinois",1,0,0,0,1,Insight Global,Secret,DATA ANALYST,Peraton,Low
NARSIL – Advanced Research for System Intelligence & Learning,"Herndon, Virginia",1,0,0,0,1,Insight Global,Secret,SECRET DATABASE ENGINEER,Peraton,Low
NARSIL – Advanced Research for System Intelligence & Learning,"Suffolk, Virginia",1,0,0,0,1,Insight Global,,SIMULATION SYSTEMS ENGINEER II,Peraton,Low
NASA SENSE (Space Comms & Tracking),"Washington, VA",1,0,0,0,1,Apex Systems,,Oracle DBA,Peraton,Low
Navy Aegis Combat System Modernization,"Fort Worth, TX",1,0,0,0,1,Apex Systems,,IT System Engineer,Lockheed Martin,Low
Next-Gen OPIR (Ground + Payload),"Redondo Beach, California",1,0,0,0,1,Insight Global,TS/SCI,TS/SCI C++ SOFTWARE ENGINEER,Northrop Grumman,Low
Next-Generation Overhead Persistent Infrared,"El Segundo, California",1,0,0,0,1,Insight Global,TS/SCI,VERIFICATION & VALIDATION ENGINEER,Northrop Grumman,Low
"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)","St. Louis, MO",1,0,0,0,1,Apex Systems,,Ops Tech II,Leidos,Low
"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)","Carlsbad, CA",1,0,0,0,1,Apex Systems,,Secure Enterprise Engineer,Leidos,Low
"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)","Mount Vernon, Virginia",1,0,0,1,0,Insight Global,TS/SCI,TS/SCI SR. NETWORK ENGINEER,Leidos,Low
"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)","Greece, New York",1,0,0,0,1,Insight Global,,DIGITAL HARDWARE ENGINEER,Leidos,Low
"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)","Lincoln, Massachusetts",1,0,0,0,1,Insight Global,Top Secret,CYBER SYSTEMS & NETWORK OPERATIONS SPECIALIST- TS,Leidos,Low
"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)","Fairfax, Virginia",1,0,0,0,1,Insight Global,Secret,SECRET NETWORK ENGINEER,Leidos,Low
Peraton ARCYBER Information Advantage Enterprise,"Fort George G Meade, MD",1,0,0,0,1,Apex Systems,,Cyber Security Watch Officer LCAT 1 Weekday Night (Monday - Thursday 9pm - 7am),Peraton,Low
PRISM Support Services (Consolidated),"Milford Mill, MD",1,0,0,1,0,Apex Systems,,Microsoft Copilot Studio AI SME,"11 MA-IDIQ primes (incl. CTC, SAIC, Booz Allen, ManTech)",Low
Project Convergence (JADC2 Experiments),"Charlottesville, VA",1,0,0,0,1,Apex Systems,TS/SCI Clearance level,Install Specialist / IT Certified Professional,SAIC,Low
Project Convergence (JADC2 Experiments),"Monroeville, Pennsylvania",1,0,0,0,1,Insight Global,Top Secret,TOP SECRET HARDWARE TECH,SAIC,Low
Project Convergence (JADC2 Experiments),"Huntsville, Alabama",1,0,0,0,1,Insight Global,Top Secret,TOP SECRET OPERATIONS SUPPORT ENGINEER,SAIC,Low
SITEC III – Enterprise Operations & Maintenance,"Juno Beach, FL",1,0,0,1,0,Apex Systems,,Project Management Consultant-Level 3 - Senior (11 - 15 Years),Peraton,Low
SITEC III – Enterprise Operations & Maintenance,"Pensacola, FL",1,0,0,0,1,Apex Systems,,Deployed Support Specialist Mid- Pensacola,Peraton,Low
SITEC III – Enterprise Operations & Maintenance,"Tampa, Florida",1,0,0,0,1,Insight Global,Secret,SR PROJECT ENGINEER,Peraton,Low
