Program Name,Prime Contractor,Key Locations,Clearance Requirements,Typical Roles,Job Titles,Tech Stack,Functional Areas
DTRA Integrated IT Support Services,Leidos,Fort Belvoir; Kirtland AFB,"Secret, Top Secret",IT; cyber; ZTA specialists,IT; cyber; ZTA specialists,,Cybersecurity
DTRA Integrated IT Support Services,Leidos,Fort Belvoir VA; Kirtland AFB NM,"Secret, Top Secret",Network admin; systems engineer; cyber analyst,Network admin; systems engineer; cyber analyst,network,Cybersecurity
DTRA IT Modernization / Support Services,Leidos,Fort Belvoir; Kirtland AFB,"Secret, Top Secret",Service desk; network mgmt; Zero Trust engineers,Service desk; network mgmt; Zero Trust engineers,AI; Zero Trust; network,
DTRA IT Support Modernization,Leidos,Fort Belvoir; Kirtland AFB,"Secret, Top Secret",IT admins; service desk; network engineers,IT admins; service desk; network engineers,network,Cybersecurity
DTRA IT Support Services,Leidos,Fort Belvoir; Kirtland AFB,"Secret, Top Secret",Help desk; network eng; Zero Trust,Help desk; network eng; Zero Trust,Zero Trust; network,IT Operations
"EDIS – Engineering, Development, Integration & Sustainment",SAIC,Los Angeles AFB; Colorado Springs; Huntsville,"Secret, Top Secret",Systems/software engineers; cyber engineers; space-ground integration,Systems/software engineers; cyber engineers; space-ground integration,AI,Software Development; Systems Engineering; Logistics; Cybersecurity
EDIS / HADES (follow-on),SAIC / Army,LAAFB; CONUS ISR nodes,"Secret, Top Secret",SE&I; ISR analysts; systems engineering,SE&I; ISR analysts; systems engineering,,Systems Engineering
EITaaS (Pilot – USAF),CACI (pilot),Multiple bases,"Public Trust, Secret",Base IT; service desk; help desk; end-user services,Base IT; service desk; help desk; end-user services,,IT Operations
ENCORE III,20 large + 20 small primes,Global CONUS/OCONUS,Secret,IT modernization; cyber; enterprise IT,IT modernization; cyber; enterprise IT,,Cybersecurity
Engineering Development & Integration Support,SAIC (via Engility),Los Angeles AFB; Colorado Springs,"Secret, Top Secret",Systems engineers; SW testers; satellite ground engineers,Systems engineers; SW testers; satellite ground engineers,AI,Software Development; Systems Engineering
Enterprise Account Tracking & Automation Tool,Hunter Strategy LLC,Crystal City; Remote,TS/SCI,Software developers; cloud admins; PMs; identity automation,Software developers; cloud admins; PMs; identity automation,cloud,Software Development; Cloud Services
EUCOM / AFRICOM IT & Communications Support,CACI,Stuttgart DE; Italy; Djibouti; other OCONUS,"Secret, TS/SCI",Network ops; field comms; sysadmin; SATCOM support,Network ops; field comms; sysadmin; SATCOM support,network,IT Operations
EUCOM/AFRICOM Enterprise IT & Comms Support,CACI,Stuttgart DE + 60+ sites across Europe/Africa,"Secret, Top Secret",Help desk; network ops; field comms; cloud support,Help desk; network ops; field comms; cloud support,cloud; network,IT Operations; Cloud Services
EUCOM/AFRICOM IT & Comms,CACI,Stuttgart + 60 EUCOM/AFRICOM sites,TS/SCI,Field service techs; network ops; help desk; secure comms,Field service techs; network ops; help desk; secure comms,network,IT Operations
EUCOM/AFRICOM IT & Comms Support,CACI,Europe & Africa – 60+ sites,"Secret, Top Secret",Field comms; network ops; help desk,Field comms; network ops; help desk,network,IT Operations
F-35 Sustainment,Lockheed Martin,Global F-35 bases,Secret,Sustainment IT; engineering; logistics IT; ALIS/ODIN support,Sustainment IT; engineering; logistics IT; ALIS/ODIN support,AI,Logistics
Fort Eisenhower (Gordon) IT Support,SAIC,Augusta GA,Secret,Service desk; night-shift coverage; sysadmin; ServiceNow,Service desk; night-shift coverage; sysadmin; ServiceNow,ServiceNow,
Future Operationally Resilient Ground Evolution,Raytheon (Mission Data Apps); BAE (C2),Buckley SFB; Peterson SFB; Aurora CO,"Secret, TS/SCI",Agile SW; data scientists; systems integrators,Agile SW; data scientists; systems integrators,,Data Analytics; Systems Engineering
GBS (Global Broadcast Service),L3Harris (historical),Tampa FL (MacDill AFB); Hawaii; CONUS,TS/SCI,SATCOM engineers; RF tech; network admin,SATCOM engineers; RF tech; network admin,network,
GBSD Sentinel Missile Modernization,Northrop Grumman,Ogden UT; Hill AFB; Vandenberg SFB,TS/SCI,Cleared engineers; mission ops; comms; C2 engineering,Cleared engineers; mission ops; comms; C2 engineering,,
GENMOD / VMOD (Army Network/Voice Modernization),CACI,CONUS & Pacific posts,Secret,Network engineers; cabling; voice techs; modernization,Network engineers; cabling; voice techs; modernization,network,
GENMOD / VMOD (Network Modernization),CACI,Pacific + CONUS,Secret,Network installers; voice; cyber,Network installers; voice; cyber,network,Cybersecurity
GENMOD / VMOD 2 – Field Service Technicians,CACI,CONUS posts,Secret,Field service techs; voice/network modernization,Field service techs; voice/network modernization,network,
Global Broadcast Service,L3Harris,Tampa FL; Hawaii; CONUS,TS/SCI,SATCOM engineer; RF tech; network admin,SATCOM engineer; RF tech; network admin,network,
Global Command and Control System – Joint,Northrop Grumman,Fort Meade MD; Scott AFB IL,TS/SCI,C2 engineers; SW dev; network ops,C2 engineers; SW dev; network ops,network,IT Operations
Global Command and Control System – Joint (Variant),Leidos,Suffolk VA,Secret,SW dev; systems engineering,SW dev; systems engineering,,Systems Engineering
Global Network Operations (DISA GSM-O II),Leidos,Scott AFB IL; Ft Meade MD; OCONUS nodes,"Secret, TS/SCI",NOC ops; network engineers; cyber analysts; ServiceNow,NOC ops; network engineers; cyber analysts; ServiceNow,ServiceNow; network,Cybersecurity
Global Network Operations II (PTS Subcontract),Leidos,Scott AFB; Ft Meade; Hill AFB; Honolulu HI,Top Secret,NOC techs; cyber analysts; ServiceNow devs,NOC techs; cyber analysts; ServiceNow devs,ServiceNow; network,Cybersecurity
Global Service Management – Operations II,Leidos,Scott AFB; Ft Meade; OCONUS,TS/SCI,NOC tech; cyber ops; network engr; ServiceNow,NOC tech; cyber ops; network engr; ServiceNow,ServiceNow; network,Cybersecurity
Global Service Mgmt – Ops II (variant),Leidos,Scott AFB; Ft Meade; global,"Secret, TS/SCI",NOC; cyber ops; servicedesk; ServiceNow,NOC; cyber ops; servicedesk; ServiceNow,ServiceNow,Cybersecurity
Global Solutions Management – Operations II,Leidos,Scott AFB; Ft Meade; Hill AFB,"Secret, Top Secret",Network engineers; systems admins; helpdesk,Network engineers; systems admins; helpdesk,network,
GMD Weapon System (Ground C2),Northrop Grumman,Huntsville AL; Schriever SFB; Ft Greely AK,"Secret, Top Secret",SW sustainment; BMC3; test engineers,SW sustainment; BMC3; test engineers,AI,Logistics
GMD Weapon System Modernization,Northrop Grumman,Huntsville AL; Schriever SFB; Ft Greely AK; Vandenberg SFB,"Secret, TS/SCI",SW engineering; modeling & simulation; cyber; C2,SW engineering; modeling & simulation; cyber; C2,,Cybersecurity
GPS Next-Gen Operational Control System,Raytheon Intelligence & Space,Colorado Springs CO (Schriever SFB),"Secret, Top Secret",Software engineers; cyber analysts; helpdesk,Software engineers; cyber analysts; helpdesk,,Software Development; Cybersecurity
GPS Operational Control System (sustainment),Raytheon,Aurora CO; Schriever SFB,"Secret, Top Secret",SW dev/test; IA; cyber; sustainment,SW dev/test; IA; cyber; sustainment,AI,Logistics; Cybersecurity
GRASP (Raytheon/Peraton),Peraton,Secret,Secret,“GRASP”,“GRASP”,,
Ground Based Strategic Deterrent / Sentinel,Northrop Grumman,Hill AFB; Ogden UT; Roy UT; Colorado Springs; Promontory UT,"Secret, Top Secret",Systems engineers; MBSE; SW engineers; cyber; test; logistics,Systems engineers; MBSE; SW engineers; cyber; test; logistics,,Logistics; Cybersecurity
Ground-Based Interceptor,Boeing (lead),Vandenberg; Ft Greely,"Secret, Top Secret",Missile ops; missile engineers,Missile ops; missile engineers,,Data Analytics
Ground-Based Midcourse Defense,Boeing (prime); Northrop & Raytheon (NGI),Fort Greely; Vandenberg; Schriever,"Secret, Top Secret",Missile defense engineers; radar techs; C2 analysts,Missile defense engineers; radar techs; C2 analysts,,
Ground-Based Strategic Deterrent,Northrop Grumman,Roy UT; Hill AFB UT; Redondo Beach CA,"Secret, TS/SCI",Systems engineers; cybersecurity; SW dev; logistics engineers,Systems engineers; cybersecurity; SW dev; logistics engineers,cybersecurity,Logistics; Cybersecurity
Ground-Based Strategic Deterrent (Sentinel),Northrop Grumman,Hill AFB; Offutt AFB (nuclear C3 analysts),"Secret, TS/SCI",MBSE; Systems Eng; ISSO/ISSM; Configuration Mgmt,MBSE; Systems Eng; ISSO/ISSM; Configuration Mgmt,,Cybersecurity
GSA Alliant 2,40+ primes,Government-wide,Secret,IT solutions; dev; ops; cloud,IT solutions; dev; ops; cloud,cloud,Cloud Services
GSA Alliant 2 GWAC,~40 primes,Government-wide,Secret,IT developers; engineers; cloud engineers,IT developers; engineers; cloud engineers,cloud,Cloud Services
GSA Alliant 2/3 GWAC,Multiple primes,Federal agencies nationwide,"Public Trust, Secret, Top Secret",Enterprise IT; cloud; cyber; software,Enterprise IT; cloud; cyber; software,cloud,Software Development; Cloud Services; Cybersecurity
GSA ASTRO,Dozens of primes,DoD domains (Ops/R&D/Maintenance),Secret,Ops; R&D; maintenance; dev,Ops; R&D; maintenance; dev,AI,Logistics
GSA ASTRO (multiple pools),Multiple,CONUS/OCONUS,Secret,Ops; R&D; maintenance; unmanned systems,Ops; R&D; maintenance; unmanned systems,AI,Logistics
GSA ASTRO (pool-level entry),Multiple primes,CONUS/OCONUS,Top Secret,O&M techs; R&D engineers; robotics,O&M techs; R&D engineers; robotics,,
GSA Multiple Award Schedule – IT SIN 54151,Many schedule holders,Nationwide,"Public Trust, Secret",IT contractors; dev; cyber; staff aug,IT contractors; dev; cyber; staff aug,,Cybersecurity
GSA OASIS,100+ primes (Pools 1–6),Government-wide,Secret,A&AS; management; engineering,A&AS; management; engineering,,Data Analytics
GSA OASIS / OASIS+,Multiple pools,Gov-wide,Secret,A&AS; program support; engineering,A&AS; program support; engineering,,
HHS Advanced Secure Data Repository,GDIT / SAIC (indicative),NIH / HHS,Public Trust,Data engineering; cyber analysts; platform engineers,Data engineering; cyber analysts; platform engineers,,Data Analytics; Cybersecurity
Hope 2.0 (prototype),SAIC,TS,Secret,"“SAIC, Hope 2.0… early-stage targeting”",“SAIC; Hope 2.0… early-stage targeting”,AI,
Hypersonic & Ballistic Tracking Space Sensor,Northrop & L3Harris (co-primes),Orbit prototypes; SDA ground centers,TS/SCI,Space payload engineers; infrared flight SW; tracking algorithm developers,Space payload engineers; infrared flight SW; tracking algorithm developers,,
INDOPACOM C5ISR Support,Amentum,Camp HM Smith HI; Pacific sites,"Secret, TS/SCI",IT & cyber analysts; comms engineers; systems integrators,IT & cyber analysts; comms engineers; systems integrators,,Cybersecurity
Information Technology Sustainment for Enhanced Ops,Leidos,Washington DC; Reston VA,"Polygraph, TS/SCI, TS/SCI w/ Poly",IT sustainment; help desk; desktops; network ops,IT sustainment; help desk; desktops; network ops,AI; network,IT Operations; Logistics
INSCOM GILE Support,CACI,Fort Belvoir VA; NCR,TS/SCI,Intel analysts; systems integrators; cyber SMEs; linguist-enabled intel,Intel analysts; systems integrators; cyber SMEs; linguist-enabled intel,,Cybersecurity
INSCOM IT Support Services (current TO iteration),GDIT,Fort Liberty; Fort Meade; Fort Sam Houston; JBLM,TS/SCI,Helpdesk; sysadmin; storage admin; DevOps; network tech,Helpdesk; sysadmin; storage admin; DevOps; network tech,network,Software Development
INSCOM IT Support Services III,GDIT,Fort Belvoir; worldwide,TS/SCI,Enterprise IT; IA; apps; deployable comms,Enterprise IT; IA; apps; deployable comms,,
Integrated Air & Missile Defense,Raytheon,Huntsville AL,Secret,Systems engineers; radar analysts; MLU support,Systems engineers; radar analysts; MLU support,AI; ML,
Integrated Base Defense Security System,Leidos,Fort Meade; Aberdeen MD,Secret,Network security engineers; SOC analysts,Network security engineers; SOC analysts,network,Cybersecurity
Integrated Digital Engineering Environment,Northrop Grumman,Ogden UT,TS/SCI,MBSE engineers; SysML modelers; digital twin developers,MBSE engineers; SysML modelers; digital twin developers,ML,
Integrated Situational Awareness Environment,Northrop Grumman,Huntsville AL; Colorado Springs CO,"Secret, TS/SCI",RMF SMEs; STIG analysts; cyber analysts,RMF SMEs; STIG analysts; cyber analysts,,Cybersecurity
Integrated Situational Awareness Tool Environment,Northrop Grumman,Huntsville AL; Colorado Springs CO,TS/SCI,RMF SMEs; STIG analysts; cyber engineers,RMF SMEs; STIG analysts; cyber engineers,,Cybersecurity
Integrated Situational Awareness Tool Environment (Intel Cyber),Northrop Grumman,Huntsville AL; Colorado Springs CO,TS/SCI,RMF SMEs; STIG Analysts; Cyber Analysts; C5ISR cyber operators,RMF SMEs; STIG Analysts; Cyber Analysts; C5ISR cyber operators,,Cybersecurity
Integrated Strategic & Expeditionary Operations (DIA ISEO variant),Leidos,Washington DC; Quantico VA; Bolling AFB,TS/SCI,IT support; help desk; desktop support; enterprise sustainment,IT support; help desk; desktop support; enterprise sustainment,AI,IT Operations; Logistics
Intelligence Community Infrastructure Support,Jacobs,Fort Belvoir VA; Korea (possible),TS/SCI,IT support; cyber security; helpdesk; systems tech,IT support; cyber security; helpdesk; systems tech,,Cybersecurity
Intelligence Systems Enterprise Operations,Leidos,Reston VA; DIA HQ JBAB,TS/SCI,IT support; help desk; desktop; local/remote IT sustainment,IT support; help desk; desktop; local/remote IT sustainment,AI,IT Operations; Logistics
Intelligence Systems Infrastructure Tools & Enhancements,Northrop Grumman,Huntsville AL; Colorado Springs CO,"Secret, TS/SCI",RMF SMEs; STIG/Cyber Analysts,RMF SMEs; STIG/Cyber Analysts,,Cybersecurity
Interim MDC2 / ABMS,Multiple,AF bases,"Secret, Top Secret",C2 engineers; JADC2 integrators,C2 engineers; JADC2 integrators,,
IT CROP (Bowhead),Bowhead,Secret,Secret,“IT CROP Bowhead”,“IT CROP Bowhead”,,IT Operations
ITEMSS (IT Enterprise Mgmt Systems Solution),CACI,NCR; Guard HQs,Secret,Agile developers; cybersecurity; trainers; network support,Agile developers; cybersecurity; trainers; network support,AI; cybersecurity; network,Cybersecurity
ITES-3S,135 primes,Global,Secret,Enterprise IT services; cyber; network ops,Enterprise IT services; cyber; network ops,network,IT Operations; Cybersecurity
J6 Enterprise Technology Services (DLA JETS),Multiple (MA-IDIQ pool),Fort Belvoir; Columbus OH; Richmond VA,"Public Trust, Secret",Help desk; application support; network ops; admin,Help desk; application support; network ops; admin,network,IT Operations
J6 Enterprise Technology Services 2.0,Multiple (IDIQ MA pool),CONUS + OCONUS,"Secret, Top Secret",Network & telecom services; cyber security; PM; cloud hosting,Network & telecom services; cyber security; PM; cloud hosting,cloud; network,Cloud Services; Cybersecurity
JGLASS II – Shared Services,Peraton / SAIC (indicative),NCR,Public Trust,Enterprise shared services; IT admin,Enterprise shared services; IT admin,,
Joint Staff J7 Support,HII,Suffolk VA; Quantico VA; Ft Leavenworth,"Secret, TS/SCI",LVC integrators; red-cell analysts; M&S engineers; ISSO,LVC integrators; red-cell analysts; M&S engineers; ISSO,AI,Cybersecurity
Joint Tactical Ground Station Early Warning,Northrop (prime/sub),Colorado Springs; Germany; Redondo Beach,"Secret, TS/SCI",SW engineers; SIGINT analysts; logistics continuity,SW engineers; SIGINT analysts; logistics continuity,,Logistics
Joint Tactical Ground Stations,Northrop Grumman,Colorado Springs CO; Germany,TS/SCI,SW engineers; SIGINT SMEs,SW engineers; SIGINT SMEs,,
Joint Warfighting Cloud Capability,AWS; Microsoft; Google; Oracle,DoD/IC sites,"Secret, TS/SCI",Cloud migration; platform engineering; zero-trust integration,Cloud migration; platform engineering; zero-trust integration,cloud,Data Analytics; Systems Engineering; Cloud Services
JSP Enterprise IT,CACI,Pentagon / NCR,TS/SCI,Classified helpdesk; VTC; desktop support,Classified helpdesk; VTC; desktop support,,IT Operations
JSP ETM (Pentagon IT),CACI,Pentagon / NCR,"Secret, TS/SCI",Helpdesk; classified VTC; classified desktop support,Helpdesk; classified VTC; classified desktop support,,IT Operations
Justified (SAP Security),SAIC (inferred),Hanscom AFB; JBAB DC,TS/SCI,SAP admins; ISSO; SAP security leads,SAP admins; ISSO; SAP security leads,,Cybersecurity
Justified SAP Security Contract,needs-scrape,Hanscom AFB; JBAB DC,Top Secret,Program security; ISSO roles,Program security; ISSO roles,,Cybersecurity
Justified SAP Security Contract (Hanscom/Bolling),Booz Allen Hamilton,Hanscom AFB; JBAB DC,TS/SCI,SAP Security Engineer; ISSO; ISSM,SAP Security Engineer; ISSO; ISSM,,Cybersecurity
JWCC – ATAT Expansion Path,AWS; Microsoft; Google; Oracle,Global DoD; CCPO,TS/SCI,Cloud integration leads; policy enforcement; multi-cloud operations,Cloud integration leads; policy enforcement; multi-cloud operations,cloud,Systems Engineering; Cloud Services
Kennedy Space Center BOSS,Jacobs / Amentum (past),Kennedy Space Center FL,"Public Trust, Secret",Facility operations; IT ops,Facility operations; IT ops,,IT Operations
LANL/NNSA VTC Engineering Support,GDIT,Los Alamos NM,Top Secret,VTC engineers; AV technicians; unified comms,VTC engineers; AV technicians; unified comms,,
LANL/NNSA VTC Support,GDIT,Los Alamos NM,Top Secret,VTC engineer; unified comms; AV/telepresence,VTC engineer; unified comms; AV/telepresence,,
LATERALUS (IC Space ISR),Raytheon,CO / NoVA SCIFs,TS/SCI w/ Poly,Satellite ops engineers; intel analysts; O&M staff,Satellite ops engineers; intel analysts; O&M staff,,
LATERALUS (Space ISR),Raytheon,CO / NoVA,TS/SCI w/ Poly,O&M staff; sysadmins; intel exploitation analysts,O&M staff; sysadmins; intel exploitation analysts,,
LOGCAP V,KBR; V2X; Fluor; Amentum,Global theaters,"Public Trust, Secret",Base ops; supply; transportation; life support,Base ops; supply; transportation; life support,network,
Logistics Civil Augmentation Program V (duplicate entry),KBR; V2X; Fluor; Amentum,Global,"Public Trust, Secret",Base ops; supply; facilities,Base ops; supply; facilities,network,Logistics
LRAAM (Long Range AAM),Raytheon (indicative),Tucson AZ,Secret,AAM engineers; missile systems developers,AAM engineers; missile systems developers,,
Managed IT Services (USTRANSCOM),SAIC,Scott AFB IL,"Secret, Top Secret",Service desk; admins; cyber analysts,Service desk; admins; cyber analysts,,Cybersecurity
Marine Corps Enterprise Network,Leidos / GDIT,Marine bases,Secret,NetOps; cyber; enterprise IT technicians,NetOps; cyber; enterprise IT technicians,network,Cybersecurity
Mark 48 Heavyweight Torpedo,Raytheon (indicative),Middletown RI; Navy weapons centers,Secret,Systems/seeker engineering; test; manufacturing,Systems/seeker engineering; test; manufacturing,,
Mark-48 Torpedo (sub-program reference),Raytheon (indicative),NSWC Crane; NSWC Newport; Middletown RI,Secret,Torpedo assembly; electronics,Torpedo assembly; electronics,,
MDA Tactical Embedded Systems,Northrop Grumman,"Redstone Arsenal, Huntsville AL",Secret,Embedded SW engineers; C++; tactical missile SW,Embedded SW engineers; C++; tactical missile SW,AI; C++,
MHS GENESIS (DHMSM),Leidos,NCR; San Antonio; Remote,Secret,Clinical trainer; IT support; workflow analyst; EHR migration,Clinical trainer; IT support; workflow analyst; EHR migration,AI,Cloud Services
MHS GENESIS / Leidos Partnership for Defense Health,Leidos,MHS sites CONUS / OCONUS,"Public Trust, Secret",Clinical help desk; applications support; site support technicians,Clinical help desk; applications support; site support technicians,AI,IT Operations
Mission Partner Environment,GDIT,Global coalition sites,"Secret, TS/SCI",Coalition network engineers; CDS admins; field support teams,Coalition network engineers; CDS admins; field support teams,network,Data Analytics
Mission Partner Environment (Field Ops / MPCO),GDIT,Secret → TS/SCI,Secret,“Global coalition network mission (MPE)”,“Global coalition network mission (MPE)”,network,IT Operations
Mission Partner Environment (successor to BICES),GDIT,Global (coalition networks),"Secret, TS/SCI",Coalition network engineers; CDS administrators; field support teams,Coalition network engineers; CDS administrators; field support teams,network,Data Analytics
Modular Open Systems Approach,Multiple primes,National Harbor MD; US Army programs,Secret,Chief engineers; PMs; open-architecture developers,Chief engineers; PMs; open-architecture developers,,Systems Engineering
MOJAVE / ACADIA,CACI (indicative),Springfield VA; St. Louis MO,TS/SCI w/ Poly,Cloud engineer; data pipeline; GEOINT analyst,Cloud engineer; data pipeline; GEOINT analyst,cloud,Data Analytics; Cloud Services
MPCO VMOD (Voice Modernization),CACI (indicative),CONUS Army posts,Secret,Voice engineers; telecom modernization,Voice engineers; telecom modernization,,
MSS Smart Systems (Palantir contract),Palantir,Classified CONUS/OCONUS,TS/SCI,Data engineers; Palantir platform engineers; intel analysts; field support,Data engineers; Palantir platform engineers; intel analysts; field support,,Data Analytics
Multi-Mission Command & Control,Lockheed Martin / Raytheon,Aurora CO; Huntsville AL; Colorado Springs CO,"Secret, TS/SCI",C2 SW dev; embedded SW; Linux; systems engineering,C2 SW dev; embedded SW; Linux; systems engineering,,Software Development; Systems Engineering
NARSIL,Peraton (indicative),TS/SCI,Secret,“High-value IDIQ… Peraton NARSIL”,“High-value IDIQ… Peraton NARSIL”,,IT Operations
NARSIL – Advanced Research for System Intelligence & Learning,Peraton,NCR; Dayton OH (indicative),"Polygraph, TS/SCI, TS/SCI w/ Poly",Data scientists; SW engineers; ML/AI researchers; systems engineers,Data scientists; SW engineers; ML/AI researchers; systems engineers,AI; ML,Data Analytics
NASA Enterprise Service Support Technology,SAIC / Leidos (indicative),NASA centers,"Public Trust, Secret",EUS support; deskside; enterprise IT,EUS support; deskside; enterprise IT,,
NASA SENSE (Space Comms & Tracking),Peraton,Near-Earth network (TDRS),Secret,Network ops; RF; sustainment,Network ops; RF; sustainment,AI; network,IT Operations; Logistics
NASA SEWP,Multiple,Nationwide,"Public Trust, Secret",Hardware/software procurement; IT services; cloud,Hardware/software procurement; IT services; cloud,cloud,Software Development; Cloud Services
NASA Space Network Evolution,Peraton,NASA SCaN Global,Secret,Satellite comm engineers; network technicians,Satellite comm engineers; network technicians,network,
NASIC Radar Analysis Program,Ball Aerospace,Beavercreek OH,Top Secret,Radar engineers; data analysts,Radar engineers; data analysts,,Data Analytics
NAVAIR Flight Operations Support,Vertex Aerospace,Pax River MD,Secret,Flight ops analysts; schedulers; IT support,Flight ops analysts; schedulers; IT support,AI,
Navy Aegis Combat System Modernization,Lockheed Martin,Dahlgren VA; Moorestown NJ; shipyards,Secret,Systems engineers; combat system SW devs; integration & test,Systems engineers; combat system SW devs; integration & test,,Systems Engineering
Navy Enterprise Service Desk,Leidos,Norfolk VA; San Diego CA; distributed Navy NOCs,Secret,Tier 1–3 service desk; Navy help desk; desktop support,Tier 1–3 service desk; Navy help desk; desktop support,,IT Operations
Next Generation Interceptor,Northrop Grumman & Boeing,Huntsville AL; Promontory UT; test ranges,"Secret, TS/SCI",MBSE; Propulsion/Flight Eng; Missile Systems Eng; GNC,MBSE; Propulsion/Flight Eng; Missile Systems Eng; GNC,,Software Development
NextGen GEO (Network/Ops),Northrop Grumman,Boulder CO,"Secret, TS/SCI",Network Eng; SysAdmin; Field Tech,Network Eng; SysAdmin; Field Tech,network,
Next-Gen OPIR (Ground + Payload),Northrop Grumman,El Segundo CA; Colorado Springs CO,TS/SCI,Payload SW/SE; Ground Ops; Data Exploitation,Payload SW/SE; Ground Ops; Data Exploitation,,Data Analytics
Next-Generation Overhead Persistent Infrared,Northrop Grumman,SSC / Los Angeles; Colorado Springs,TS/SCI,Payload Eng; Ground Systems; Space Sensor Dev,Payload Eng; Ground Systems; Space Sensor Dev,,
NGA Enterprise Engineering,Peraton (Perspecta heritage),Springfield VA; St. Louis MO,TS/SCI,Cloud engineers; enterprise architects; GEOINT IT,Cloud engineers; enterprise architects; GEOINT IT,cloud,Cloud Services
NGA Enterprise IT Modernization – MOJAVE / ACADIA,CACI,Springfield VA; St. Louis MO,TS/SCI w/ Poly,Cloud engineers; data pipeline; GEOINT analysts,Cloud engineers; data pipeline; GEOINT analysts,cloud,Data Analytics; Cloud Services
NGEN-R — Enterprise Network Program,Leidos,Norfolk; San Diego; global Navy/USMC,Secret,Help desk; field tech; network admin,Help desk; field tech; network admin,network,IT Operations
"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",Leidos,Norfolk VA; San Diego CA; Hawaii; global Navy/USMC bases (CONUS/OCONUS),"Public Trust, Secret, Top Secret",Tier 1–2 help desk; desktop support; field technicians; network/sys admins; NetOps; cyber support,Tier 1–2 help desk; desktop support; field technicians; network/sys admins; NetOps; cyber support,network,Systems Engineering; IT Operations; Cybersecurity
NGEN-R SMIT (Already normalized — link-only reference row),Leidos,Navy/USMC worldwide,Secret,Enterprise IT; help desk; NetOps; cyber,Enterprise IT; help desk; NetOps; cyber,,IT Operations; Cybersecurity
NGOPIR / NGG / NGOPIR (already normalized — link row),Northrop Grumman,SSC; Colorado Springs,TS/SCI,Space payloads; C2; missile-warning exploitation,Space payloads; C2; missile-warning exploitation,,
NORAD/NORTHCOM IT Infrastructure Support (NISSC II),Jacobs,Peterson SFB CO; Cheyenne Mountain CO; Offutt AFB NE; Vandenberg CA,TS/SCI w/ Poly,24×7 help desk; systems admins; ISSOs; network/security ops; missile-warning IT support,24×7 help desk; systems admins; ISSOs; network/security ops; missile-warning IT support,AI; network,Data Analytics; IT Operations; Cybersecurity
NRO Ground Systems DevOps (Seal Beach),Boeing,Seal Beach CA,TS/SCI w/ Poly,DevOps engineers; CI/CD & infra automation for NRO ground systems,DevOps engineers; CI/CD & infra automation for NRO ground systems,CI/CD,Software Development
NTT Applications & BPS Support,NTT DATA,Texas; remote CONUS,"Public Trust, Secret",Application engineers; business analysts; apps/BPS support,Application engineers; business analysts; apps/BPS support,,Data Analytics
NTT DATA Enterprise Architecture (BPS / Apps),NTT DATA,U.S. – Heredia CR; Atlanta GA; remote,"Public Trust, Secret","Enterprise architects; solution architects (BPS, applications)",Enterprise architects; solution architects (BPS; applications),,Data Analytics; Systems Engineering
OASIS+ Multi-Agency Services,Multi-award primes,Nationwide,"Public Trust, Secret, Top Secret",Eng services; PM; acquisition; R&D; analysis,Eng services; PM; acquisition; R&D; analysis,,
OASIS+ Services (Already normalized),multiples,Nationwide,"Public Trust, Top Secret",Eng/Prof services,Eng/Prof services,,
OUSD(A&S) Professional Support Services,LMI,Pentagon; Mark Center; Crystal City,"Public Trust, Secret",Admin assistants; analysts; PM support,Admin assistants; analysts; PM support,,
OUSD(P&R) PRISM (Consolidated),"11 primes (CTC, SAIC, Booz Allen, ManTech…)",Pentagon / NCR / CONUS,"Public Trust, Secret",Analysts; trainers; HR support; admin,Analysts; trainers; HR support; admin,AI,
PAC-3 (Consolidated),Lockheed Martin,Camden AR; Huntsville AL; Grand Prairie TX; WSMR,Secret,Missile engineering; assembly; test; RF engineering,Missile engineering; assembly; test; RF engineering,,
PAC-3 Missile Family (Consolidated),Lockheed Martin Missiles & Fire Control,Grand Prairie TX; Camden AR; Huntsville AL; WSMR; Orlando FL,"Secret, TS/SCI",Missile engineers; QA inspectors; assembly techs; RF/test eng; production planners; field service,Missile engineers; QA inspectors; assembly techs; RF/test eng; production planners; field service,,
PAC-3 Missile Segment Enhancement (Deep Detail Variant),Lockheed Martin,Camden AR; Grand Prairie TX; Huntsville AL,"Secret, TS/SCI",Manufacturing; missile eng; test; RF engineers; quality,Manufacturing; missile eng; test; RF engineers; quality,AI,
PAC-3 MSE (Deep Detail Variant; Consolidated),Lockheed Martin,Grand Prairie TX; Camden AR; Huntsville AL,"Secret, TS/SCI",QA inspectors; assembly; missile test; systems engineers; production planners; RF testers,QA inspectors; assembly; missile test; systems engineers; production planners; RF testers,AI,
Peraton ARCYBER Information Advantage Enterprise,Peraton,Fort Eisenhower GA; Fort Meade MD,TS/SCI w/ Poly,Cyber ops planners; IO/EW; mission support,Cyber ops planners; IO/EW; mission support,,Cybersecurity
Peraton NARSIL – Advanced System Intelligence,Peraton,Reston VA; Fort Meade MD,TS/SCI w/ Poly,Systems Eng; DevOps; Cyber Ops; ML/AI; Signals Processing,Systems Eng; DevOps; Cyber Ops; ML/AI; Signals Processing,AI; ML,Data Analytics; Software Development; Cybersecurity
