Program Name,Acronym,Agency Owner,BD Priority,Clearance Requirements,Confidence Level,Contract Value,Contract Vehicle,Key Locations,Keywords/Signals,Known Subcontractors,PTS Involvement,Period of Performance,Prime Contractor Name,Program Type,Recompete Date,Source Evidence,Typical Roles,Contract Number,Acronym_contract,Match Confidence,Match Score,Tech Stack (Basic),Functional Areas,Job Titles,Contract Signed Date (FPDS),Contract Effective Date (FPDS),Current Completion Date (FPDS),Ultimate Completion Date (FPDS),Base Contract Value (FPDS),Base + Options Value (FPDS),Performance Location (FPDS),FPDS NAICS Code,FPDS PSC Code,NAICS Description,PSC Description,Labor Rate Min,Labor Rate Max,Labor Rate Average,Education Requirement,Experience Requirement,Annual Salary Range,CALC API Status
"Command and Control, Battle Management & Communications (MDA)",C2BMC,MDA,Medium,"Secret, TS/SCI",Medium,nan,R&D,Colorado Springs CO; Huntsville AL,“MDA C2BMC heavily software/network-centric; small biz partners sought”,Parsons; Tetra Tech (support contracts cited),Target,nan,Northrop Grumman,C5ISR,nan,“C2BMC program may seek small biz partners; PTS cyber/network relevant”,Software engineers; network engineers; cyber engineers,HQ085621C0003,C2BMC,Medium,2,,,,,,,,,,,,,,,,,,,,,Not Queried
"Command and Control, Battle Management, Communications",C2BMC,MDA,nan,"Secret, TS/SCI",Medium,nan,nan,Colorado Springs CO; Huntsville AL (indicative),“C2BMC”,nan,nan,nan,Lockheed Martin,nan,nan,“C2BMC”,Systems engineers; software development/test; network engineers,DEAC0494AL85000,C2BMC,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
Common Open Operational Launch Range,COOLR,Space Force,nan,Secret,Medium,nan,nan,Ranges (test ranges),“Launch range C2”,nan,nan,nan,Lockheed Martin (indicative),nan,nan,nan,C2 / Range software engineers,N0001917C0001,COOLR,Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
Comms Technical Support V,CTSS V,DoD,nan,"Secret, Top Secret",High,$865M,nan,SW Asia AOR + MacDill AFB reach-back,“OCONUS rotations”; “$865M… OCONUS support”,Prior incumbent GDIT; AVI-SPL (A/V),nan,nan,GovCIO (Salient CRGT),nan,nan,Provided CTSS V details,Deployed comms techs; network eng; IT O&M technicians,36C10B22N10030034,CTSS V,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
Consolidated AFSCN Mod & Ops,CAMMO,Space Force,nan,"Secret, Top Secret",High,$446M,nan,"Schriever SFB CO; worldwide tracking stations (HI, DG, UK)",“AFSCN Operations… merged three contracts… L3Harris principal subcontractor”,L3Harris; KBR/FTI; LinQuest,nan,nan,CACI (via L-3 NSS acquisition),nan,nan,CAMMO description as provided,Satellite tracking ops; RF techs; network engineers,FA882316C0004,CAMMO,High,8,,,,,,,,,,,,,,,,,,,,,Not Queried
Consolidated AFSCN Mod & Ops – Secondary Row,CAMMO,Space Force,nan,"Secret, Top Secret",High,$446M,nan,Schriever SFB; worldwide tracking,“AFSCN O&M… merged contracts… CACI prime”,L3Harris; KBR; LinQuest,nan,nan,CACI,nan,nan,CAMMO reference,Satellite controllers; RF techs; network ops,FA882316C0004,CAMMO,High,7,,,,,,,,,,,,,,,,,,,,,Not Queried
Conventional Prompt Strike,CPS,Army,nan,"Secret, Top Secret",Medium,Multi-$B,nan,Fleet & Army strategic sites,“Hypersonic missiles”,Northrop; others,nan,nan,Lockheed Martin,Weapon Systems,nan,nan,Hypersonic engineers; test engineers; flight test support,N0001917C0001,CPS,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
CTSS V (Expanded Listing),CTSS V,DoD,nan,"Secret, Top Secret",High,$865M,nan,Qatar; Kuwait; Bahrain; Iraq; etc.,“Comprehensive comms & IT O&M across CENTCOM AOR”,AVI-SPL; Trace Systems (likely),nan,nan,GovCIO,nan,nan,CTSS V narrative,Comms techs; RF; SATCOM; network administrators,36C10B22N10030034,CTSS V,Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
Data Center & Cloud Optimization,DCCO,DHS,nan,"Public Trust, Secret",Medium,nan,nan,NCR,“DHS cloud/DC”,Multiple,nan,nan,Peraton / Leidos (indicative),nan,nan,Row text,Cloud ops; DC ops,GST0011AJ0025,DCCO,Medium,2,,,,,,,,,,,,,,,,,,,,,Not Queried
DC3 – Defense Cyber Crime Center,DC3,DoD,nan,TS/SCI,Medium,nan,nan,Linthicum MD,“DC3”,nan,nan,nan,Peraton,Cyber,nan,nan,Forensics; malware; cyber intel,47QFCA19F0033,DC3,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
DC3 Cyber Crime Center – Secondary Row,DC3,DoD,nan,Secret,Medium,nan,nan,TS/SCI,Cyber,nan,nan,nan,Peraton,Cyber,nan,Medium,“DC3 forensics”,47QFCA19F0033,DC3,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
Defense Cyber Crime Center,DC3,DoD,nan,TS/SCI,Medium,nan,nan,Linthicum MD,“DC3”,nan,nan,nan,Peraton,Cyber,nan,Row text,Digital forensics; malware analysis; cyber investigators,47QFCA19F0033,DC3,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
Defense Enclave Services,DES,DoD,nan,Secret,High,$11.5B,nan,Fort Belvoir VA (HQ),“PTS is already on DES (Fort Belvoir placements)”,PTS (subcontractor),nan,nan,Leidos,nan,nan,BD evidence,Systems engineers; IT support; service desk; NOC staff,HHSN261200800001E,DES,Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
Defense Enclave Services – Fourth Estate IT Consolidation,DES,DISA,nan,Secret,High,$11.5B,nan,Fort Meade MD; Fort Belvoir VA; Columbus OH; Philadelphia PA,“DES… Leidos… large IT consolidation; subs incl. NOVA-Diné”,NOVA-Diné; Accenture Federal; AT&T; Thundercat; various SBs,nan,nan,Leidos,nan,nan,Provided row text,Migration engineers; service desk; deskside support; floor-walkers; NOC/enterprise support,HHSN261200800001E,DES,Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
Defense Enclave Services (DoDNet),DES (DoDNet),DISA,High,"Secret, Top Secret",High,$11.5B,IDIQ,Fort Belvoir; multiple 4th Estate bases,“Consolidating 4th Estate networks… PTS placed desktop support at Belvoir”,NOVA-Diné; other tribal small businesses; cleared IT subs,Current,nan,Leidos,IT Ops,nan,DES intel lines,Help desk; sysadmin; network/security ops,HHSN261200800001E,DES (DoDNet),Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
Defense Enterprise Office 365 Migration / DoD365,DOD365,DISA,nan,Secret,High,nan,nan,Crystal City VA; remote,“DOD365; Microsoft 365; Flank Speed; cloud migration”,Five Star Technology Solutions,nan,nan,Microsoft,Cyber,nan,CVR/CCPO support references,O365 admins; migration leads; help desk; Teams/Exchange engineers,47QFCA22F0047,DOD365,High,4,,,,,,,,,,,,,,,,,,,,,Not Queried
Defense Enterprise Office Solutions,DEOS,DISA,nan,"Public Trust, Secret, Top Secret",Low,nan,nan,DoD & federal offices CONUS/OCONUS,“DEOS PMO referenced in DISA Hosting & Compute context”,nan,nan,nan,CSRA / Leidos (team),nan,nan,Provided notes,O365/Teams engineers; cloud architects; UC engineers; enterprise email support,HHSN261200800001E,DEOS,Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
Defense Health Agency Desktop to Datacenter,D2D,DoD,nan,Secret,Medium,$4.3B,nan,San Antonio TX; NCR; Hawaii,"“DHA, D2D, Desktop to Datacenter, GDIT”",Leidos; Perspecta; DHA IT partners,nan,nan,GDIT,nan,nan,“Top 20 DoD Programs”,Desktop support; help desk; sysadmin; endpoint engineers,19AQMM18C0185,D2D,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
Defense Health Agency Modernization / MHS GENESIS,MHS GENESIS,DoD,nan,"Public Trust, Secret",Medium,$4.3B,nan,San Antonio TX; Falls Church VA,“DHA; MHS GENESIS; Leidos; Healthcare IT”,Cerner;; Booz Allen Hamilton,nan,nan,Leidos,nan,nan,BD cross-reference,Healthcare IT engineers; systems analysts; clinical/tech integration roles,HHSN261200800001E,MHS GENESIS,Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
Defense Logistics Agency – J6 Enterprise Technology Services,DLA JETS,DoD,Medium,Secret,Medium,nan,Multi-Year,Secret (indicative),IT Ops,nan,nan,nan,Multiple (IDIQ pool),Professional Services,nan,Medium,“DLA JETS”,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,Not Queried
Defense Satellite Communications Modernization,DSCM (Satellite),Space Force,nan,Secret,Medium,nan,nan,Colorado Springs; Fort Meade,“DSCM Satellite”,nan,nan,nan,CACI,nan,nan,Row text,SATCOM RF engineers; network engineers,47QFRA19F0011,DSCM (Satellite),Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
DFAS Enterprise IT Support – Secondary Row,DFAS-Peraton,DoD,nan,Public Trust,Medium,nan,nan,DFAS nationwide,“Finance IT support”,nan,nan,nan,Peraton,nan,nan,Row listing,Financial IT; ERP modernization,47QFCA20F0015,DFAS-Peraton,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
DFAS Enterprise Support,DFAS-Peraton,DoD,Medium,Public Trust,Medium,nan,Services,DFAS sites,“Finance IT”,nan,nan,nan,Peraton,IT Ops,nan,nan,Financial systems IT; ERP support,47QFCA20F0015,DFAS-Peraton,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
DGFS (RTX),DGFS,DoD,nan,Secret,Medium,nan,nan,Tucson AZ + other sites,“DGFS RTX”,nan,nan,nan,Raytheon (RTX),Weapon Systems,nan,nan,Munitions engineers; missile specialists,N0001918C1021,DGFS,Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
DHS Cybersecurity Support Contract,nan,DHS,nan,Top Secret,Low,nan,nan,DC Metro,“He runs 100 people on a DHS DISA I think project”,nan,nan,nan,Five Star Technology Solutions,Cyber,nan,Provided context,Cybersecurity SMEs; program managers,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,Not Queried
DHS Data Center 2,DC2,DHS,nan,"Public Trust, Secret",Medium,nan,nan,DC2 sites,“DHS DC2”,Multiple,nan,nan,GDIT / Peraton (indicative),nan,nan,nan,DC engineers; ops; cloud,GST0011AJ0025,DC2,Medium,2,,,,,,,,,,,,,,,,,,,,,Not Queried
DHS Enterprise IT Services I,EITS I,DHS,nan,"Public Trust, Secret",Medium,nan,nan,DHS HQ,“DHS HQ IT”,Multiple subs,nan,nan,Leidos / SAIC (indicative),nan,nan,nan,IT services; enterprise support,FA877319FA023,EITS I,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
DIA Battlefield Information Networks / BICES-X,BICES-X,DIA,nan,TS/SCI,High,nan,nan,Offutt AFB NE; Stuttgart Germany,"“BICES-X,” “DIA,” “Offutt,” “TS/SCI”",Peraton; GDIT,nan,nan,CACI,C5ISR,nan,DIA mapping examples,Network engineers; sysadmins; cyber analysts,47QFRA24F0005,BICES-X,Medium,2,,,,,,,,,,,,,,,,,,,,,Not Queried
DIA EMERALD,EMERALD,NGA,nan,Secret,Medium,nan,nan,TS/SCI,Intel,nan,nan,nan,Peraton (Perspecta heritage),Professional Services,nan,Medium,“Talent acquisition lead at Perspecta (now Peraton) for NGA’s EMERALD contract”,80GSFC19C0063,EMERALD,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
DIA Information Systems Engineering Office,ISEO,DIA,nan,TS/SCI,High,$400M,nan,Reston VA; JBAB DC,“DIA IT Sustainment”,Insight Global; TEKsystems,nan,nan,Leidos,nan,nan,AI-Generated playbook,Sysadmin; help desk; desktop support,HHSN261200800001E,ISEO,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
DIA Infrastructure Services Enterprise Ops,ISEO,DIA,nan,TS/SCI w/ Poly,High,$401M,nan,JBAB DC; Reston VA,“Leidos secures $401M… manage DIA IT operations”,SHINE Systems + others,nan,nan,Leidos,Intel,nan,Contract award notes,Service desk; data center ops; mobile/IA teams,HHSN261200800001E,ISEO,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
DIA Infrastructure Services Ops,ISEO,DIA,nan,TS/SCI,High,$401M,nan,DIA HQ (DC) + field sites,“DIA ISEO… modernization & O&M… small biz”,SHINE Systems (SB),nan,nan,Leidos,nan,nan,Award description,Service desk; mobile support; IA & data center,HHSN261200800001E,ISEO,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
DIA ISEO,ISEO,DIA,nan,TS/SCI,High,$400M,nan,Washington DC (Bolling); remote sites,“DIA ISEO – Leidos – TS/SCI IT workforce”,nan,nan,nan,Leidos,nan,nan,Line from BD artifacts,IT support; help desk; desktop support,NSFDACS1219442,ISEO,Medium,2,,,,,,,,,,,,,,,,,,,,,Not Queried
DIA ISEO (IT Sustainment for DIA),ISEO,DIA,nan,TS/SCI,High,$400M,nan,Washington DC; Fort Meade MD,“Staffing surge… clearance delays… BICES similarities”,Smaller cleared firms (unnamed),nan,nan,Leidos,Intel,nan,Notes in program extraction,Help desk; desktop; surge staffing,HHSN261200800001E,ISEO,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
DIA IT Sustainment & Engineering Office,ISEO,DIA,High,TS/SCI,High,$400M,COST-PLUS / SUSTAINMENT,Reston VA; JBAB DC,"“DIA ISEO,” “Help Desk,” “PTS angle”",Apex Systems; Insight Global,Target,nan,Leidos,Intel,nan,BD Playbook examples,Help desk; desktop; IT sustainment engineers,HHSN261200800001E,ISEO,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
DIA IT Sustainment & Enterprise Ops,ISEO,DIA,nan,TS/SCI,High,$400M,nan,JBAB DC; DIA field sites,“$400M… large TS/SCI help desk & network ops”,SHINE Systems (SB) + others,nan,nan,Leidos,Intel,nan,Program line,Tier 1–3 help desk; VIP support; network operations,NSFDACS1219442,ISEO,Medium,2,,,,,,,,,,,,,,,,,,,,,Not Queried
DIA IT Sustainment & Enterprise Ops (Task Order),ISEO,DIA,High,TS/SCI,High,$400M,IDIQ,JBAB DC; Reston VA,“Backbone enterprise IT… small cleared firms fill routine support”,SHINE Systems + small SBs,Target,nan,Leidos,Intel,nan,Provided BD notes,Desktop/VIP support; service desk; network ops,HHSN261200800001E,ISEO,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
DIA IT Sustainment (ISEO),ISEO,DIA,nan,TS/SCI,High,$400M,nan,Reston VA; Bolling AFB; CO,“ISEO… staffing gaps… surge TS/SCI support”,Small firms (surge IT),nan,nan,Leidos,Sustainment,nan,BD notes,Desktop; help desk; TS-cleared techs,NSFDACS1219442,ISEO,Medium,2,,,,,,,,,,,,,,,,,,,,,Not Queried
DIA SITE III,SITE III,DIA,nan,TS/SCI w/ Poly,Medium,$12.6B,nan,Worldwide CONUS/OCONUS,“DIA; Multi-Int; Big Data”,Booz Allen; SAIC,nan,nan,Leidos,Intel,nan,Site III ecosystem notes,DevSecOps; cyber; AI/ML; big data,NSFDACS1219442,SITE III,Medium,2,,,,,,,,,,,,,,,,,,,,,Not Queried
DIA SITE III IDIQ,SITE III,DIA,nan,TS/SCI,High,nan,nan,National Harbor MD (conference note),“PTS could position for subcontracting”,PTS (prospective sub),nan,nan,"Leidos, CACI, others",Intel,nan,Program notes,Cyber; IT infrastructure; systems engineering,47QFRA24F0005,SITE III,Medium,2,,,,,,,,,,,,,,,,,,,,,Not Queried
DIA Solutions for the Information Technology Enterprise III,SITE III,DIA,High,TS/SCI,High,$12.6B,IDIQ,JBAB DC; DIA field sites,“High TO velocity… large TS/SCI cleared workforce”,SHINE Systems (cleared SB),Target,"January 1, 2021 → January 1, 2031",Multi-award primes,Intel,nan,SITE III documentation,Sys/Win/Linux Admin; Service Desk; SharePoint Admin,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,Not Queried
DIMS (Peraton),DIMS,Air Force,nan,Secret,Medium,nan,nan,Secret,“DIMS Peraton”,nan,nan,nan,Peraton,Data,nan,Program list reference,Data analysts; IT sustainment; cloud/DB support,47QFCA20F0015,DIMS,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
DISA ENCORE III,ENCORE III,DISA,nan,Secret,Medium,$17.5B,nan,DoD-wide,“19 performance areas… network support… cyber”,Numerous small SB subs,nan,nan,20 large + 20 small primes,Professional Services,nan,IDIQ description,IT modernization; software; cyber; net ops,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,Not Queried
DISA ENCORE III Cyber Task Orders,ENCORE III Cyber,DISA,nan,TS/SCI,Medium,$17.5B,nan,Fort Meade MD; Scott AFB IL,“CACI ENCORE III Cyber TOs… 15+ reqs”,SB partners,nan,nan,CACI,Cyber,nan,Program references,Boundary protection; DevSecOps; PKI; cyber engineering,47QFRA19F0011,ENCORE III Cyber,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
DISA Enterprise IT Support / Cloud Support BPA,nan,DISA,nan,Top Secret,Low,nan,nan,Crystal City VA; Fort Meade MD,“DISA’s Cloud Support BPA”,nan,nan,nan,Multiple primes,nan,nan,BPA notes,Cloud SMEs; security engineers; cloud ops,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,Not Queried
DISA Global Service Mgmt – Ops II,GSM-O II,DISA,nan,"Secret, TS/SCI",High,$6.52B,nan,Scott AFB IL; Fort Meade MD; Montgomery AL; Lackland TX,“GSM-O II JRSS/Network Ops… 30+ openings”,GD; AT&T/Verizon; Parsons; staffing partners,nan,nan,Leidos,nan,nan,Provided text,Network admin; boundary security; NOC; ServiceNow devs,89243318CFE000003,GSM-O II,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
DISA GSM-O II,GSM-O II,DISA,nan,TS/SCI,High,$6.52B,nan,Worldwide (DoDIN NOCs),“Global network ops & cyber… 24×7 NOC… Leidos uses staffing firms for surge support”,Various staffing firms for NOC/cyber (Insight Global; Apex Systems etc.),nan,nan,Leidos,Cyber,nan,GSM-O II program description,Network ops center techs; cyber analysts; NOC engineers; JRSS staff,HHSN261200800001E,GSM-O II,Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
DISA GSM-O II (Surge Staffing Focus),GSM-O II,DISA,High,TS/SCI,High,$6.5B,IDIQ,Scott AFB; Fort Meade,“PTS placement at Scott AFB”; “Leidos uses subs for surge”,Insight Global; Apex Systems,Target,nan,Leidos,Cyber,nan,BD mapping notes,NOC technicians; ServiceNow developers; cyber analysts,HHSN261200800001E,GSM-O II,Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
DISA JWCC – Joint Warfighting Cloud Capability,JWCC,DISA,nan,TS/SCI,Medium,$9B,nan,Global DoD; Crystal City VA,“JWCC multi-cloud accounts… CCPO initiatives”,nan,nan,nan,Amazon; Microsoft; Google; Oracle,Cyber,nan,JWCC passage in BD text,Cloud architects; cloud security engineers; multi-cloud administrators,W91CRB20F0448,JWCC,High,5,,,,,,,,,,,,,,,,,,,,,Not Queried
DISA Supply Chain Mgmt (GDIT),DSCM-GDIT,DISA,Medium,Secret,Medium,nan,Program,Fort Meade MD,“DSCM”,nan,nan,nan,GDIT,IT Ops,nan,Row text,IT/cyber analysts; logistics IT support,19AQMM18C0185,DSCM-GDIT,High,3,,,,,,,,,,,,,,,,,,,,,Not Queried
Distributed Common Ground System (AF),DCGS,Air Force,Medium,Secret,Medium,nan,Ongoing,TS/SCI,Intel / C5ISR,nan,Target,nan,BAE; multiple,Professional Services,nan,Medium,“AF DCGS”,FA821413C0001,DCGS,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
DLA J6 Enterprise Tech Services,JETS,DoD,nan,Secret,High,$6B,nan,DLA CONUS sites,“Perspecta used Apex Systems in 17 states”,Many small/large IT subs,nan,nan,Multiple Awardees,nan,nan,DLA JETS reference text,Help desk; app support; network ops,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,Not Queried
DLA J6 Enterprise Technology Services,DLA JETS,DoD,nan,"Public Trust, Secret",High,$6B,nan,Fort Belvoir; Columbus OH; Philadelphia PA,"“J6”, “IDIQ”, “Enterprise Tech Services”",Agile Defense; Capstone; others (needs-scrape),nan,nan,CACI; Deloitte; SAIC; GDIT,nan,nan,DoD Program List.xlsx (L2–L10),Sysadmin; help desk; cyber; engineering,SAQMMA12C0130,DLA JETS,Medium,2,,,,,,,,,,,,,,,,,,,,,Not Queried
DLA J6 Enterprise Technology Services 2.0,DLA JETS 2.0,DoD,nan,"Secret, TS/SCI",High,$6B,nan,Fort Belvoir; Columbus OH; Scott AFB IL,“JETS 2.0”; “Leidos”; “Scott AFB”,Insight Global; Bowhead; SAIC,nan,nan,Leidos; GDIT; Booz Allen; CACI; Peraton,Cyber,nan,BD target ranking notes,Network engineer; cyber; cloud architect; sysadmin,47QFCA21F0018,DLA JETS 2.0,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
DLA JETS (DLA J6 Variant),JETS,DoD,nan,Secret,Medium,nan,nan,Richmond VA; Columbus OH; other CONUS sites,“Large MA-IDIQ with constant TO churn”,nan,nan,nan,Multiple primes,nan,nan,Row text,Network engineers; sysadmins; software dev; cyber,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,Not Queried
DLA JETS 2.0 (Follow-On),JETS 2.0,DoD,nan,Secret,High,$11.9B,nan,NCR; remote,“$11.9B – GDIT & CACI”,nan,nan,nan,CACI; GDIT,nan,nan,Row text,IT; cyber; logistics analysts,19AQMM18C0185,JETS 2.0,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
DoD Health Modernization,DHMSM (MHS GENESIS),DoD,nan,"Public Trust, Secret",Medium,Multi-$B,nan,MTFs nationwide,“Joint EHR”,Many,nan,nan,Leidos; Cerner; Accenture,Health IT,nan,Row text,Health IT; clinical IT integration; systems analysts,HHSN261200800001E,DHMSM (MHS GENESIS),Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
DoD High Performance Computing Modernization Program – HITS / HITS-U Support,HITS / HITS-U,DoD,nan,"Public Trust, Secret",High,$586M,nan,DSRC sites: ERDC (Vicksburg MS); ARL (Aberdeen MD); AFRL (Wright-Patterson AFB OH),“HITS-U… DoD High Performance Computing… DSRC… HPCMP… SAIC… ERDC/ARL/AFRL”,Analytical Services Inc. (past); other HPC small-business partners (needs-scrape),nan,nan,SAIC,nan,nan,Derived from SAIC HPCMP/HITS program details in your files,HPC system administrators; network engineers; computational scientists; storage engineers; Linux cluster admins; petascale systems operators,FA877319FA023,HITS / HITS-U,Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
DoD IAC Multiple Award Contract,IAC-MAC,DoD,nan,Secret,Medium,$28B,nan,DoD labs CONUS,“IAC”,Universities; labs; niche contractors,nan,nan,Multiple primes,R&D,nan,Provided row,R&D SMEs; scientists; analysts,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,Not Queried
DoD Information Analysis Center MAC,IAC-MAC,DoD,Medium,Secret,Medium,$28B,IDIQ,CONUS R&D labs,“22 technical focus areas… prototype projects”,Universities; labs; niche firms,nan,"January 1, 2018 → January 1, 2027",Multiple,R&D,nan,Provided,Scientists; R&D engineers; prototype developers,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,Not Queried
DoD Joint Service Provider – Pentagon IT & ICAM,JSP,DoD,nan,"Secret, Top Secret",Medium,$190M,nan,Pentagon; NCR,“DoD JSP… enterprise IT services”,SB partners,nan,nan,CACI (incumbent),nan,nan,Provided data,Helpdesk; deskside; VTC; ICAM,47QFRA19F0011,JSP,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
DoD JSP – Pentagon IT & ICAM (AFNCR/ICAM),AFNCR / ICAM,Air Force,Medium,"Secret, Top Secret",Medium,$450M,Services,Pentagon; JB Andrews,“Leidos… AFNCR communications… Pentagon”,nan,Target,nan,Leidos,IT Ops,nan,Provided text,Desktop support; NetOps; ICAM engineers,HHSN261200800001E,AFNCR / ICAM,Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
DSS Support,DSS Support,DoD,Medium,Secret,Medium,nan,Services,NCR,“DSS/DCSA”,nan,nan,nan,Northrop (mention); others,IT Ops,nan,Row text,Security IT; insider threat IT support,FA821920C0006,DSS Support,Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
DTIC / IAC MAC,IAC-MAC,DoD,nan,Secret,Medium,$28B,nan,DoD labs,“IAC”,Multiple,nan,nan,Multiple,R&D,nan,IAC MAC references,R&D SMEs; scientific analysts,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,Not Queried
DTRA IAC-MAC Research & Analysis,IAC-MAC,DoD,nan,"Secret, Top Secret",Medium,$28B,nan,Fort Belvoir; Kirtland AFB,“10+ openings… research analysts”,Universities; labs; niche R&D firms,nan,nan,CACI,Intel,nan,Row text,Nuclear/Bio defense analysts; data scientists,GSQ0017AJ0006,IAC-MAC,Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
DTRA Integrated IT Support Services,I3TS,DoD,nan,"Secret, Top Secret",High,$205M,nan,Fort Belvoir; Kirtland AFB,“DTRA IT modernization”,TekSynap,nan,nan,Leidos,nan,nan,Row text,IT; cyber; ZTA specialists,70T04019C9DAP3006,I3TS,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
DTRA Integrated IT Support Services,I3TS,DoD,nan,"Secret, Top Secret",High,$205M,nan,Fort Belvoir; Kirtland AFB,“DTRA IT modernization”,TekSynap,nan,nan,Leidos,nan,nan,Row text,IT; cyber; ZTA specialists,70T04019C9DAP3006,DTRA I3TS,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
DTRA Integrated IT Support Services,DTRA I3TS,DoD,nan,"Secret, Top Secret",High,$205M,nan,Fort Belvoir VA; Kirtland AFB NM,"“Leidos hiring… DTRA I3TS… Fort Belvoir, Kirtland”",TekSynap; SB partners,nan,nan,Leidos,nan,nan,Provided,Network admin; systems engineer; cyber analyst,70T04019C9DAP3006,I3TS,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
DTRA Integrated IT Support Services,DTRA I3TS,DoD,nan,"Secret, Top Secret",High,$205M,nan,Fort Belvoir VA; Kirtland AFB NM,"“Leidos hiring… DTRA I3TS… Fort Belvoir, Kirtland”",TekSynap; SB partners,nan,nan,Leidos,nan,nan,Provided,Network admin; systems engineer; cyber analyst,70T04019C9DAP3006,DTRA I3TS,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
DTRA IT Modernization / Support Services,I3TS (ITSS),DoD,nan,"Secret, Top Secret",High,$205M,nan,Fort Belvoir; Kirtland AFB,“Zero Trust… AI automation focus”,TekSynap,nan,nan,Leidos,Cyber,nan,“DTRA I3TS – $205M…”,Service desk; network mgmt; Zero Trust engineers,HHSN261200800001E,I3TS (ITSS),Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
DTRA IT Support Modernization,I3TS,DoD,nan,"Secret, Top Secret",High,$205M,nan,Fort Belvoir; Kirtland AFB,“PTS placed techs at DTRA HQ and AF Security reps at Kirtland”,TekSynap,nan,nan,Leidos,nan,nan,BD notes,IT admins; service desk; network engineers,70T04019C9DAP3006,I3TS,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
DTRA IT Support Services,I3TS,DoD,nan,"Secret, Top Secret",High,$205M,nan,Fort Belvoir; Kirtland AFB,“Leidos took over from SB… attrition backfill”,TekSynap,nan,nan,Leidos,Cyber,nan,Row text,Help desk; network eng; Zero Trust,HHSN261200800001E,I3TS,Low,0,,,,,,,,,,,,,,,,,,,,,Not Queried
"EDIS – Engineering, Development, Integration & Sustainment",EDIS,Space Force,nan,"Secret, Top Secret",Medium,$655M,nan,Los Angeles AFB; Colorado Springs; Huntsville,“Space ground integration”,nan,nan,nan,SAIC,nan,nan,Row text,Systems/software engineers; cyber engineers; space-ground integration,FA251822F0034,EDIS,Medium,1,,,,,,,,,,,,,,,,,,,,,Not Queried
