Program Name,Acronym,Agency Owner,BD Priority,Clearance Requirements,Confidence Level,Contract Value,Contract Vehicle,Key Locations,Keywords/Signals,Known Subcontractors,PTS Involvement,Period of Performance,Prime Contractor Name,Program Type,Recompete Date,Source Evidence,Typical Roles
Common Open Operational Launch Range,COOLR,Space Force,,Secret,Medium,,,Ranges (test ranges),“Launch range C2”,,,,Lockheed Martin (indicative),,,,C2 / Range software engineers
Comms Technical Support V,CTSS V,DoD,,"Secret, Top Secret",High,$865M,,SW Asia AOR + MacDill AFB reach-back,“OCONUS rotations”; “$865M… OCONUS support”,Prior incumbent GDIT; AVI-SPL (A/V),,,GovCIO (Salient CRGT),,,Provided CTSS V details,Deployed comms techs; network eng; IT O&M technicians
Consolidated AFSCN Mod & Ops,CAMMO,Space Force,,"Secret, Top Secret",High,$446M,,"Schriever SFB CO; worldwide tracking stations (HI, DG, UK)",“AFSCN Operations… merged three contracts… L3Harris principal subcontractor”,L3Harris; KBR/FTI; LinQuest,,,CACI (via L-3 NSS acquisition),,,CAMMO description as provided,Satellite tracking ops; RF techs; network engineers
Consolidated AFSCN Mod & Ops – Secondary Row,CAMMO,Space Force,,"Secret, Top Secret",High,$446M,,Schriever SFB; worldwide tracking,“AFSCN O&M… merged contracts… CACI prime”,L3Harris; KBR; LinQuest,,,CACI,,,CAMMO reference,Satellite controllers; RF techs; network ops
Conventional Prompt Strike,CPS,Army,,"Secret, Top Secret",Medium,Multi-$B,,Fleet & Army strategic sites,“Hypersonic missiles”,Northrop; others,,,Lockheed Martin,Weapon Systems,,,Hypersonic engineers; test engineers; flight test support
Conventional Prompt Strike – Secondary Row,CPS,Navy,Medium,"Secret, Top Secret",Medium,Multi-$B,Production,Fleet & Army,“Hypersonic missiles”,Northrop; subsystem providers,None,"January 1, 2019",Lockheed Martin,Weapon Systems,,Hypersonics notes,Hypersonic engineering; embedded software; flight test
Counterintelligence Field Activity,CIFA,DIA,,TS/SCI w/ Poly,Low,,,Washington DC,"“Counterintel, CIFA, CI Agent”",unknown,,,CACI,Intel,,Older PTS past performance notes,HUMINT; CI analyst; intel support
Counterintelligence Field Activity – Secondary Row,CIFA,DIA,,TS/SCI w/ Poly,Low,,,Washington DC,“CIFA”,unknown,,,CACI,Intel,,PTS past performance notes,HUMINT; CI agents; intel collection
CRIP (Indicative Program),CRIP,DoD,,Secret,Medium,,,Secret,IT Ops,,,,,Professional Services,,Medium,“CRIP”
CTSS V (Expanded Listing),CTSS V,DoD,,"Secret, Top Secret",High,$865M,,Qatar; Kuwait; Bahrain; Iraq; etc.,“Comprehensive comms & IT O&M across CENTCOM AOR”,AVI-SPL; Trace Systems (likely),,,GovCIO,,,CTSS V narrative,Comms techs; RF; SATCOM; network administrators
CYBAR TRON (Recompete),CYBAR TRON,DoD,,Secret,Medium,,,,“CYBAR TRON”,,,,,Cyber,,Row entry,Cyber engineers; cyber analysts
Data Center & Cloud Optimization,DCCO,DHS,,"Public Trust, Secret",Medium,,,NCR,“DHS cloud/DC”,Multiple,,,Peraton / Leidos (indicative),,,Row text,Cloud ops; DC ops
DC3 – Defense Cyber Crime Center,DC3,DoD,,TS/SCI,Medium,,,Linthicum MD,“DC3”,,,,Peraton,Cyber,,,Forensics; malware; cyber intel
DC3 Cyber Crime Center – Secondary Row,DC3,DoD,,Secret,Medium,,,TS/SCI,Cyber,,,,Peraton,Cyber,,Medium,“DC3 forensics”
Defense Cyber Crime Center,DC3,DoD,,TS/SCI,Medium,,,Linthicum MD,“DC3”,,,,Peraton,Cyber,,Row text,Digital forensics; malware analysis; cyber investigators
Defense Enclave Services,DES,DoD,,Secret,High,$11.5B,,Fort Belvoir VA (HQ),“PTS is already on DES (Fort Belvoir placements)”,PTS (subcontractor),,,Leidos,,,BD evidence,Systems engineers; IT support; service desk; NOC staff
Defense Enclave Services – Fourth Estate IT Consolidation,DES,DISA,,Secret,High,$11.5B,,Fort Meade MD; Fort Belvoir VA; Columbus OH; Philadelphia PA,“DES… Leidos… large IT consolidation; subs incl. NOVA-Diné”,NOVA-Diné; Accenture Federal; AT&T; Thundercat; various SBs,,,Leidos,,,Provided row text,Migration engineers; service desk; deskside support; floor-walkers; NOC/enterprise support
Defense Enclave Services (DoDNet),DES (DoDNet),DISA,High,"Secret, Top Secret",High,$11.5B,IDIQ,Fort Belvoir; multiple 4th Estate bases,“Consolidating 4th Estate networks… PTS placed desktop support at Belvoir”,NOVA-Diné; other tribal small businesses; cleared IT subs,Current,,Leidos,IT Ops,,DES intel lines,Help desk; sysadmin; network/security ops
Defense Enterprise Office 365 Migration / DoD365,DOD365,DISA,,Secret,High,,,Crystal City VA; remote,“DOD365; Microsoft 365; Flank Speed; cloud migration”,Five Star Technology Solutions,,,Microsoft,Cyber,,CVR/CCPO support references,O365 admins; migration leads; help desk; Teams/Exchange engineers
Defense Enterprise Office Solutions,DEOS,DISA,,"Public Trust, Secret, Top Secret",Low,,,DoD & federal offices CONUS/OCONUS,“DEOS PMO referenced in DISA Hosting & Compute context”,,,,CSRA / Leidos (team),,,Provided notes,O365/Teams engineers; cloud architects; UC engineers; enterprise email support
Defense Health Agency Desktop to Datacenter,D2D,DoD,,Secret,Medium,$4.3B,,San Antonio TX; NCR; Hawaii,"“DHA, D2D, Desktop to Datacenter, GDIT”",Leidos; Perspecta; DHA IT partners,,,GDIT,,,“Top 20 DoD Programs”,Desktop support; help desk; sysadmin; endpoint engineers
Defense Health Agency Modernization / MHS GENESIS,MHS GENESIS,DoD,,"Public Trust, Secret",Medium,$4.3B,,San Antonio TX; Falls Church VA,“DHA; MHS GENESIS; Leidos; Healthcare IT”,Cerner;; Booz Allen Hamilton,,,Leidos,,,BD cross-reference,Healthcare IT engineers; systems analysts; clinical/tech integration roles
Defense Logistics Agency – J6 Enterprise Technology Services,DLA JETS,DoD,Medium,Secret,Medium,,Multi-Year,Secret (indicative),IT Ops,,None,,Multiple (IDIQ pool),Professional Services,,Medium,“DLA JETS”
Defense Satellite Communications Modernization,DSCM (Satellite),Space Force,,Secret,Medium,,,Colorado Springs; Fort Meade,“DSCM Satellite”,,,,CACI,,,Row text,SATCOM RF engineers; network engineers
DFAS Enterprise IT Support – Secondary Row,DFAS-Peraton,DoD,,Public Trust,Medium,,,DFAS nationwide,“Finance IT support”,,,,Peraton,,,Row listing,Financial IT; ERP modernization
DFAS Enterprise Support,DFAS-Peraton,DoD,Medium,Public Trust,Medium,,Services,DFAS sites,“Finance IT”,,None,,Peraton,IT Ops,,,Financial systems IT; ERP support
DGFS (RTX),DGFS,DoD,,Secret,Medium,,,Tucson AZ + other sites,“DGFS RTX”,,,,Raytheon (RTX),Weapon Systems,,,Munitions engineers; missile specialists
DHA Enterprise IT Services BPA,EITSI,DoD,Medium,"Public Trust, Secret",Medium,$2B,BPA,DHA sites,“Health IT”,Multiple,None,"January 1, 2022",Peraton (Perspecta heritage),IT Ops,,Provided entry,Service desk; modernization; health IT
DHA Enterprise IT Transformation,EITSI (BPA),DoD,High,"Public Trust, Secret",High,$2B,BPA,DHA sites,“Perspecta secures $2B BPA”,Multiple,None,"January 1, 2022",Peraton (Perspecta),IT Ops,,BPA news references,Health IT desk; modernization engineers; cyber
DHS Cybersecurity Support Contract,,DHS,,Top Secret,Low,,,DC Metro,“He runs 100 people on a DHS DISA I think project”,,,,Five Star Technology Solutions,Cyber,,Provided context,Cybersecurity SMEs; program managers
DHS Data Center 2,DC2,DHS,,"Public Trust, Secret",Medium,,,DC2 sites,“DHS DC2”,Multiple,,,GDIT / Peraton (indicative),,,,DC engineers; ops; cloud
DHS Enterprise IT Services I,EITS I,DHS,,"Public Trust, Secret",Medium,,,DHS HQ,“DHS HQ IT”,Multiple subs,,,Leidos / SAIC (indicative),,,,IT services; enterprise support
DIA Battlefield Information Networks / BICES-X,BICES-X,DIA,,TS/SCI,High,,,Offutt AFB NE; Stuttgart Germany,"“BICES-X,” “DIA,” “Offutt,” “TS/SCI”",Peraton; GDIT,,,CACI,C5ISR,,DIA mapping examples,Network engineers; sysadmins; cyber analysts
DIA EMERALD,EMERALD,NGA,,Secret,Medium,,,TS/SCI,Intel,,,,Peraton (Perspecta heritage),Professional Services,,Medium,“Talent acquisition lead at Perspecta (now Peraton) for NGA’s EMERALD contract”
DIA Information Systems Engineering Office,ISEO,DIA,,TS/SCI,High,$400M,,Reston VA; JBAB DC,“DIA IT Sustainment”,Insight Global; TEKsystems,,,Leidos,,,AI-Generated playbook,Sysadmin; help desk; desktop support
DIA Infrastructure Services Enterprise Ops,ISEO,DIA,,TS/SCI w/ Poly,High,$401M,,JBAB DC; Reston VA,“Leidos secures $401M… manage DIA IT operations”,SHINE Systems + others,,,Leidos,Intel,,Contract award notes,Service desk; data center ops; mobile/IA teams
DIA Infrastructure Services Ops,ISEO,DIA,,TS/SCI,High,$401M,,DIA HQ (DC) + field sites,“DIA ISEO… modernization & O&M… small biz”,SHINE Systems (SB),,,Leidos,,,Award description,Service desk; mobile support; IA & data center
DIA ISEO,ISEO,DIA,,TS/SCI,High,$400M,,Washington DC (Bolling); remote sites,“DIA ISEO – Leidos – TS/SCI IT workforce”,,,,Leidos,,,Line from BD artifacts,IT support; help desk; desktop support
DIA ISEO (IT Sustainment for DIA),ISEO,DIA,,TS/SCI,High,$400M,,Washington DC; Fort Meade MD,“Staffing surge… clearance delays… BICES similarities”,Smaller cleared firms (unnamed),,,Leidos,Intel,,Notes in program extraction,Help desk; desktop; surge staffing
DIA IT Sustainment & Engineering Office,ISEO,DIA,High,TS/SCI,High,$400M,COST-PLUS / SUSTAINMENT,Reston VA; JBAB DC,"“DIA ISEO,” “Help Desk,” “PTS angle”",Apex Systems; Insight Global,Target,,Leidos,Intel,,BD Playbook examples,Help desk; desktop; IT sustainment engineers
DIA IT Sustainment & Enterprise Ops,ISEO,DIA,,TS/SCI,High,$400M,,JBAB DC; DIA field sites,“$400M… large TS/SCI help desk & network ops”,SHINE Systems (SB) + others,,,Leidos,Intel,,Program line,Tier 1–3 help desk; VIP support; network operations
DIA IT Sustainment & Enterprise Ops (Task Order),ISEO,DIA,High,TS/SCI,High,$400M,IDIQ,JBAB DC; Reston VA,“Backbone enterprise IT… small cleared firms fill routine support”,SHINE Systems + small SBs,Target,,Leidos,Intel,,Provided BD notes,Desktop/VIP support; service desk; network ops
DIA IT Sustainment (ISEO),ISEO,DIA,,TS/SCI,High,$400M,,Reston VA; Bolling AFB; CO,“ISEO… staffing gaps… surge TS/SCI support”,Small firms (surge IT),,,Leidos,Sustainment,,BD notes,Desktop; help desk; TS-cleared techs
DIA SITE III,SITE III,DIA,,TS/SCI w/ Poly,Medium,$12.6B,,Worldwide CONUS/OCONUS,“DIA; Multi-Int; Big Data”,Booz Allen; SAIC,,,Leidos,Intel,,Site III ecosystem notes,DevSecOps; cyber; AI/ML; big data
DIA SITE III IDIQ,SITE III,DIA,,TS/SCI,High,,,National Harbor MD (conference note),“PTS could position for subcontracting”,PTS (prospective sub),,,"Leidos, CACI, others",Intel,,Program notes,Cyber; IT infrastructure; systems engineering
DIA Solutions for the Information Technology Enterprise III,SITE III,DIA,High,TS/SCI,High,$12.6B,IDIQ,JBAB DC; DIA field sites,“High TO velocity… large TS/SCI cleared workforce”,SHINE Systems (cleared SB),Target,"January 1, 2021 → January 1, 2031",Multi-award primes,Intel,,SITE III documentation,Sys/Win/Linux Admin; Service Desk; SharePoint Admin
DIMS (Peraton),DIMS,Air Force,,Secret,Medium,,,Secret,“DIMS Peraton”,,,,Peraton,Data,,Program list reference,Data analysts; IT sustainment; cloud/DB support
DISA ENCORE III,ENCORE III,DISA,,Secret,Medium,$17.5B,,DoD-wide,“19 performance areas… network support… cyber”,Numerous small SB subs,,,20 large + 20 small primes,Professional Services,,IDIQ description,IT modernization; software; cyber; net ops
DISA ENCORE III Cyber Task Orders,ENCORE III Cyber,DISA,,TS/SCI,Medium,$17.5B,,Fort Meade MD; Scott AFB IL,“CACI ENCORE III Cyber TOs… 15+ reqs”,SB partners,,,CACI,Cyber,,Program references,Boundary protection; DevSecOps; PKI; cyber engineering
DISA Enterprise IT Support / Cloud Support BPA,,DISA,,Top Secret,Low,,,Crystal City VA; Fort Meade MD,“DISA’s Cloud Support BPA”,,,,Multiple primes,,,BPA notes,Cloud SMEs; security engineers; cloud ops
DISA Forecast to Industry (Event),,DISA,,Secret,Medium,,,Fort Meade MD,“DISA Forecast… Networking Event… DoD Events Calendar L140–L150”,,,,,Event,,Provided text,BD reps; capture managers; PMs; cyber/IT vendors
DISA Global Service Mgmt – Ops II,GSM-O II,DISA,,"Secret, TS/SCI",High,$6.52B,,Scott AFB IL; Fort Meade MD; Montgomery AL; Lackland TX,“GSM-O II JRSS/Network Ops… 30+ openings”,GD; AT&T/Verizon; Parsons; staffing partners,,,Leidos,,,Provided text,Network admin; boundary security; NOC; ServiceNow devs
DISA GSM-O II,GSM-O II,DISA,,TS/SCI,High,$6.52B,,Worldwide (DoDIN NOCs),“Global network ops & cyber… 24×7 NOC… Leidos uses staffing firms for surge support”,Various staffing firms for NOC/cyber (Insight Global; Apex Systems etc.),,,Leidos,Cyber,,GSM-O II program description,Network ops center techs; cyber analysts; NOC engineers; JRSS staff
DISA GSM-O II (Surge Staffing Focus),GSM-O II,DISA,High,TS/SCI,High,$6.5B,IDIQ,Scott AFB; Fort Meade,“PTS placement at Scott AFB”; “Leidos uses subs for surge”,Insight Global; Apex Systems,Target,,Leidos,Cyber,,BD mapping notes,NOC technicians; ServiceNow developers; cyber analysts
DISA JWCC – Joint Warfighting Cloud Capability,JWCC,DISA,,TS/SCI,Medium,$9B,,Global DoD; Crystal City VA,“JWCC multi-cloud accounts… CCPO initiatives”,,,,Amazon; Microsoft; Google; Oracle,Cyber,,JWCC passage in BD text,Cloud architects; cloud security engineers; multi-cloud administrators
DISA Supply Chain Mgmt (GDIT),DSCM-GDIT,DISA,Medium,Secret,Medium,,Program,Fort Meade MD,“DSCM”,,,,GDIT,IT Ops,,Row text,IT/cyber analysts; logistics IT support
Distributed Common Ground System (AF),DCGS,Air Force,Medium,Secret,Medium,,Ongoing,TS/SCI,Intel / C5ISR,,Target,,BAE; multiple,Professional Services,,Medium,“AF DCGS”
DLA J6 Enterprise Tech Services,JETS,DoD,,Secret,High,$6B,,DLA CONUS sites,“Perspecta used Apex Systems in 17 states”,Many small/large IT subs,,,Multiple Awardees,,,DLA JETS reference text,Help desk; app support; network ops
DLA J6 Enterprise Technology Services,DLA JETS,DoD,,"Public Trust, Secret",High,$6B,,Fort Belvoir; Columbus OH; Philadelphia PA,"“J6”, “IDIQ”, “Enterprise Tech Services”",Agile Defense; Capstone; others (needs-scrape),,,CACI; Deloitte; SAIC; GDIT,,,DoD Program List.xlsx (L2–L10),Sysadmin; help desk; cyber; engineering
DLA J6 Enterprise Technology Services 2.0,DLA JETS 2.0,DoD,,"Secret, TS/SCI",High,$6B,,Fort Belvoir; Columbus OH; Scott AFB IL,“JETS 2.0”; “Leidos”; “Scott AFB”,Insight Global; Bowhead; SAIC,,,Leidos; GDIT; Booz Allen; CACI; Peraton,Cyber,,BD target ranking notes,Network engineer; cyber; cloud architect; sysadmin
DLA JETS (DLA J6 Variant),JETS,DoD,,Secret,Medium,,,Richmond VA; Columbus OH; other CONUS sites,“Large MA-IDIQ with constant TO churn”,,,,Multiple primes,,,Row text,Network engineers; sysadmins; software dev; cyber
DLA JETS (Variant Row),DLA JETS,DoD,Medium,Secret,Medium,$6B,IDIQ,Richmond VA,"“Logistics, Enterprise Tech”",,None,"January 1, 2016 → January 1, 2024",Multiple,Logistics,,Scoring Engine model citation,Procurement analysts; IT engineers
DLA JETS 2.0 (Follow-On),JETS 2.0,DoD,,Secret,High,$11.9B,,NCR; remote,“$11.9B – GDIT & CACI”,,,,CACI; GDIT,,,Row text,IT; cyber; logistics analysts
DoD Cloud Computing Program Office Support (CCPO / ATAT),CCPO,DISA,High,"Public Trust, Top Secret",High,$21M,FFP,Crystal City VA; Remote; Fort Meade,"“DISA CCPO, ATAT, DoD365, Flank Speed, MS Azure…”",Five Star Technology Solutions,None,"January 1, 2020 → January 1, 2025",Hunter Strategy LLC,Cyber,,Provided text,Cloud engineers; cyber analysts; Azure admins; program managers
DoD Health Modernization,DHMSM (MHS GENESIS),DoD,,"Public Trust, Secret",Medium,Multi-$B,,MTFs nationwide,“Joint EHR”,Many,,,Leidos; Cerner; Accenture,Health IT,,Row text,Health IT; clinical IT integration; systems analysts
DoD High Performance Computing Modernization Program – HITS / HITS-U Support,HITS / HITS-U,DoD,,"Public Trust, Secret",High,$586M,,DSRC sites: ERDC (Vicksburg MS); ARL (Aberdeen MD); AFRL (Wright-Patterson AFB OH),“HITS-U… DoD High Performance Computing… DSRC… HPCMP… SAIC… ERDC/ARL/AFRL”,Analytical Services Inc. (past); other HPC small-business partners (needs-scrape),,,SAIC,,,Derived from SAIC HPCMP/HITS program details in your files,HPC system administrators; network engineers; computational scientists; storage engineers; Linux cluster admins; petascale systems operators
DoD HPC Modernization Program Support (HITS-U),HPCMP (HITS-U),Army,High,Secret,High,$586M,Single Award,Vicksburg MS; Aberdeen MD; Wright-Patterson AFB; other DSRCs,“SAIC… managing five DoD Supercomputing Centers… staffing-intensive”,Analytical Services Inc. (ASI); others,None,"January 1, 2014 → January 1, 2021",SAIC,R&D,,Provided text,HPC sysadmins; computational scientists; network engineers
DoD IAC Multiple Award Contract,IAC-MAC,DoD,,Secret,Medium,$28B,,DoD labs CONUS,“IAC”,Universities; labs; niche contractors,,,Multiple primes,R&D,,Provided row,R&D SMEs; scientists; analysts
DoD Information Analysis Center MAC,IAC-MAC,DoD,Medium,Secret,Medium,$28B,IDIQ,CONUS R&D labs,“22 technical focus areas… prototype projects”,Universities; labs; niche firms,None,"January 1, 2018 → January 1, 2027",Multiple,R&D,,Provided,Scientists; R&D engineers; prototype developers
DoD Joint Service Provider – Pentagon IT & ICAM,JSP,DoD,,"Secret, Top Secret",Medium,$190M,,Pentagon; NCR,“DoD JSP… enterprise IT services”,SB partners,,,CACI (incumbent),,,Provided data,Helpdesk; deskside; VTC; ICAM
DoD JSP – Pentagon IT & ICAM (AFNCR/ICAM),AFNCR / ICAM,Air Force,Medium,"Secret, Top Secret",Medium,$450M,Services,Pentagon; JB Andrews,“Leidos… AFNCR communications… Pentagon”,,Target,,Leidos,IT Ops,,Provided text,Desktop support; NetOps; ICAM engineers
DOORS,,Other,,,Low,,,,,,,,,Professional Services,,,
DOTIE (indicative),DOTIE,DoD,,Public Trust,Medium,,,DOT,“DOT IT”,,,,,,,Row text,IT operations
DSS Support,DSS Support,DoD,Medium,Secret,Medium,,Services,NCR,“DSS/DCSA”,,None,,Northrop (mention); others,IT Ops,,Row text,Security IT; insider threat IT support
DTIC / IAC MAC,IAC-MAC,DoD,,Secret,Medium,$28B,,DoD labs,“IAC”,Multiple,,,Multiple,R&D,,IAC MAC references,R&D SMEs; scientific analysts
DTRA IAC-MAC Research & Analysis,IAC-MAC,DoD,,"Secret, Top Secret",Medium,$28B,,Fort Belvoir; Kirtland AFB,“10+ openings… research analysts”,Universities; labs; niche R&D firms,,,CACI,Intel,,Row text,Nuclear/Bio defense analysts; data scientists
DTRA Integrated IT Support Services,I3TS,DoD,,"Secret, Top Secret",High,$205M,,Fort Belvoir; Kirtland AFB,“DTRA IT modernization”,TekSynap,,,Leidos,,,Row text,IT; cyber; ZTA specialists
DTRA Integrated IT Support Services,DTRA I3TS,DoD,,"Secret, Top Secret",High,$205M,,Fort Belvoir VA; Kirtland AFB NM,"“Leidos hiring… DTRA I3TS… Fort Belvoir, Kirtland”",TekSynap; SB partners,,,Leidos,,,Provided,Network admin; systems engineer; cyber analyst
DTRA IT Modernization / Support Services,I3TS (ITSS),DoD,,"Secret, Top Secret",High,$205M,,Fort Belvoir; Kirtland AFB,“Zero Trust… AI automation focus”,TekSynap,,,Leidos,Cyber,,“DTRA I3TS – $205M…”,Service desk; network mgmt; Zero Trust engineers
DTRA IT Support Modernization,I3TS,DoD,,"Secret, Top Secret",High,$205M,,Fort Belvoir; Kirtland AFB,“PTS placed techs at DTRA HQ and AF Security reps at Kirtland”,TekSynap,,,Leidos,,,BD notes,IT admins; service desk; network engineers
DTRA IT Support Services,I3TS,DoD,,"Secret, Top Secret",High,$205M,,Fort Belvoir; Kirtland AFB,“Leidos took over from SB… attrition backfill”,TekSynap,,,Leidos,Cyber,,Row text,Help desk; network eng; Zero Trust
"EDIS – Engineering, Development, Integration & Sustainment",EDIS,Space Force,,"Secret, Top Secret",Medium,$655M,,Los Angeles AFB; Colorado Springs; Huntsville,“Space ground integration”,,,,SAIC,,,Row text,Systems/software engineers; cyber engineers; space-ground integration
EDIS / HADES (follow-on),EDIS/HADES,Space Force,,"Secret, Top Secret",Medium,,,LAAFB; CONUS ISR nodes,“EDIS/HADES”,,,,SAIC / Army,Intel,,Row text,SE&I; ISR analysts; systems engineering
EITaaS (Pilot – USAF),EITaaS,Air Force,,"Public Trust, Secret",Medium,$50M,,Multiple bases,“Outsourced base IT (pilot)”,AT&T; Microsoft,,,CACI (pilot),,,Program notes,Base IT; service desk; help desk; end-user services
ENCORE III,ENCORE III,DISA,,Secret,Medium,$17.5B,,Global CONUS/OCONUS,“DoD IT vehicle”,Numerous,,,20 large + 20 small primes,,,ENCORE III description,IT modernization; cyber; enterprise IT
Engineering Development & Integration Support,EDIS,Space Force,,"Secret, Top Secret",High,$655M,,Los Angeles AFB; Colorado Springs,“Satellite ground systems support… Ground System Enterprise… sustain legacy + integrate new sites”,SES (SW partner),,,SAIC (via Engility),,,Provided,Systems engineers; SW testers; satellite ground engineers
Enterprise Account Tracking & Automation Tool,ATAT,DISA,,TS/SCI,High,$21M,,Crystal City; Remote,“ATAT… cloud account management system… DISA CCPO”,Five Star Tech Solutions,,,Hunter Strategy LLC,Professional Services,,Provided,Software developers; cloud admins; PMs; identity automation
Enterprise Ground Services,EGS,Space Force,Low,TS/SCI,Low,,Services,Peterson SFB / Los Angeles AFB (indicative),“Possible recompete; staffing for cleared ground ops”,,None,,,C5ISR,,Provided text,Ground SW; network ops; Space C2
Enterprise Mission Assurance Program Support,EMAPS,Army,,Secret,Medium,,,NCR,“Mission assurance”,,,,,Cyber,,Row text,RMF; cybersecurity; IA analysts
EUCOM / AFRICOM IT & Communications Support,EUCOM/AFRICOM IT,Air Force,,"Secret, TS/SCI",Medium,$1.3B,,Stuttgart DE; Italy; Djibouti; other OCONUS,“CACI… EUCOM/AFRICOM… OCONUS reqs”,Local national partners; small business subs,,,CACI,,,Provided row,Network ops; field comms; sysadmin; SATCOM support
EUCOM/AFRICOM Enterprise IT & Comms Support,DCWAS (ref name),DoD,,"Secret, Top Secret",High,$1.3B,,Stuttgart DE + 60+ sites across Europe/Africa,“Forward-deployed IT services across 20+ overseas sites”,Local nationals + small-business onsite partners,,,CACI,C5ISR,,“CACI to deliver IT expertise… PTS placed UC SME Stuttgart”,Help desk; network ops; field comms; cloud support
EUCOM/AFRICOM IT & Comms,,DoD,,TS/SCI,High,$1.3B,,Stuttgart + 60 EUCOM/AFRICOM sites,"“OCONUS IT support, 60 sites”",Local partners in Germany & Italy,,,CACI,,,Provided text,Field service techs; network ops; help desk; secure comms
EUCOM/AFRICOM IT & Comms Support,,Air Force,,"Secret, Top Secret",High,$1.3B,,Europe & Africa – 60+ sites,“IT services for EUCOM/AFRICOM… 60+ overseas sites”,Multiple subs (incl. local staffing),,,CACI,C5ISR,,Provided row text,Field comms; network ops; help desk
F-35 Sustainment,F-35 Sustainment,DoD,,Secret,Medium,Multi-$B,,Global F-35 bases,“F-35 sustainment”,RTX; BAE; Northrop,,,Lockheed Martin,IT Ops,,Provided,Sustainment IT; engineering; logistics IT; ALIS/ODIN support
FIAR (USMC Financial Audit Readiness),FIAR-USMF,Marines,,Public Trust,Medium,,,NCR,“FIAR”,,,,,Professional Services,,Provided,Audit / IT controls; financial system assessors
Fleet Readiness Program (Navy),FRP,Navy,Medium,"Public Trust, Secret",Medium,,MULTI-AWARD,Navy depots,“Fleet readiness”,Multiple,None,"January 1, 2025",Multiple primes,Logistics,,Provided,Logistics analysts; IT support; engineering
FORGE (OPIR Ground – Missile Warning C2),FORGE,Space Force,High,"Secret, TS/SCI",High,$197M,MULTI-PRIME,Buckley SFB; Aurora CO,“Missile warning ground; OPIR ingest; SBIRS follow-on”,SciTec; LinQuest (indicative),None,"January 1, 2020 → January 1, 2025",Raytheon (MDPAF); BAE (C2),IT Ops,,Provided,Data processing; OPIR ops; cyber; ground segment engineers
FORGE Ground System,FORGE,Space Force,,"Secret, TS/SCI",Low,,,Aurora CO + distributed ground sites,“Raytheon on M2C2; FORGE ground ops”,Subcontractors for space ground modernization,,,,IT Ops,,Provided,SW engineers; ground systems integrators; cloud engineers
FORGE OPIR Ground,FORGE,Space Force,High,"Secret, TS/SCI",High,$197M,MULTI-PRIME,Buckley SFB; Aurora CO,“FORGE… system operational… ingest SBIRS/OPIR”,SciTec; Boecore; others,None,"January 1, 2020 → January 1, 2025",Raytheon (MDPAF); BAE (C2),IT Ops,,Provided,Data fusion; OPIR ops; cyber engineering
Fort Eisenhower (Gordon) IT Support,,Army,,Secret,Medium,,,Augusta GA,“AESD Fort Eisenhower Augusta TEKsystems”,TEKsystems,,,SAIC,IT Ops,,Provided,Service desk; night-shift coverage; sysadmin; ServiceNow
Future Operationally Resilient Ground Evolution,FORGE,Space Force,,"Secret, TS/SCI",High,$600M,,Buckley SFB; Peterson SFB; Aurora CO,“FORGE… Raytheon $197M; BAE $151M; modernized OPIR ground architecture”,Infinity Systems; LinQuest; SciTec,,,Raytheon (Mission Data Apps); BAE (C2),C5ISR,,Provided,Agile SW; data scientists; systems integrators
GBS (Global Broadcast Service),GBS,DISA,Low,TS/SCI,Low,,SATCOM / BROADCAST PROGRAM,Tampa FL (MacDill AFB); Hawaii; CONUS,"“SATCOM, DISA, GBS, MacDill”",unknown (needs-scrape),None,,L3Harris (historical),C5ISR,,“Clearance overview & site priorities”,SATCOM engineers; RF tech; network admin
GBSD Sentinel Missile Modernization,GBSD,Air Force,,TS/SCI,High,,,Ogden UT; Hill AFB; Vandenberg SFB,“Nuclear missile modernization”; “Sentinel”; “C3 modularity”,Leidos; CACI; other large integrators,,,Northrop Grumman,Weapon Systems,,GBSD/Sentinel program reference,Cleared engineers; mission ops; comms; C2 engineering
GENMOD / VMOD (Army Network/Voice Modernization),GENMOD/VMOD,Army,,Secret,High,$526M,,CONUS & Pacific posts,“CACI secures $526M Network Modernization”,Cisco/HPE; Corning; CommScope; Black Box,,,CACI,IT Ops,,Provided,Network engineers; cabling; voice techs; modernization
GENMOD / VMOD (Network Modernization),GENMOD,Army,,Secret,High,$526M,,Pacific + CONUS,“Base network modernization”,Cisco/HPE; CommScope; Black Box,,,CACI,IT Ops,,Provided,Network installers; voice; cyber
GENMOD / VMOD 2 – Field Service Technicians,VMOD 2,Army,,Secret,Medium,,,CONUS posts,“CACI – VMOD 2 – Field Service Tech”,,,,CACI,IT Ops,,Provided,Field service techs; voice/network modernization
Global Broadcast Service,GBS,DISA,,TS/SCI,Low,,,Tampa FL; Hawaii; CONUS,“SATCOM; GBS; MacDill”,unknown (needs-scrape),,,L3Harris,C5ISR,,Site priorities doc,SATCOM engineer; RF tech; network admin
Global Command and Control System – Joint,GCCS-J,DISA,,TS/SCI,Medium,,,Fort Meade MD; Scott AFB IL,“DISA; legacy C2 modernization”,GDIT; SAIC; Raytheon (likely subs),,,Northrop Grumman,C5ISR,,BD tracker reference,C2 engineers; SW dev; network ops
