program_name,acronym,customer_agency,prime_contractor_name,piid,contract_description,total_contract_value,period_of_performance,base_pop,option_pop,recompete_date,period_start,period_end,ultimate_completion,clearance_requirements,key_locations,task_order_locations,functional_locations,performance_location,keywords_signals,subcontractor_count,subawards_total,subawards_count,typical_roles,functional_areas,job_titles,org_hierarchy,task_orders,functional_teams,required_skills,tech_stack,technical_stack,naics_code,naics_description,psc_code,psc_description,contract_vehicle_type,contract_vehicle,using_office,funding_office,total_value,base_and_options,obligated,prime_uei,prime_legal_name,award_date,fiscal_year,date_signed,prime_poc_name,prime_poc_email,prime_poc_phone,govt_poc_name,govt_poc_email,set_aside,bd_priority,confidence_level,pts_involvement,source_evidence,match_confidence,match_score,data_source,enrichment_date,subaward_count
CBP Enterprise IT Support,CBP-Peraton,DHS,Peraton,GST0011AJ0025,CBP Enterprise IT Support,,2011-02-02 to 2018-05-02,,,11/2/2018,2/2/2011,5/2/2018,5/2/2018,"Public Trust, Secret",CBP sites nationwide,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"CBP sites nationwide, MC LEAN, VIRGINIA",“Border IT”,,,,IT/cyber support staff; network engineers; help desk,,IT/cyber support staff; network engineers; help desk,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],541512,Computer Systems Design Services,R499,,,Services, (),,"$609,128,623.96 ","$87,543,399.00 ","$609,128,623.96 ",JER6HDF9APP1,NORTHROP GRUMMAN INFORMATION TECHNOLOGY INC,2/2/2011,,2/2/2011,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],NONE,Medium,Medium,,"piid, prime_contractor_name, customer_agency, total_value",Medium,2,Enriched V4,1/20/2026,
CBP Traveler Processing & Vetting / BISS,TPVS / BISS,DHS,ManTech (TPVS/BISS); CACI (BISS follow-on),70B04C20F00001357,CBP Traveler Processing & Vetting / BISS,,2021-09-26 to 2026-09-25,,,3/25/2027,9/26/2021,9/25/2026,9/25/2026,"TS/SCI, Top Secret",TS (some SCI),[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"TS (some SCI), HERNDON, VIRGINIA",IT Ops / Analytics,,,,“ManTech Data Scientist SME… TPVS/BISS… Ashburn”,,“ManTech Data Scientist SME… TPVS/BISS… Ashburn”,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],Data Analytics,[Phase 2/3 - Not Available],541512,Computer Systems Design Services,D399,,,~2020–2026,INFORMATION TECHNOLOGY CONTRACTING DIVISION (U.S. Customs and Border Protection),,"$251,830,777.48 ",,"$251,830,777.48 ",JY2BDT2K58Z6,"MANTECH ADVANCED SYSTEMS INTERNATIONAL, INC.",9/29/2020,,9/29/2020,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,Medium,Medium,,"piid, prime_contractor_name, customer_agency, total_value",High,3,Enriched V4,1/20/2026,
CDAO Advanced AI Tools (Scale AI OTA),Donovan,DoD,Scale AI,W911QX24F0053,CDAO Advanced AI Tools (Scale AI OTA),$100M,2024-06-18 to 2026-05-31,,,11/30/2026,6/18/2024,5/31/2026,5/31/2026,TS/SCI,DoD secure enclaves,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"DoD secure enclaves, PALO ALTO, CALIFORNIA",“Advanced AI Tools OTA… deployable to TS/SCI enclaves”,,,,ML engineers; data labeling teams; AI DevOps,,ML engineers; data labeling teams; AI DevOps,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],AI/ML,[Phase 2/3 - Not Available],541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",AC35,TRUE,,,W6QK ACC-APG ADELPHI (Department of the Army),,$100M,"$121,483,272.68 ","$292,680,689.24 ",HNN4F9JZWDY8,PALANTIR USG INC,6/26/2024,,6/26/2024,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,,Medium,,"piid, prime_contractor_name, customer_agency, total_value",Low,0,Enriched V4,1/20/2026,
CENTCOM Comms Tech Support V,CTSS V,DoD,GovCIO (Salient CRGT),36C10B22N10030034,CENTCOM Comms Tech Support V,$865M,2022-08-23 to 2026-08-22,,,2/22/2028,8/23/2022,8/22/2026,8/22/2027,"Secret, Top Secret",20 countries (SW Asia AOR),[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"20 countries (SW Asia AOR), COLUMBIA, MARYLAND",“CTSS V… 20 countries… high-turnover… AVI-SPL sub usage”,,,,Deployable comms techs; RF engineers; SATCOM; network admins,,Deployable comms techs; RF engineers; SATCOM; network admins,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],541512,Computer Systems Design Services,DF01,,,,TECHNOLOGY ACQUISITION CENTER NJ (36C10B) (Department of Veterans Affairs),,$865M,"$6,799,453.13 ","$308,757,507.34 ",D84JK2RNL7V4,"GOVCIO, LLC",6/23/2022,,6/23/2022,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,,High,,"piid, prime_contractor_name, customer_agency, total_value",Medium,1,Enriched V4,1/20/2026,
CMS Enterprise Cloud Infrastructure Services,ECIS,DoD,Peraton / SAIC (indicative),47QFCA20F0015,CMS Enterprise Cloud Infrastructure Services,,2019-12-18 to 2026-12-17,,,6/17/2027,12/18/2019,12/17/2026,12/17/2026,Public Trust,CMS,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"CMS, HERNDON, VIRGINIA",“CMS cloud”,,,,Cloud engineers; cloud ops,,Cloud engineers; cloud ops,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],Cloud,[Phase 2/3 - Not Available],541512,Computer Systems Design Services,D399,,,,GSA FAS AAS FEDSIM (Federal Acquisition Service),,"$600,708,181.07 ","$96,427,530.00 ","$600,708,181.07 ",MBSRAWAQ9559,PERATON ENTERPRISE SOLUTIONS LLC,12/18/2019,,12/18/2019,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,,Medium,,"piid, prime_contractor_name, customer_agency, total_value",Medium,2,Enriched V4,1/20/2026,
"Command and Control, Battle Management, Communications",C2BMC,MDA,Lockheed Martin,DEAC0494AL85000,"Command and Control, Battle Management, Communications",,1993-10-15 to 2017-04-30,,,10/30/2017,10/15/1993,4/30/2017,4/30/2017,"Secret, TS/SCI",Colorado Springs CO; Huntsville AL (indicative),[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"Colorado Springs CO; Huntsville AL (indicative), NEW MEXICO",“C2BMC”,,,,Systems engineers; software development/test; network engineers,,Systems engineers; software development/test; network engineers,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],561210,Facilities Support Services,M181,,,, (),,"$47,838,045,445.15 ","$50,000.00 ","$47,838,045,445.15 ",LUJEPCRRT377,"NATIONAL TECHNOLOGY & ENGINEERING SOLUTIONS OF SANDIA, LLC",10/15/1993,,10/15/1993,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,,Medium,,"piid, prime_contractor_name, customer_agency, total_value",Medium,1,Enriched V4,1/20/2026,
Defense Enterprise Office 365 Migration / DoD365,DOD365,DISA,Microsoft,47QFCA22F0047,Defense Enterprise Office 365 Migration / DoD365,,2022-09-06 to 2026-09-05,,,3/5/2028,9/6/2022,9/5/2026,9/5/2027,Secret,Crystal City VA; remote,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"Crystal City VA; remote, MCLEAN, VIRGINIA",“DOD365; Microsoft 365; Flank Speed; cloud migration”,,,,O365 admins; migration leads; help desk; Teams/Exchange engineers,,O365 admins; migration leads; help desk; Teams/Exchange engineers,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],Cloud,[Phase 2/3 - Not Available],541330,Engineering Services,R499,,,,GSA FAS AAS FEDSIM (Federal Acquisition Service),,"$998,940,122.69 ","$216,902,890.00 ","$998,940,122.69 ",JCBMLGPE6Z71,BOOZ ALLEN HAMILTON INC,8/22/2022,,8/22/2022,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,,High,,"piid, prime_contractor_name, customer_agency, total_value",High,4,Enriched V4,1/20/2026,
DGFS (RTX),DGFS,DoD,Raytheon (RTX),N0001918C1021,DGFS (RTX),,2018-03-23 to 2024-12-30,,,6/30/2025,3/23/2018,12/30/2024,12/30/2024,Secret,Tucson AZ + other sites,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"Tucson AZ + other sites, EAST HARTFORD, CONNECTICUT",“DGFS RTX”,,,,Munitions engineers; missile specialists,,Munitions engineers; missile specialists,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],336412,Aircraft Engine and Engine Parts Manufacturing,2840,,,,NAVAL AIR SYSTEMS COMMAND (Department of the Navy),,"$8,688,654,906.89 ","$33,901,159.56 ","$8,688,654,906.89 ",QN1BCFY7JDJ5,RTX CORPORATION,3/23/2018,,3/23/2018,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],NONE,,Medium,,"piid, prime_contractor_name, customer_agency, total_value",Low,0,Enriched V4,1/20/2026,
DIA Battlefield Information Networks / BICES-X,BICES-X,DIA,CACI,47QFRA24F0005,DIA Battlefield Information Networks / BICES-X,,2024-05-01 to 2026-04-30,,,10/30/2027,5/1/2024,4/30/2026,4/30/2027,TS/SCI,Offutt AFB NE; Stuttgart Germany,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"Offutt AFB NE; Stuttgart Germany, ARLINGTON, VIRGINIA","“BICES-X,” “DIA,” “Offutt,” “TS/SCI”",,,,Network engineers; sysadmins; cyber analysts,,Network engineers; sysadmins; cyber analysts,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],541512,Computer Systems Design Services,DA01,,,,GSA FAS AAS REGION 8 (Federal Acquisition Service),,"$681,999,277.86 ","$356,369,553.00 ","$681,999,277.86 ",N3PBJAVNKF61,"CACI, INC. - FEDERAL",4/19/2024,,4/19/2024,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,,High,,"piid, prime_contractor_name, customer_agency, total_value",Medium,2,Enriched V4,1/20/2026,
DIA EMERALD,EMERALD,NGA,Peraton (Perspecta heritage),80GSFC19C0063,DIA EMERALD,,2019-10-01 to 2026-03-31,,,9/30/2026,10/1/2019,3/31/2026,3/31/2026,Secret,TS/SCI,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"TS/SCI, HERNDON, VIRGINIA",Intel; HIGH SUB SPEND: 284.1M in subawards; 200 unique subcontractors,200,284110499.6,,“Talent acquisition lead at Perspecta (now Peraton) for NGA’s EMERALD contract”,,“Talent acquisition lead at Perspecta (now Peraton) for NGA’s EMERALD contract”,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],517919,All Other Telecommunications,D318,,,,NASA GODDARD SPACE FLIGHT CENTER (National Aeronautics and Space Administration),,"$1,414,704,681.90 ","$1,800,000,000.00 ","$1,414,704,681.90 ",ZBPQEJVECCT4,PERATON INC.,6/27/2019,,6/27/2019,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],NONE,,Medium,,"piid, prime_contractor_name, customer_agency, total_value",Medium,1,Enriched V4,1/20/2026,712
DIA ISEO,ISEO,DIA,Leidos,NSFDACS1219442,DIA ISEO,$400M,2011-12-23 to 2026-09-30,,,3/30/2027,12/23/2011,9/30/2026,9/30/2026,TS/SCI,Washington DC (Bolling); remote sites,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"Washington DC (Bolling); remote sites, nan",“DIA ISEO – Leidos – TS/SCI IT workforce”; HIGH SUB SPEND: 537.6M in subawards; 293 unique subcontractors,293,537613309.3,,IT support; help desk; desktop support,,IT support; help desk; desktop support,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],561210,Facilities Support Services,M1HA,,,, (),,$400M,"$593,891,038.00 ","$3,081,207,083.64 ",NTWCWULE48A8,LOCKHEED MARTIN CORPORATION,12/23/2011,,12/23/2011,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],NONE,,High,,"piid, prime_contractor_name, customer_agency, total_value",Medium,2,Enriched V4,1/20/2026,1043
DISA Global Service Mgmt – Ops II,GSM-O II,DISA,Leidos,89243318CFE000003,DISA Global Service Mgmt – Ops II,$6.52B,2018-12-31 to 2028-12-30,,,6/30/2029,12/31/2018,12/30/2028,12/30/2028,"Secret, TS/SCI",Scott AFB IL; Fort Meade MD; Montgomery AL; Lackland TX,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"Scott AFB IL; Fort Meade MD; Montgomery AL; Lackland TX, MORGANTOWN, WEST VIRGINIA",“GSM-O II JRSS/Network Ops… 30+ openings”,,,,Network admin; boundary security; NOC; ServiceNow devs,Network Administration,Network admin; boundary security; NOC; ServiceNow devs,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",R425,,,,NATIONAL ENERGY TECHNOLOGY LABORATORY (Department of Energy),,$6.52B,"$364,720,922.00 ","$960,260,804.00 ",MYKLJHTX3MM7,"LEIDOS, INC.",6/25/2018,,6/25/2018,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],NONE,,High,,"piid, prime_contractor_name, customer_agency, total_value",Medium,1,Enriched V4,1/20/2026,
DISA JWCC – Joint Warfighting Cloud Capability,JWCC,DISA,Amazon; Microsoft; Google; Oracle,W91CRB20F0448,DISA JWCC – Joint Warfighting Cloud Capability,$9B,2020-09-01 to 2024-05-31,,,11/30/2024,9/1/2020,5/31/2024,5/31/2024,TS/SCI,Global DoD; Crystal City VA,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"Global DoD; Crystal City VA, ABERDEEN PROVING GROUND, MARYLAND",“JWCC multi-cloud accounts… CCPO initiatives”,,,,Cloud architects; cloud security engineers; multi-cloud administrators,,Cloud architects; cloud security engineers; multi-cloud administrators,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],Cloud,[Phase 2/3 - Not Available],541330,Engineering Services,R425,,,,W6QK ACC-APG (Department of the Army),,$9B,"$100,848,074.34 ","$290,537,976.81 ",H2RGSKWXKHQ5,"AMENTUM TECHNOLOGY, INC.",8/31/2020,,8/31/2020,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,,Medium,,"piid, prime_contractor_name, customer_agency, total_value",High,5,Enriched V4,1/20/2026,
Distributed Common Ground System (AF),DCGS,Air Force,BAE; multiple,FA821413C0001,Distributed Common Ground System (AF),,2013-08-01 to 2026-07-31,,,1/31/2028,8/1/2013,7/31/2026,7/31/2027,Secret,TS/SCI,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"TS/SCI, ROCKVILLE, MARYLAND",Intel / C5ISR,,,,“AF DCGS”,,“AF DCGS”,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],541330,Engineering Services,L014,,,Ongoing,FA8214  AFNWC PZBB (Department of the Air Force),,"$2,118,906,843.81 ","$20,586,852.00 ","$2,118,906,843.81 ",LX3BSV6NNW58,BAE SYSTEMS TECHNOLOGY SOLUTIONS & SERVICES INC.,7/31/2013,,7/31/2013,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],NONE,Medium,Medium,Target,"piid, prime_contractor_name, customer_agency, total_value",Medium,1,Enriched V4,1/20/2026,
DLA J6 Enterprise Technology Services,DLA JETS,DoD,CACI; Deloitte; SAIC; GDIT,SAQMMA12C0130,DLA J6 Enterprise Technology Services,$6B,2012-06-08 to 2019-09-07,,,3/7/2020,6/8/2012,9/7/2019,9/7/2019,"Public Trust, Secret",Fort Belvoir; Columbus OH; Philadelphia PA,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"Fort Belvoir; Columbus OH; Philadelphia PA, STERLING, VIRGINIA","“J6”, “IDIQ”, “Enterprise Tech Services”",,,,Sysadmin; help desk; cyber; engineering,,Sysadmin; help desk; cyber; engineering,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],541614,"Process, Physical Distribution, and Logistics Consulting Services",R706,,,, (),,$6B,"$339,430,262.54 ","$1,219,847,693.56 ",SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",6/8/2012,,6/8/2012,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],NONE,,High,,"piid, prime_contractor_name, customer_agency, total_value",Medium,2,Enriched V4,1/20/2026,
DLA J6 Enterprise Technology Services 2.0,DLA JETS 2.0,DoD,Leidos; GDIT; Booz Allen; CACI; Peraton,47QFCA21F0018,DLA J6 Enterprise Technology Services 2.0,$6B,2021-03-09 to 2025-02-15,,,11/15/2025,3/9/2021,2/15/2025,5/15/2025,"Secret, TS/SCI",Fort Belvoir; Columbus OH; Scott AFB IL,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"Fort Belvoir; Columbus OH; Scott AFB IL, WASHINGTON, DISTRICT OF COLUMBIA",“JETS 2.0”; “Leidos”; “Scott AFB”; HIGH SUB SPEND: 475M in subawards,70,474995822.1,,Network engineer; cyber; cloud architect; sysadmin,,Network engineer; cyber; cloud architect; sysadmin,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],541512,Computer Systems Design Services,DA01,,,,GSA FAS AAS FEDSIM (Federal Acquisition Service),,$6B,"$103,358,865.00 ","$1,379,533,153.12 ",JCBMLGPE6Z71,BOOZ ALLEN HAMILTON INC,3/9/2021,,3/9/2021,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,,High,,"piid, prime_contractor_name, customer_agency, total_value",Medium,1,Enriched V4,1/20/2026,615
DTRA IAC-MAC Research & Analysis,IAC-MAC,DoD,CACI,GSQ0017AJ0006,DTRA IAC-MAC Research & Analysis,$28B,2016-10-28 to 2022-02-28,,,8/28/2022,10/28/2016,2/28/2022,2/28/2022,"Secret, Top Secret",Fort Belvoir; Kirtland AFB,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"Fort Belvoir; Kirtland AFB, RESTON, VIRGINIA",“10+ openings… research analysts”,,,,Nuclear/Bio defense analysts; data scientists,,Nuclear/Bio defense analysts; data scientists,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],541712,"Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology)",B538,,,,GSA FAS AAS FEDSIM (Federal Acquisition Service),,$28B,"$696,872,474.00 ","$960,038,373.03 ",N3PBJAVNKF61,"CACI, INC. - FEDERAL",10/28/2016,,10/28/2016,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],NONE,,Medium,,"piid, prime_contractor_name, customer_agency, total_value",Low,0,Enriched V4,1/20/2026,
DTRA Integrated IT Support Services,I3TS,DoD,Leidos,70T04019C9DAP3006,DTRA Integrated IT Support Services,$205M,2019-10-01 to 2025-03-31,,,9/30/2025,10/1/2019,3/31/2025,3/31/2025,"Secret, Top Secret",Fort Belvoir; Kirtland AFB,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"Fort Belvoir; Kirtland AFB, RESTON, VIRGINIA",“DTRA IT modernization”,,,,IT; cyber; ZTA specialists,,IT; cyber; ZTA specialists,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],811219,Other Electronic and Precision Equipment Repair and Maintenance,J063,,,,SECURITY TECHNOLOGY (Transportation Security Administration),,$205M,"$1,364,103.24 ","$862,620,736.01 ",UE9QJD4KK1L6,"LEIDOS, INC.",9/11/2019,,9/11/2019,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],NONE,,High,,"piid, prime_contractor_name, customer_agency, total_value",Medium,1,Enriched V4,1/20/2026,
GBS (Global Broadcast Service),GBS,DISA,L3Harris (historical),N0003022C2001,GBS (Global Broadcast Service),,2021-10-01 to 2029-09-08,,,3/8/2030,10/1/2021,9/8/2029,9/8/2029,TS/SCI,Tampa FL (MacDill AFB); Hawaii; CONUS,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"Tampa FL (MacDill AFB); Hawaii; CONUS, ANAHEIM, CALIFORNIA","“SATCOM, DISA, GBS, MacDill”",,,,SATCOM engineers; RF tech; network admin,,SATCOM engineers; RF tech; network admin,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],541330,Engineering Services,H914,,,SATCOM / BROADCAST PROGRAM,STRATEGIC SYSTEMS PROGRAMS (Department of the Navy),,"$421,512,821.00 ",,"$421,512,821.00 ",JYAPS9B2MKE9,L3HARRIS INTERSTATE ELECTRONICS CORPORATION,10/1/2021,,10/1/2021,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],NONE,Low,Low,,"piid, prime_contractor_name, customer_agency, total_value",Medium,1,Enriched V4,1/20/2026,
Global Network Operations (DISA GSM-O II),GSM-O II,DISA,Leidos,NNJ09HD46C,Global Network Operations (DISA GSM-O II),$6.5B,2008-11-07 to 2018-02-28,,,8/28/2018,11/7/2008,2/28/2018,2/28/2018,"Secret, TS/SCI",Scott AFB IL; Ft Meade MD; OCONUS nodes,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"Scott AFB IL; Ft Meade MD; OCONUS nodes, HOUSTON, TEXAS",“24×7 NOC; JRSS; OCONUS ops”,,,,NOC ops; network engineers; cyber analysts; ServiceNow,,NOC ops; network engineers; cyber analysts; ServiceNow,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],541712,"Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology)",AR45,TRUE,,, (),,$6.5B,"$667,321,349.00 ","$1,306,805,321.14 ",NTWCWULE48A8,LOCKHEED MARTIN CORPORATION,11/7/2008,,11/7/2008,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],NONE,,High,,"piid, prime_contractor_name, customer_agency, total_value",Medium,1,Enriched V4,1/20/2026,
GPS Next-Gen Operational Control System,GPS OCX,Space Force,Raytheon Intelligence & Space,FA880710C0001,GPS Next-Gen Operational Control System,$7.6B,2010-02-25 to 2026-03-31,,,9/30/2026,2/25/2010,3/31/2026,3/31/2026,"Secret, Top Secret",Colorado Springs CO (Schriever SFB),[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"Colorado Springs CO (Schriever SFB), AURORA, COLORADO",“GPS OCX… cost overruns… provisional acceptance 2023”,,,,Software engineers; cyber analysts; helpdesk,,Software engineers; cyber analysts; helpdesk,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],541712,"Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology)",AC27,TRUE,,,FA8807 MIL COMM AND PNT SSC/CGK (Department of the Air Force),,$7.6B,,"$4,401,448,778.90 ",JLWLJXQ3M995,RAYTHEON COMPANY,2/25/2010,,2/25/2010,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],NONE,,High,,"piid, prime_contractor_name, customer_agency, total_value",High,6,Enriched V4,1/20/2026,
INDOPACOM C5ISR Support,INDOPACOM C5ISR,DoD,Amentum,4,INDOPACOM C5ISR Support,$441M,2016-09-30 to 2017-09-29,,,3/29/2018,9/30/2016,9/29/2017,9/29/2017,"Secret, TS/SCI",Camp HM Smith HI; Pacific sites,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],"Camp HM Smith HI; Pacific sites, SANTA ANA, CALIFORNIA",“C5ISR support across PACOM; highly technical”,,,,IT & cyber analysts; comms engineers; systems integrators,,IT & cyber analysts; comms engineers; systems integrators,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],,[Phase 2/3 - Not Available],541990,"All Other Professional, Scientific, and Technical Services",R408,,,, (),,$441M,"$850,003.00 ","$458,590.00 ",DDZBCZ4K2DN3,NOVAD MANAGEMENT CONSULTING LLC,7/5/2016,,7/5/2016,[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],[Phase 2/3 - Not Available],8A,,High,,"piid, prime_contractor_name, customer_agency, total_value",Low,0,Enriched V4,1/20/2026,
