Program Name,Acronym,Agency Owner,BD Priority,Clearance Requirements,Confidence Level,Contract Value,Contract Vehicle,Key Locations,Keywords/Signals,Known Subcontractors,PTS Involvement,Period of Performance,Prime Contractor Name,Program Type,Recompete Date,Source Evidence,Typical Roles
DIA ISEO (IT Sustainment for DIA),ISEO,DIA,,TS/SCI,High,$400M,,Washington DC; Fort Meade MD,“Staffing surge… clearance delays… BICES similarities”,Smaller cleared firms (unnamed),,,Leidos,Intel,,Notes in program extraction,Help desk; desktop; surge staffing
DIA IT Sustainment & Engineering Office,ISEO,DIA,High,TS/SCI,High,$400M,COST-PLUS / SUSTAINMENT,Reston VA; JBAB DC,"“DIA ISEO,” “Help Desk,” “PTS angle”",Apex Systems; Insight Global,Target,,Leidos,Intel,,BD Playbook examples,Help desk; desktop; IT sustainment engineers
DIA IT Sustainment & Enterprise Ops,ISEO,DIA,,TS/SCI,High,$400M,,JBAB DC; DIA field sites,“$400M… large TS/SCI help desk & network ops”,SHINE Systems (SB) + others,,,Leidos,Intel,,Program line,Tier 1–3 help desk; VIP support; network operations
DIA IT Sustainment & Enterprise Ops (Task Order),ISEO,DIA,High,TS/SCI,High,$400M,IDIQ,JBAB DC; Reston VA,“Backbone enterprise IT… small cleared firms fill routine support”,SHINE Systems + small SBs,Target,,Leidos,Intel,,Provided BD notes,Desktop/VIP support; service desk; network ops
DIA IT Sustainment (ISEO),ISEO,DIA,,TS/SCI,High,$400M,,Reston VA; Bolling AFB; CO,“ISEO… staffing gaps… surge TS/SCI support”,Small firms (surge IT),,,Leidos,Sustainment,,BD notes,Desktop; help desk; TS-cleared techs
DIA SITE III,SITE III,DIA,,TS/SCI w/ Poly,Medium,$12.6B,,Worldwide CONUS/OCONUS,“DIA; Multi-Int; Big Data”,Booz Allen; SAIC,,,Leidos,Intel,,Site III ecosystem notes,DevSecOps; cyber; AI/ML; big data
DIA SITE III IDIQ,SITE III,DIA,,TS/SCI,High,,,National Harbor MD (conference note),“PTS could position for subcontracting”,PTS (prospective sub),,,"Leidos, CACI, others",Intel,,Program notes,Cyber; IT infrastructure; systems engineering
DIA Solutions for the Information Technology Enterprise III,SITE III,DIA,High,TS/SCI,High,$12.6B,IDIQ,JBAB DC; DIA field sites,“High TO velocity… large TS/SCI cleared workforce”,SHINE Systems (cleared SB),Target,"January 1, 2021 → January 1, 2031",Multi-award primes,Intel,,SITE III documentation,Sys/Win/Linux Admin; Service Desk; SharePoint Admin
DIMS (Peraton),DIMS,Air Force,,Secret,Medium,,,Secret,“DIMS Peraton”,,,,Peraton,Data,,Program list reference,Data analysts; IT sustainment; cloud/DB support
DISA ENCORE III,ENCORE III,DISA,,Secret,Medium,$17.5B,,DoD-wide,“19 performance areas… network support… cyber”,Numerous small SB subs,,,20 large + 20 small primes,Professional Services,,IDIQ description,IT modernization; software; cyber; net ops
DISA ENCORE III Cyber Task Orders,ENCORE III Cyber,DISA,,TS/SCI,Medium,$17.5B,,Fort Meade MD; Scott AFB IL,“CACI ENCORE III Cyber TOs… 15+ reqs”,SB partners,,,CACI,Cyber,,Program references,Boundary protection; DevSecOps; PKI; cyber engineering
DISA Enterprise IT Support / Cloud Support BPA,,DISA,,Top Secret,Low,,,Crystal City VA; Fort Meade MD,“DISA’s Cloud Support BPA”,,,,Multiple primes,,,BPA notes,Cloud SMEs; security engineers; cloud ops
DISA Global Service Mgmt – Ops II,GSM-O II,DISA,,"Secret, TS/SCI",High,$6.52B,,Scott AFB IL; Fort Meade MD; Montgomery AL; Lackland TX,“GSM-O II JRSS/Network Ops… 30+ openings”,GD; AT&T/Verizon; Parsons; staffing partners,,,Leidos,,,Provided text,Network admin; boundary security; NOC; ServiceNow devs
DISA GSM-O II,GSM-O II,DISA,,TS/SCI,High,$6.52B,,Worldwide (DoDIN NOCs),“Global network ops & cyber… 24×7 NOC… Leidos uses staffing firms for surge support”,Various staffing firms for NOC/cyber (Insight Global; Apex Systems etc.),,,Leidos,Cyber,,GSM-O II program description,Network ops center techs; cyber analysts; NOC engineers; JRSS staff
DISA GSM-O II (Surge Staffing Focus),GSM-O II,DISA,High,TS/SCI,High,$6.5B,IDIQ,Scott AFB; Fort Meade,“PTS placement at Scott AFB”; “Leidos uses subs for surge”,Insight Global; Apex Systems,Target,,Leidos,Cyber,,BD mapping notes,NOC technicians; ServiceNow developers; cyber analysts
DISA JWCC – Joint Warfighting Cloud Capability,JWCC,DISA,,TS/SCI,Medium,$9B,,Global DoD; Crystal City VA,“JWCC multi-cloud accounts… CCPO initiatives”,,,,Amazon; Microsoft; Google; Oracle,Cyber,,JWCC passage in BD text,Cloud architects; cloud security engineers; multi-cloud administrators
DISA Supply Chain Mgmt (GDIT),DSCM-GDIT,DISA,Medium,Secret,Medium,,Program,Fort Meade MD,“DSCM”,,,,GDIT,IT Ops,,Row text,IT/cyber analysts; logistics IT support
Distributed Common Ground System (AF),DCGS,Air Force,Medium,Secret,Medium,,Ongoing,TS/SCI,Intel / C5ISR,,Target,,BAE; multiple,Professional Services,,Medium,“AF DCGS”
DLA J6 Enterprise Tech Services,JETS,DoD,,Secret,High,$6B,,DLA CONUS sites,“Perspecta used Apex Systems in 17 states”,Many small/large IT subs,,,Multiple Awardees,,,DLA JETS reference text,Help desk; app support; network ops
DLA J6 Enterprise Technology Services,DLA JETS,DoD,,"Public Trust, Secret",High,$6B,,Fort Belvoir; Columbus OH; Philadelphia PA,"“J6”, “IDIQ”, “Enterprise Tech Services”",Agile Defense; Capstone; others (needs-scrape),,,CACI; Deloitte; SAIC; GDIT,,,DoD Program List.xlsx (L2–L10),Sysadmin; help desk; cyber; engineering
DLA J6 Enterprise Technology Services 2.0,DLA JETS 2.0,DoD,,"Secret, TS/SCI",High,$6B,,Fort Belvoir; Columbus OH; Scott AFB IL,“JETS 2.0”; “Leidos”; “Scott AFB”,Insight Global; Bowhead; SAIC,,,Leidos; GDIT; Booz Allen; CACI; Peraton,Cyber,,BD target ranking notes,Network engineer; cyber; cloud architect; sysadmin
DLA JETS (DLA J6 Variant),JETS,DoD,,Secret,Medium,,,Richmond VA; Columbus OH; other CONUS sites,“Large MA-IDIQ with constant TO churn”,,,,Multiple primes,,,Row text,Network engineers; sysadmins; software dev; cyber
DLA JETS 2.0 (Follow-On),JETS 2.0,DoD,,Secret,High,$11.9B,,NCR; remote,“$11.9B – GDIT & CACI”,,,,CACI; GDIT,,,Row text,IT; cyber; logistics analysts
DoD Health Modernization,DHMSM (MHS GENESIS),DoD,,"Public Trust, Secret",Medium,Multi-$B,,MTFs nationwide,“Joint EHR”,Many,,,Leidos; Cerner; Accenture,Health IT,,Row text,Health IT; clinical IT integration; systems analysts
DoD High Performance Computing Modernization Program – HITS / HITS-U Support,HITS / HITS-U,DoD,,"Public Trust, Secret",High,$586M,,DSRC sites: ERDC (Vicksburg MS); ARL (Aberdeen MD); AFRL (Wright-Patterson AFB OH),“HITS-U… DoD High Performance Computing… DSRC… HPCMP… SAIC… ERDC/ARL/AFRL”,Analytical Services Inc. (past); other HPC small-business partners (needs-scrape),,,SAIC,,,Derived from SAIC HPCMP/HITS program details in your files,HPC system administrators; network engineers; computational scientists; storage engineers; Linux cluster admins; petascale systems operators
DoD IAC Multiple Award Contract,IAC-MAC,DoD,,Secret,Medium,$28B,,DoD labs CONUS,“IAC”,Universities; labs; niche contractors,,,Multiple primes,R&D,,Provided row,R&D SMEs; scientists; analysts
DoD Information Analysis Center MAC,IAC-MAC,DoD,Medium,Secret,Medium,$28B,IDIQ,CONUS R&D labs,“22 technical focus areas… prototype projects”,Universities; labs; niche firms,None,"January 1, 2018 → January 1, 2027",Multiple,R&D,,Provided,Scientists; R&D engineers; prototype developers
DoD Joint Service Provider – Pentagon IT & ICAM,JSP,DoD,,"Secret, Top Secret",Medium,$190M,,Pentagon; NCR,“DoD JSP… enterprise IT services”,SB partners,,,CACI (incumbent),,,Provided data,Helpdesk; deskside; VTC; ICAM
DoD JSP – Pentagon IT & ICAM (AFNCR/ICAM),AFNCR / ICAM,Air Force,Medium,"Secret, Top Secret",Medium,$450M,Services,Pentagon; JB Andrews,“Leidos… AFNCR communications… Pentagon”,,Target,,Leidos,IT Ops,,Provided text,Desktop support; NetOps; ICAM engineers
DSS Support,DSS Support,DoD,Medium,Secret,Medium,,Services,NCR,“DSS/DCSA”,,None,,Northrop (mention); others,IT Ops,,Row text,Security IT; insider threat IT support
DTIC / IAC MAC,IAC-MAC,DoD,,Secret,Medium,$28B,,DoD labs,“IAC”,Multiple,,,Multiple,R&D,,IAC MAC references,R&D SMEs; scientific analysts
DTRA IAC-MAC Research & Analysis,IAC-MAC,DoD,,"Secret, Top Secret",Medium,$28B,,Fort Belvoir; Kirtland AFB,“10+ openings… research analysts”,Universities; labs; niche R&D firms,,,CACI,Intel,,Row text,Nuclear/Bio defense analysts; data scientists
DTRA Integrated IT Support Services,I3TS,DoD,,"Secret, Top Secret",High,$205M,,Fort Belvoir; Kirtland AFB,“DTRA IT modernization”,TekSynap,,,Leidos,,,Row text,IT; cyber; ZTA specialists
DTRA Integrated IT Support Services,DTRA I3TS,DoD,,"Secret, Top Secret",High,$205M,,Fort Belvoir VA; Kirtland AFB NM,"“Leidos hiring… DTRA I3TS… Fort Belvoir, Kirtland”",TekSynap; SB partners,,,Leidos,,,Provided,Network admin; systems engineer; cyber analyst
DTRA IT Modernization / Support Services,I3TS (ITSS),DoD,,"Secret, Top Secret",High,$205M,,Fort Belvoir; Kirtland AFB,“Zero Trust… AI automation focus”,TekSynap,,,Leidos,Cyber,,“DTRA I3TS – $205M…”,Service desk; network mgmt; Zero Trust engineers
DTRA IT Support Modernization,I3TS,DoD,,"Secret, Top Secret",High,$205M,,Fort Belvoir; Kirtland AFB,“PTS placed techs at DTRA HQ and AF Security reps at Kirtland”,TekSynap,,,Leidos,,,BD notes,IT admins; service desk; network engineers
DTRA IT Support Services,I3TS,DoD,,"Secret, Top Secret",High,$205M,,Fort Belvoir; Kirtland AFB,“Leidos took over from SB… attrition backfill”,TekSynap,,,Leidos,Cyber,,Row text,Help desk; network eng; Zero Trust
"EDIS – Engineering, Development, Integration & Sustainment",EDIS,Space Force,,"Secret, Top Secret",Medium,$655M,,Los Angeles AFB; Colorado Springs; Huntsville,“Space ground integration”,,,,SAIC,,,Row text,Systems/software engineers; cyber engineers; space-ground integration
EDIS / HADES (follow-on),EDIS/HADES,Space Force,,"Secret, Top Secret",Medium,,,LAAFB; CONUS ISR nodes,“EDIS/HADES”,,,,SAIC / Army,Intel,,Row text,SE&I; ISR analysts; systems engineering
EITaaS (Pilot – USAF),EITaaS,Air Force,,"Public Trust, Secret",Medium,$50M,,Multiple bases,“Outsourced base IT (pilot)”,AT&T; Microsoft,,,CACI (pilot),,,Program notes,Base IT; service desk; help desk; end-user services
ENCORE III,ENCORE III,DISA,,Secret,Medium,$17.5B,,Global CONUS/OCONUS,“DoD IT vehicle”,Numerous,,,20 large + 20 small primes,,,ENCORE III description,IT modernization; cyber; enterprise IT
Engineering Development & Integration Support,EDIS,Space Force,,"Secret, Top Secret",High,$655M,,Los Angeles AFB; Colorado Springs,“Satellite ground systems support… Ground System Enterprise… sustain legacy + integrate new sites”,SES (SW partner),,,SAIC (via Engility),,,Provided,Systems engineers; SW testers; satellite ground engineers
Enterprise Account Tracking & Automation Tool,ATAT,DISA,,TS/SCI,High,$21M,,Crystal City; Remote,“ATAT… cloud account management system… DISA CCPO”,Five Star Tech Solutions,,,Hunter Strategy LLC,Professional Services,,Provided,Software developers; cloud admins; PMs; identity automation
EUCOM / AFRICOM IT & Communications Support,EUCOM/AFRICOM IT,Air Force,,"Secret, TS/SCI",Medium,$1.3B,,Stuttgart DE; Italy; Djibouti; other OCONUS,“CACI… EUCOM/AFRICOM… OCONUS reqs”,Local national partners; small business subs,,,CACI,,,Provided row,Network ops; field comms; sysadmin; SATCOM support
EUCOM/AFRICOM Enterprise IT & Comms Support,DCWAS (ref name),DoD,,"Secret, Top Secret",High,$1.3B,,Stuttgart DE + 60+ sites across Europe/Africa,“Forward-deployed IT services across 20+ overseas sites”,Local nationals + small-business onsite partners,,,CACI,C5ISR,,“CACI to deliver IT expertise… PTS placed UC SME Stuttgart”,Help desk; network ops; field comms; cloud support
EUCOM/AFRICOM IT & Comms,,DoD,,TS/SCI,High,$1.3B,,Stuttgart + 60 EUCOM/AFRICOM sites,"“OCONUS IT support, 60 sites”",Local partners in Germany & Italy,,,CACI,,,Provided text,Field service techs; network ops; help desk; secure comms
EUCOM/AFRICOM IT & Comms Support,,Air Force,,"Secret, Top Secret",High,$1.3B,,Europe & Africa – 60+ sites,“IT services for EUCOM/AFRICOM… 60+ overseas sites”,Multiple subs (incl. local staffing),,,CACI,C5ISR,,Provided row text,Field comms; network ops; help desk
F-35 Sustainment,F-35 Sustainment,DoD,,Secret,Medium,Multi-$B,,Global F-35 bases,“F-35 sustainment”,RTX; BAE; Northrop,,,Lockheed Martin,IT Ops,,Provided,Sustainment IT; engineering; logistics IT; ALIS/ODIN support
Fort Eisenhower (Gordon) IT Support,,Army,,Secret,Medium,,,Augusta GA,“AESD Fort Eisenhower Augusta TEKsystems”,TEKsystems,,,SAIC,IT Ops,,Provided,Service desk; night-shift coverage; sysadmin; ServiceNow
Future Operationally Resilient Ground Evolution,FORGE,Space Force,,"Secret, TS/SCI",High,$600M,,Buckley SFB; Peterson SFB; Aurora CO,“FORGE… Raytheon $197M; BAE $151M; modernized OPIR ground architecture”,Infinity Systems; LinQuest; SciTec,,,Raytheon (Mission Data Apps); BAE (C2),C5ISR,,Provided,Agile SW; data scientists; systems integrators
GBS (Global Broadcast Service),GBS,DISA,Low,TS/SCI,Low,,SATCOM / BROADCAST PROGRAM,Tampa FL (MacDill AFB); Hawaii; CONUS,"“SATCOM, DISA, GBS, MacDill”",unknown (needs-scrape),None,,L3Harris (historical),C5ISR,,“Clearance overview & site priorities”,SATCOM engineers; RF tech; network admin
GBSD Sentinel Missile Modernization,GBSD,Air Force,,TS/SCI,High,,,Ogden UT; Hill AFB; Vandenberg SFB,“Nuclear missile modernization”; “Sentinel”; “C3 modularity”,Leidos; CACI; other large integrators,,,Northrop Grumman,Weapon Systems,,GBSD/Sentinel program reference,Cleared engineers; mission ops; comms; C2 engineering
GENMOD / VMOD (Army Network/Voice Modernization),GENMOD/VMOD,Army,,Secret,High,$526M,,CONUS & Pacific posts,“CACI secures $526M Network Modernization”,Cisco/HPE; Corning; CommScope; Black Box,,,CACI,IT Ops,,Provided,Network engineers; cabling; voice techs; modernization
GENMOD / VMOD (Network Modernization),GENMOD,Army,,Secret,High,$526M,,Pacific + CONUS,“Base network modernization”,Cisco/HPE; CommScope; Black Box,,,CACI,IT Ops,,Provided,Network installers; voice; cyber
GENMOD / VMOD 2 – Field Service Technicians,VMOD 2,Army,,Secret,Medium,,,CONUS posts,“CACI – VMOD 2 – Field Service Tech”,,,,CACI,IT Ops,,Provided,Field service techs; voice/network modernization
Global Broadcast Service,GBS,DISA,,TS/SCI,Low,,,Tampa FL; Hawaii; CONUS,“SATCOM; GBS; MacDill”,unknown (needs-scrape),,,L3Harris,C5ISR,,Site priorities doc,SATCOM engineer; RF tech; network admin
Global Command and Control System – Joint,GCCS-J,DISA,,TS/SCI,Medium,,,Fort Meade MD; Scott AFB IL,“DISA; legacy C2 modernization”,GDIT; SAIC; Raytheon (likely subs),,,Northrop Grumman,C5ISR,,BD tracker reference,C2 engineers; SW dev; network ops
Global Command and Control System – Joint (Variant),GCCS-J,DISA,Medium,Secret,Medium,$400M,IDIQ,Suffolk VA,“C2; Command & Control”,GDIT; SAIC,None,"January 1, 2019 → January 1, 2027",Leidos,C5ISR,,Apex Systems DISA support,SW dev; systems engineering
Global Network Operations (DISA GSM-O II),GSM-O II,DISA,,"Secret, TS/SCI",High,$6.5B,,Scott AFB IL; Ft Meade MD; OCONUS nodes,“24×7 NOC; JRSS; OCONUS ops”,Insight Global; Apex Systems,,,Leidos,Cyber,,“Provided NOC techs… subs for surge”,NOC ops; network engineers; cyber analysts; ServiceNow
Global Network Operations II (PTS Subcontract),GSM-O II,DISA,,Top Secret,High,$6.5B,,Scott AFB; Ft Meade; Hill AFB; Honolulu HI,“PTS placed NOC Manager at Scott AFB”,PTS,,,Leidos,IT Ops,,Row text,NOC techs; cyber analysts; ServiceNow devs
Global Service Management – Operations II,GSM-O II,DISA,,TS/SCI,High,$6.52B,,Scott AFB; Ft Meade; OCONUS,“24×7 DoDIN cyber ops”,Insight Global; Apex Systems,,,Leidos,Cyber,,Provided quote,NOC tech; cyber ops; network engr; ServiceNow
Global Service Mgmt – Ops II (variant),GSM-O II,DISA,Medium,"Secret, TS/SCI",Medium,$6.5B,IDIQ,Scott AFB; Ft Meade; global,“DoDIN operations”,AT&T; Verizon; Parsons; staff aug vendors,Current,"January 1, 2018 → January 1, 2028",Leidos,IT Ops,,Provided,NOC; cyber ops; servicedesk; ServiceNow
Global Solutions Management – Operations II,GSMO II,DISA,,"Secret, Top Secret",Medium,,,Scott AFB; Ft Meade; Hill AFB,“DISA; GSMO; Leidos”,CACI; SAIC; small SB partners,,,Leidos,C5ISR,,Provided,Network engineers; systems admins; helpdesk
GMD Weapon System (Ground C2),GWS (GMD),MDA,🟠 High,"Secret, Top Secret",High,$3.3B,IDIQ,Huntsville AL; Schriever SFB; Ft Greely AK,“GMD Weapon System… $3.3B… weapon system integrator”,Raytheon; GD; Bechtel; others,Target,"January 1, 2022 → January 1, 2027",Northrop Grumman,C5ISR,,Provided,SW sustainment; BMC3; test engineers
GMD Weapon System Modernization,GWS (GMD),MDA,,"Secret, TS/SCI",High,$3.3B,,Huntsville AL; Schriever SFB; Ft Greely AK; Vandenberg SFB,Homeland missile defense,"Raytheon (BMC3), GD, Bechtel",,,Northrop Grumman,C5ISR,,Provided row text,SW engineering; modeling & simulation; cyber; C2
GPS Next-Gen Operational Control System,GPS OCX,Space Force,,"Secret, Top Secret",High,$7.6B,,Colorado Springs CO (Schriever SFB),“GPS OCX… cost overruns… provisional acceptance 2023”,Insight Global; Apex Systems (staff aug),,,Raytheon Intelligence & Space,IT Ops,,Row text,Software engineers; cyber analysts; helpdesk
GPS Operational Control System (sustainment),GPS OCX,Space Force,,"Secret, Top Secret",High,$7.7B,,Aurora CO; Schriever SFB,“GPS ground control”,GDIT; Infinity; Braxton (historical); IBM tools,,,Raytheon,IT Ops,,Provided,SW dev/test; IA; cyber; sustainment
GRASP (Raytheon/Peraton),GRASP,DoD,,Secret,Medium,,,Secret,C5ISR,,,,Peraton,Professional Services,,Medium,“GRASP”
Ground Based Strategic Deterrent / Sentinel,GBSD / Sentinel,Air Force,High,"Secret, Top Secret",High,$13.3B,IDIQ,Hill AFB; Ogden UT; Roy UT; Colorado Springs; Promontory UT,“Sentinel ICBM modernization”,Apex Systems; Insight Global; TEKsystems; Belcan; Iron Eagle X; Prime TS,Target,"January 1, 2020 → January 1, 2039",Northrop Grumman,C5ISR,,GBSD BD strategy,Systems engineers; MBSE; SW engineers; cyber; test; logistics
Ground-Based Interceptor,GBI,MDA,,"Secret, Top Secret",Medium,Multi-$B,,Vandenberg; Ft Greely,“GBI”,Northrop (EKV/CVKV),,,Boeing (lead),Weapon Systems,,Provided,Missile ops; missile engineers
Ground-Based Midcourse Defense,GMD,MDA,,"Secret, Top Secret",High,Multi-$B,,Fort Greely; Vandenberg; Schriever,“GMD national BMD; Next-Gen Interceptor program; multi-contract”,Northrop; Raytheon; others,,,Boeing (prime); Northrop & Raytheon (NGI),C5ISR,,Provided,Missile defense engineers; radar techs; C2 analysts
Ground-Based Strategic Deterrent,GBSD,Air Force,,"Secret, TS/SCI",High,Multi-$B,,Roy UT; Hill AFB UT; Redondo Beach CA,"“Sentinel, LGM-35A, GBSD”",Aerojet Rocketdyne; Lockheed Martin,,,Northrop Grumman,Weapon Systems,,“Northrop Grumman Sentinel Execution Strategy Guide”,Systems engineers; cybersecurity; SW dev; logistics engineers
Ground-Based Strategic Deterrent (Sentinel),GBSD (Sentinel),Air Force,,"Secret, TS/SCI",High,Multi-$B,,Hill AFB; Offutt AFB (nuclear C3 analysts),“Long-open M&S engineer role… competitors struggling to fill”,Insight Global; TEKsystems; various cleared staffing vendors,,,Northrop Grumman,C5ISR,,“IG had M&S open 6+ months… PTS can supply MBSE quickly”,MBSE; Systems Eng; ISSO/ISSM; Configuration Mgmt
GSA Alliant 2,Alliant 2,DoD,,Secret,High,$82.5B,,Government-wide,“Alliant 2… used heavily by DoD… 40+ primes”,Numerous,,,40+ primes,IT Ops,,Provided,IT solutions; dev; ops; cloud
GSA Alliant 2 GWAC,Alliant 2,DoD,,Secret,High,$82.5B,,Government-wide,“Used heavily by DoD agencies; myriad subcontractors”,Many IT staffing subs,,,~40 primes,Professional Services,,Provided,IT developers; engineers; cloud engineers
GSA Alliant 2/3 GWAC,Alliant 2/3,DoD,,"Public Trust, Secret, Top Secret",Medium,,,Federal agencies nationwide,“Alliant 2/3 cited as GWAC for IT/cyber services”,Many integrators & staffing firms,,,Multiple primes,IT Ops,,Provided,Enterprise IT; cloud; cyber; software
GSA ASTRO,ASTRO,DoD,,Secret,Medium,,,DoD domains (Ops/R&D/Maintenance),“ASTRO unlimited value… >$100B expected”,Numerous,,,Dozens of primes,C5ISR,,Provided,Ops; R&D; maintenance; dev
GSA ASTRO (multiple pools),ASTRO,DoD,,Secret,Medium,,,CONUS/OCONUS,“Manned/unmanned systems”,Multiple,,,Multiple,R&D,,Provided,Ops; R&D; maintenance; unmanned systems
GSA ASTRO (pool-level entry),ASTRO,DoD,Medium,Top Secret,Medium,,IDIQ,CONUS/OCONUS,"“robotics, unmanned systems”",Dozens of subs,None,"January 1, 2021 → January 1, 2031",Multiple primes,Professional Services,,Provided,O&M techs; R&D engineers; robotics
GSA Multiple Award Schedule – IT SIN 54151,GSA MAS IT,DoD,,"Public Trust, Secret",Medium,,,Nationwide,“GSA MAS for IT/services”,Numerous IT resellers & SB subs,,,Many schedule holders,Professional Services,,Provided,IT contractors; dev; cyber; staff aug
GSA OASIS,OASIS,DoD,,Secret,Medium,,,Government-wide,“multi-billion usage… succeeded by OASIS+”,Many consulting & staffing firms,,,100+ primes (Pools 1–6),Professional Services,,Provided,A&AS; management; engineering
GSA OASIS / OASIS+,OASIS,DoD,,Secret,Medium,,,Gov-wide,“OASIS… succeeded by OASIS+”,Numerous,,,Multiple pools,Professional Services,,Provided,A&AS; program support; engineering
HHS Advanced Secure Data Repository,ASDR,DoD,Medium,Public Trust,Medium,,DATA PLATFORM,NIH / HHS,“HHS analytics”,,None,,GDIT / SAIC (indicative),Data,,Provided text,Data engineering; cyber analysts; platform engineers
Hope 2.0 (prototype),Hope 2.0,Space Force,,Secret,Medium,,,TS,Space / R&D,Odyssey Systems,,,SAIC,Professional Services,,Medium,"“SAIC, Hope 2.0… early-stage targeting”"
Hypersonic & Ballistic Tracking Space Sensor,HBTSS,MDA,,TS/SCI,High,$155M,,Orbit prototypes; SDA ground centers,“Hypersonic tracking satellites… precursor to SDA’s Tracking Layer”,,,,Northrop & L3Harris (co-primes),R&D,,Provided program note,Space payload engineers; infrared flight SW; tracking algorithm developers
INDOPACOM C5ISR Support,INDOPACOM C5ISR,DoD,,"Secret, TS/SCI",High,$441M,,Camp HM Smith HI; Pacific sites,“C5ISR support across PACOM; highly technical”,,,,Amentum,C5ISR,,“Amentum $441M… INDOPACOM”,IT & cyber analysts; comms engineers; systems integrators
Information Technology Sustainment for Enhanced Ops,ISEO,DIA,Medium,"Polygraph, TS/SCI, TS/SCI w/ Poly",Medium,$400M,,Washington DC; Reston VA,"“DIA, ISEO, surge staffing”",unknown (needs-scrape),Target,,Leidos,IT Ops,,BD prompt example,IT sustainment; help desk; desktops; network ops
INSCOM GILE Support,GILE,Army,,TS/SCI,High,$855M,,Fort Belvoir VA; NCR,“INSCOM GILE Support – $855M – CACI”,,,,CACI,Intel,,Provided text,Intel analysts; systems integrators; cyber SMEs; linguist-enabled intel
INSCOM IT Support Services (current TO iteration),IT2S4 / I2TS,Army,High,TS/SCI,High,,Services,Fort Liberty; Fort Meade; Fort Sam Houston; JBLM,“INSCOM helpdesks… TS/SCI; multiple bases”,,Current,,GDIT,Intel,,Provided row,Helpdesk; sysadmin; storage admin; DevOps; network tech
INSCOM IT Support Services III,I2TS-III,Army,,TS/SCI,Medium,$300M,,Fort Belvoir; worldwide,“INSCOM I2TS-III”,ActioNet; Bowhead; other SBs,,,GDIT,Intel,,Provided,Enterprise IT; IA; apps; deployable comms
Integrated Air & Missile Defense,IAMD,Army,,Secret,Medium,$1B,,Huntsville AL,"“Patriot, IAMD, missile defense”",Northrop; Boeing,,,Raytheon,C5ISR,,WISŁA/IBCS linkages,Systems engineers; radar analysts; MLU support
Integrated Base Defense Security System,IBDS,Army,,Secret,Medium,,,Fort Meade; Aberdeen MD,“Army; Base Defense; IBDS”,Booz Allen; SAIC,,,Leidos,C5ISR,,PTS program-mapping data,Network security engineers; SOC analysts
Integrated Digital Engineering Environment,IDEE,Air Force,,TS/SCI,Medium,,,Ogden UT,“IDEE; Digital Twin; SysML; Sentinel digital engineering”,L3Harris; Lockheed Martin,,,Northrop Grumman,R&D,,“GBSD BD Strategy.pdf”,MBSE engineers; SysML modelers; digital twin developers
Integrated Situational Awareness Environment,inSITE,Army,,"Secret, TS/SCI",High,,,Huntsville AL; Colorado Springs CO,“Intel & cyber situational awareness”,Prime TS (support),,,Northrop Grumman,Cyber,,Provided,RMF SMEs; STIG analysts; cyber analysts
Integrated Situational Awareness Tool Environment,inSITE,DISA,High,TS/SCI,High,,SOFTWARE / CYBER ANALYTICS,Huntsville AL; Colorado Springs CO,“inSITE – RMF; STIG; cyber situational awareness”,Prime Technical Services,Current,,Northrop Grumman,Cyber,,Provided,RMF SMEs; STIG analysts; cyber engineers
Integrated Situational Awareness Tool Environment (Intel Cyber),inSITE,DISA,High,TS/SCI,High,,SOFTWARE / CYBER ANALYTICS,Huntsville AL; Colorado Springs CO,"“Intel & cyber situational awareness”, “STIG”, “RMF”",Prime Technical Services,Current,,Northrop Grumman,Cyber,,inSITE BD mapping text,RMF SMEs; STIG Analysts; Cyber Analysts; C5ISR cyber operators
Integrated Strategic & Expeditionary Operations (DIA ISEO variant),ISEO (ISE Ops),DIA,,TS/SCI,Medium,$400M,,Washington DC; Quantico VA; Bolling AFB,“DIA ISEO… Intel IT sustainment… help desk”,GDIT; CACI,,,Leidos,Intel,,BD Automation Playbook (L260–L270),IT support; help desk; desktop support; enterprise sustainment
Intelligence Community Infrastructure Support,I2TS-Next,Army,,TS/SCI,High,,,Fort Belvoir VA; Korea (possible),“PTS has experience staffing INSCOM helpdesks…”,PTS (prior INSCOM roles),,,Jacobs,Intel,,INSCOM I2TS-Next history,IT support; cyber security; helpdesk; systems tech
Intelligence Systems Enterprise Operations,ISEO,DIA,High,TS/SCI,High,,IT SUSTAINMENT,Reston VA; DIA HQ JBAB,“DIA IT Sustainment; cleared IT workforce”,Prime TS (prospective),Target,,Leidos,Intel,,AI-playbook sample,IT support; help desk; desktop; local/remote IT sustainment
Intelligence Systems Infrastructure Tools & Enhancements,inSITE,DoD,,"Secret, TS/SCI",High,$406M,,Huntsville AL; Colorado Springs CO,"“Intel modernization, AFRL”",General Dynamics; L3Harris,,,Northrop Grumman,Intel,,“Northrop programs supported by Prime”,RMF SMEs; STIG/Cyber Analysts
Interim MDC2 / ABMS,IMDC2 / ABMS,Air Force,Medium,"Secret, Top Secret",Medium,,MODERNIZATION,AF bases,“JADC2 / ABMS”,Multiple,None,,Multiple,C5ISR,,Row text,C2 engineers; JADC2 integrators
