Program Name,Acronym,Agency Owner,BD Priority,Clearance Requirements,Confidence Level,Contract Value,Contract Vehicle,Key Locations,Keywords/Signals,Known Subcontractors,PTS Involvement,Period of Performance,Prime Contractor Name,Program Type,Recompete Date,Source Evidence,Typical Roles,Tech Stack (Basic),Functional Areas (Basic),Job Titles (Basic),Tech Stack (PWS),Labor Categories (PWS),Clearances (PWS),Team Locations (PWS),Functional Areas (PWS),PWS Document Name,PWS Download Status,Signed Date (FPDS),Effective Date (FPDS),Current Completion Date (FPDS),Ultimate Completion Date (FPDS),Base + Options Value (FPDS),Performance Location (FPDS),NAICS Code (FPDS),PSC Code (FPDS),FPDS Enrichment Status,Contractor UEI,Contractor POC Names,Contractor POC Titles,Contractor POC Emails,Contractor POC Phones,Entity API Status,Tech Stack (Combined),Functional Areas (Combined),Contract Number (USASpending),Contract Value (USASpending),Contract Description (USASpending),Awarding Agency (USASpending),Match Score,Match Terms,NAICS Description,PSC Description,PSC Category,PSC Area,DoD Portfolio
Business Operations & Analytics,BOA,DoD,Medium,"Secret, Top Secret",Medium,Multi-$M,Services,Roy UT; Hill AFB UT; Colorado Springs CO,“Staff augmentation; BOA”,Insight Global; Apex Systems,Target,,Northrop Grumman,IT Ops,,“Northrop programs supported by Prime TS”,ISSOs; DevOps; testers; logistics analysts,,Data Analytics; Software Development; Logistics; Cybersecurity,ISSOs; DevOps; testers; logistics analysts,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Data Analytics; Software Development; Logistics; Cybersecurity,,,,,,,,,,,
"C2BMC (Command & Control, Battle Mgmt, Comms)",C2BMC,MDA,,TS/SCI,High,$5B,,Colorado Springs; Huntsville AL,“MDA; C2BMC; BMC3; missile defense”,SAIC; Northrop,,,Lockheed Martin,,,Multiple BD docs referencing C2BMC,Software engineers; missile defense integrators; C2 / BMC3 engineers,,Software Development,Software engineers; missile defense integrators; C2 / BMC3 engineers,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Software Development,,,,,,,,,,,
CAAC (Peraton),CAAC,DoD,🟡 Medium,Secret,Medium,,Program,Secret,IT Ops,,None,,Peraton,Professional Services,,Medium,“CAAC-PERATON”,,IT Operations,“CAAC-PERATON”,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,IT Operations,,,,,,,,,,,
CAMMO (AF Satellite Control Network O&M),CAMMO,Space Force,,"Secret, TS/SCI",Medium,$446M,,Worldwide SATCOM tracking stations,“SATCOM O&M”,L3Harris; LinQuest (indicative),,,CACI,,,Program line in sheet,RF techs; schedulers; network ops; SATCOM operators,network,IT Operations,RF techs; schedulers; network ops; SATCOM operators,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,network,IT Operations,FA882316C0004,"$600,725,818.08",CONSOLIDATED AIR FORCE SATELLITE CONTROL NETWORK,Department of the Air Force,3,satellite; control; network,,,,,
CBP Enterprise IT Support,CBP-Peraton,DHS,Medium,"Public Trust, Secret",Medium,,Services,CBP sites nationwide,“Border IT”,,None,,Peraton,IT Ops,,Program line,IT/cyber support staff; network engineers; help desk,network,IT Operations; Cybersecurity,IT/cyber support staff; network engineers; help desk,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,network,IT Operations; Cybersecurity,,,,,,,,,,,
CBP Traveler Processing & Vetting / BISS,TPVS / BISS,DHS,Medium,"TS/SCI, Top Secret",Medium,,~2020–2026,TS (some SCI),IT Ops / Analytics,,None,,ManTech (TPVS/BISS); CACI (BISS follow-on),Professional Services,,Medium,“ManTech Data Scientist SME… TPVS/BISS… Ashburn”,,Data Analytics; IT Operations,“ManTech Data Scientist SME… TPVS/BISS… Ashburn”,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Data Analytics; IT Operations,,,,,,,,,,,
CDAO Advanced AI Tools (Scale AI OTA),Donovan,DoD,,TS/SCI,Medium,$100M,,DoD secure enclaves,“Advanced AI Tools OTA… deployable to TS/SCI enclaves”,DoD labs; integrators,,,Scale AI,R&D,,Program description,ML engineers; data labeling teams; AI DevOps,AI; ML,Data Analytics; Software Development,ML engineers; data labeling teams; AI DevOps,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,AI; ML,Data Analytics; Software Development,,,,,,,,,,,
CENTCOM Comms Tech Support V,CTSS V,DoD,,"Secret, Top Secret",High,$865M,,20 countries (SW Asia AOR),“CTSS V… 20 countries… high-turnover… AVI-SPL sub usage”,AVI-SPL,,,GovCIO (Salient CRGT),,,CTSS V entry in Top-20,Deployable comms techs; RF engineers; SATCOM; network admins,network,,Deployable comms techs; RF engineers; SATCOM; network admins,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,network,,,,,,,,,,,,
CENTCOM Enterprise IT Modernization,,DoD,,"Secret, Top Secret",High,$922M,,MacDill AFB; CENTCOM sites OCONUS,“CENTCOM EITM… GDIT… AVI-SPL subs… enterprise modernization”,AVI-SPL; IT staffing partners,,,GDIT,,,Program description,Cloud architects; cyber engineers; legacy IT sustainment,AI; cloud,Cloud Services; Logistics; Cybersecurity,Cloud architects; cyber engineers; legacy IT sustainment,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,AI; cloud,Cloud Services; Logistics; Cybersecurity,,,,,,,,,,,
CISA Enterprise Support (CACI),CISA-CACI,DHS,,Secret,Medium,,,NCR,“CISA support”,,,,CACI,Cyber,,Program line,Cybersecurity; IT ops support,cybersecurity,IT Operations; Cybersecurity,Cybersecurity; IT ops support,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,cybersecurity,IT Operations; Cybersecurity,,,,,,,,,,,
Cloud One,Cloud One,Air Force,,Secret,High,$727M,,Hanscom AFB; remote,“AF Cloud migration; Azure/AWS”,,,,SAIC,,,Cloud One value from program intel,Cloud engineers; DevSecOps; cyber,DevSecOps; AWS; cloud; Azure; Cloud One,Cloud Services; Cybersecurity,Cloud engineers; DevSecOps; cyber,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,DevSecOps; AWS; cloud; Azure; Cloud One,Cloud Services; Cybersecurity,,,,,,,,,,,
Cloud One (USAF Cloud Program),Cloud One,Air Force,,Secret,High,$727M,,Hanscom AFB; remote,“USAF common multi-cloud environment”,Unnamed subcontractors,,,SAIC,,,Cloud One description,Cloud engineers; DevSecOps,DevSecOps; cloud; Cloud One,Cloud Services,Cloud engineers; DevSecOps,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,DevSecOps; cloud; Cloud One,Cloud Services,,,,,,,,,,,
CMMARS (Navy Rapid C5ISR),CMMARS,Navy,Medium,Secret,Medium,,IDIQ,NAVWAR,“Navy rapid C5ISR”,Multiple subs,None,,Multiple,C5ISR,,NAVWAR program entry,Rapid C5ISR engineering; prototyping; integration,,Systems Engineering,Rapid C5ISR engineering; prototyping; integration,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Systems Engineering,,,,,,,,,,,
CMS Enterprise Cloud Infrastructure Services,ECIS,DoD,,Public Trust,Medium,,,CMS,“CMS cloud”,,,,Peraton / SAIC (indicative),,,Row entry,Cloud engineers; cloud ops,cloud,Cloud Services,Cloud engineers; cloud ops,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,cloud,Cloud Services,,,,,,,,,,,
"Command & Control, Battle Mgmt & Comms (MDA) – Secondary Row",C2BMC,MDA,,"Secret, TS/SCI",Medium,,,Colorado Springs; Huntsville,“C2BMC… software/network-centric”,Parsons; Tetra Tech,,,Northrop Grumman,,,Same dataset as earlier rows,SW engineers; network engineers; cyber engineers,network,Software Development; Cybersecurity,SW engineers; network engineers; cyber engineers,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,network,Software Development; Cybersecurity,,,,,,,,,,,
"Command & Control, Battle Mgmt & Comms",C2BMC,MDA,,"Secret, TS/SCI",Medium,Multi-$B,,Huntsville / Schriever,Global missile defense C2,"Northrop, Raytheon subs",,,Lockheed Martin,,,,"C2 SW, integration",,Systems Engineering,C2 SW; integration,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Systems Engineering,,,,,,,,,,,
"Command and Control, Battle Management & Communications (MDA)",C2BMC,MDA,Medium,"Secret, TS/SCI",Medium,,R&D,Colorado Springs CO; Huntsville AL,“MDA C2BMC heavily software/network-centric; small biz partners sought”,Parsons; Tetra Tech (support contracts cited),Target,,Northrop Grumman,C5ISR,,“C2BMC program may seek small biz partners; PTS cyber/network relevant”,Software engineers; network engineers; cyber engineers,network,Data Analytics; Software Development; Cybersecurity,Software engineers; network engineers; cyber engineers,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,network,Data Analytics; Software Development; Cybersecurity,,,,,,,,,,,
"Command and Control, Battle Management, Communications",C2BMC,MDA,,"Secret, TS/SCI",Medium,,,Colorado Springs CO; Huntsville AL (indicative),“C2BMC”,,,,Lockheed Martin,,,“C2BMC”,Systems engineers; software development/test; network engineers,network,Software Development,Systems engineers; software development/test; network engineers,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,network,Software Development,,,,,,,,,,,
Common Open Operational Launch Range,COOLR,Space Force,,Secret,Medium,,,Ranges (test ranges),“Launch range C2”,,,,Lockheed Martin (indicative),,,,C2 / Range software engineers,,Software Development,C2 / Range software engineers,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Software Development,,,,,,,,,,,
Comms Technical Support V,CTSS V,DoD,,"Secret, Top Secret",High,$865M,,SW Asia AOR + MacDill AFB reach-back,“OCONUS rotations”; “$865M… OCONUS support”,Prior incumbent GDIT; AVI-SPL (A/V),,,GovCIO (Salient CRGT),,,Provided CTSS V details,Deployed comms techs; network eng; IT O&M technicians,network,,Deployed comms techs; network eng; IT O&M technicians,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,network,,,,,,,,,,,,
Consolidated AFSCN Mod & Ops,CAMMO,Space Force,,"Secret, Top Secret",High,$446M,,"Schriever SFB CO; worldwide tracking stations (HI, DG, UK)",“AFSCN Operations… merged three contracts… L3Harris principal subcontractor”,L3Harris; KBR/FTI; LinQuest,,,CACI (via L-3 NSS acquisition),,,CAMMO description as provided,Satellite tracking ops; RF techs; network engineers,network,,Satellite tracking ops; RF techs; network engineers,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,network,,,,,,,,,,,,
Consolidated AFSCN Mod & Ops – Secondary Row,CAMMO,Space Force,,"Secret, Top Secret",High,$446M,,Schriever SFB; worldwide tracking,“AFSCN O&M… merged contracts… CACI prime”,L3Harris; KBR; LinQuest,,,CACI,,,CAMMO reference,Satellite controllers; RF techs; network ops,network,IT Operations,Satellite controllers; RF techs; network ops,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,network,IT Operations,,,,,,,,,,,
Conventional Prompt Strike,CPS,Army,,"Secret, Top Secret",Medium,Multi-$B,,Fleet & Army strategic sites,“Hypersonic missiles”,Northrop; others,,,Lockheed Martin,Weapon Systems,,,Hypersonic engineers; test engineers; flight test support,,,Hypersonic engineers; test engineers; flight test support,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,,,,,,,,,,,,
CTSS V (Expanded Listing),CTSS V,DoD,,"Secret, Top Secret",High,$865M,,Qatar; Kuwait; Bahrain; Iraq; etc.,“Comprehensive comms & IT O&M across CENTCOM AOR”,AVI-SPL; Trace Systems (likely),,,GovCIO,,,CTSS V narrative,Comms techs; RF; SATCOM; network administrators,network,,Comms techs; RF; SATCOM; network administrators,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,network,,,,,,,,,,,,
Data Center & Cloud Optimization,DCCO,DHS,,"Public Trust, Secret",Medium,,,NCR,“DHS cloud/DC”,Multiple,,,Peraton / Leidos (indicative),,,Row text,Cloud ops; DC ops,cloud,Data Analytics; Cloud Services,Cloud ops; DC ops,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,cloud,Data Analytics; Cloud Services,,,,,,,,,,,
DC3 – Defense Cyber Crime Center,DC3,DoD,,TS/SCI,Medium,,,Linthicum MD,“DC3”,,,,Peraton,Cyber,,,Forensics; malware; cyber intel,,Cybersecurity,Forensics; malware; cyber intel,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Cybersecurity,,,,,,,,,,,
DC3 Cyber Crime Center – Secondary Row,DC3,DoD,,Secret,Medium,,,TS/SCI,Cyber,,,,Peraton,Cyber,,Medium,“DC3 forensics”,,Cybersecurity,“DC3 forensics”,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Cybersecurity,,,,,,,,,,,
Defense Cyber Crime Center,DC3,DoD,,TS/SCI,Medium,,,Linthicum MD,“DC3”,,,,Peraton,Cyber,,Row text,Digital forensics; malware analysis; cyber investigators,,Cybersecurity,Digital forensics; malware analysis; cyber investigators,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Cybersecurity,,,,,,,,,,,
Defense Enclave Services,DES,DoD,,Secret,High,$11.5B,,Fort Belvoir VA (HQ),“PTS is already on DES (Fort Belvoir placements)”,PTS (subcontractor),,,Leidos,,,BD evidence,Systems engineers; IT support; service desk; NOC staff,,,Systems engineers; IT support; service desk; NOC staff,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,,,,,,,,,,,,
Defense Enclave Services – Fourth Estate IT Consolidation,DES,DISA,,Secret,High,$11.5B,,Fort Meade MD; Fort Belvoir VA; Columbus OH; Philadelphia PA,“DES… Leidos… large IT consolidation; subs incl. NOVA-Diné”,NOVA-Diné; Accenture Federal; AT&T; Thundercat; various SBs,,,Leidos,,,Provided row text,Migration engineers; service desk; deskside support; floor-walkers; NOC/enterprise support,,Cloud Services,Migration engineers; service desk; deskside support; floor-walkers; NOC/enterprise support,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Cloud Services,,,,,,,,,,,
Defense Enclave Services (DoDNet),DES (DoDNet),DISA,High,"Secret, Top Secret",High,$11.5B,IDIQ,Fort Belvoir; multiple 4th Estate bases,“Consolidating 4th Estate networks… PTS placed desktop support at Belvoir”,NOVA-Diné; other tribal small businesses; cleared IT subs,Current,,Leidos,IT Ops,,DES intel lines,Help desk; sysadmin; network/security ops,network,IT Operations; Cybersecurity,Help desk; sysadmin; network/security ops,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,network,IT Operations; Cybersecurity,,,,,,,,,,,
Defense Enterprise Office 365 Migration / DoD365,DOD365,DISA,,Secret,High,,,Crystal City VA; remote,“DOD365; Microsoft 365; Flank Speed; cloud migration”,Five Star Technology Solutions,,,Microsoft,Cyber,,CVR/CCPO support references,O365 admins; migration leads; help desk; Teams/Exchange engineers,cloud,IT Operations; Cloud Services,O365 admins; migration leads; help desk; Teams/Exchange engineers,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,cloud,IT Operations; Cloud Services,47QFCA22F0047,"$998,940,122.69",ENTERPRISE CLOUD SERVICES,GSA,2,cloud; enterprise,,,,,
Defense Enterprise Office Solutions,DEOS,DISA,,"Public Trust, Secret, Top Secret",Low,,,DoD & federal offices CONUS/OCONUS,“DEOS PMO referenced in DISA Hosting & Compute context”,,,,CSRA / Leidos (team),,,Provided notes,O365/Teams engineers; cloud architects; UC engineers; enterprise email support,AI; cloud,Cloud Services; Program Management,O365/Teams engineers; cloud architects; UC engineers; enterprise email support,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,AI; cloud,Cloud Services; Program Management,,,,,,,,,,,
Defense Health Agency Desktop to Datacenter,D2D,DoD,,Secret,Medium,$4.3B,,San Antonio TX; NCR; Hawaii,"“DHA, D2D, Desktop to Datacenter, GDIT”",Leidos; Perspecta; DHA IT partners,,,GDIT,,,“Top 20 DoD Programs”,Desktop support; help desk; sysadmin; endpoint engineers,,Data Analytics; IT Operations,Desktop support; help desk; sysadmin; endpoint engineers,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Data Analytics; IT Operations,,,,,,,,,,,
Defense Health Agency Modernization / MHS GENESIS,MHS GENESIS,DoD,,"Public Trust, Secret",Medium,$4.3B,,San Antonio TX; Falls Church VA,“DHA; MHS GENESIS; Leidos; Healthcare IT”,Cerner;; Booz Allen Hamilton,,,Leidos,,,BD cross-reference,Healthcare IT engineers; systems analysts; clinical/tech integration roles,,Systems Engineering,Healthcare IT engineers; systems analysts; clinical/tech integration roles,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Systems Engineering,,,,,,,,,,,
Defense Logistics Agency – J6 Enterprise Technology Services,DLA JETS,DoD,Medium,Secret,Medium,,Multi-Year,Secret (indicative),IT Ops,,None,,Multiple (IDIQ pool),Professional Services,,Medium,“DLA JETS”,,IT Operations; Logistics,“DLA JETS”,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,IT Operations; Logistics,,,,,,,,,,,
Defense Satellite Communications Modernization,DSCM (Satellite),Space Force,,Secret,Medium,,,Colorado Springs; Fort Meade,“DSCM Satellite”,,,,CACI,,,Row text,SATCOM RF engineers; network engineers,network,,SATCOM RF engineers; network engineers,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,network,,,,,,,,,,,,
DFAS Enterprise IT Support – Secondary Row,DFAS-Peraton,DoD,,Public Trust,Medium,,,DFAS nationwide,“Finance IT support”,,,,Peraton,,,Row listing,Financial IT; ERP modernization,,,Financial IT; ERP modernization,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,,,,,,,,,,,,
DFAS Enterprise Support,DFAS-Peraton,DoD,Medium,Public Trust,Medium,,Services,DFAS sites,“Finance IT”,,None,,Peraton,IT Ops,,,Financial systems IT; ERP support,,,Financial systems IT; ERP support,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,,,,,,,,,,,,
DGFS (RTX),DGFS,DoD,,Secret,Medium,,,Tucson AZ + other sites,“DGFS RTX”,,,,Raytheon (RTX),Weapon Systems,,,Munitions engineers; missile specialists,,,Munitions engineers; missile specialists,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,,,,,,,,,,,,
DHS Cybersecurity Support Contract,,DHS,,Top Secret,Low,,,DC Metro,“He runs 100 people on a DHS DISA I think project”,,,,Five Star Technology Solutions,Cyber,,Provided context,Cybersecurity SMEs; program managers,cybersecurity,Cybersecurity,Cybersecurity SMEs; program managers,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,cybersecurity,Cybersecurity,,,,,,,,,,,
DHS Data Center 2,DC2,DHS,,"Public Trust, Secret",Medium,,,DC2 sites,“DHS DC2”,Multiple,,,GDIT / Peraton (indicative),,,,DC engineers; ops; cloud,cloud,Data Analytics; Cloud Services,DC engineers; ops; cloud,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,cloud,Data Analytics; Cloud Services,,,,,,,,,,,
DHS Enterprise IT Services I,EITS I,DHS,,"Public Trust, Secret",Medium,,,DHS HQ,“DHS HQ IT”,Multiple subs,,,Leidos / SAIC (indicative),,,,IT services; enterprise support,,,IT services; enterprise support,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,,,,,,,,,,,,
DIA Battlefield Information Networks / BICES-X,BICES-X,DIA,,TS/SCI,High,,,Offutt AFB NE; Stuttgart Germany,"“BICES-X,” “DIA,” “Offutt,” “TS/SCI”",Peraton; GDIT,,,CACI,C5ISR,,DIA mapping examples,Network engineers; sysadmins; cyber analysts,network,Data Analytics; Cybersecurity,Network engineers; sysadmins; cyber analysts,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,network,Data Analytics; Cybersecurity,,,,,,,,,,,
DIA EMERALD,EMERALD,NGA,,Secret,Medium,,,TS/SCI,Intel,,,,Peraton (Perspecta heritage),Professional Services,,Medium,“Talent acquisition lead at Perspecta (now Peraton) for NGA’s EMERALD contract”,,,“Talent acquisition lead at Perspecta (now Peraton) for NGA’s EMERALD contract”,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,,,,,,,,,,,,
DIA Information Systems Engineering Office,ISEO,DIA,,TS/SCI,High,$400M,,Reston VA; JBAB DC,“DIA IT Sustainment”,Insight Global; TEKsystems,,,Leidos,,,AI-Generated playbook,Sysadmin; help desk; desktop support,AI,Systems Engineering; IT Operations; Logistics,Sysadmin; help desk; desktop support,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,AI,Systems Engineering; IT Operations; Logistics,,,,,,,,,,,
DIA Infrastructure Services Enterprise Ops,ISEO,DIA,,TS/SCI w/ Poly,High,$401M,,JBAB DC; Reston VA,“Leidos secures $401M… manage DIA IT operations”,SHINE Systems + others,,,Leidos,Intel,,Contract award notes,Service desk; data center ops; mobile/IA teams,,Data Analytics,Service desk; data center ops; mobile/IA teams,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Data Analytics,,,,,,,,,,,
DIA Infrastructure Services Ops,ISEO,DIA,,TS/SCI,High,$401M,,DIA HQ (DC) + field sites,“DIA ISEO… modernization & O&M… small biz”,SHINE Systems (SB),,,Leidos,,,Award description,Service desk; mobile support; IA & data center,,Data Analytics,Service desk; mobile support; IA & data center,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Data Analytics,,,,,,,,,,,
DIA ISEO,ISEO,DIA,,TS/SCI,High,$400M,,Washington DC (Bolling); remote sites,“DIA ISEO – Leidos – TS/SCI IT workforce”,,,,Leidos,,,Line from BD artifacts,IT support; help desk; desktop support,,IT Operations,IT support; help desk; desktop support,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,IT Operations,,,,,,,,,,,
DIA ISEO (IT Sustainment for DIA),ISEO,DIA,,TS/SCI,High,$400M,,Washington DC; Fort Meade MD,“Staffing surge… clearance delays… BICES similarities”,Smaller cleared firms (unnamed),,,Leidos,Intel,,Notes in program extraction,Help desk; desktop; surge staffing,AI,Data Analytics; IT Operations; Logistics,Help desk; desktop; surge staffing,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,AI,Data Analytics; IT Operations; Logistics,,,,,,,,,,,
DIA IT Sustainment & Engineering Office,ISEO,DIA,High,TS/SCI,High,$400M,COST-PLUS / SUSTAINMENT,Reston VA; JBAB DC,"“DIA ISEO,” “Help Desk,” “PTS angle”",Apex Systems; Insight Global,Target,,Leidos,Intel,,BD Playbook examples,Help desk; desktop; IT sustainment engineers,AI,IT Operations; Logistics,Help desk; desktop; IT sustainment engineers,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,AI,IT Operations; Logistics,,,,,,,,,,,
DIA IT Sustainment & Enterprise Ops,ISEO,DIA,,TS/SCI,High,$400M,,JBAB DC; DIA field sites,“$400M… large TS/SCI help desk & network ops”,SHINE Systems (SB) + others,,,Leidos,Intel,,Program line,Tier 1–3 help desk; VIP support; network operations,AI; network,IT Operations; Logistics,Tier 1–3 help desk; VIP support; network operations,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,AI; network,IT Operations; Logistics,,,,,,,,,,,
DIA IT Sustainment & Enterprise Ops (Task Order),ISEO,DIA,High,TS/SCI,High,$400M,IDIQ,JBAB DC; Reston VA,“Backbone enterprise IT… small cleared firms fill routine support”,SHINE Systems + small SBs,Target,,Leidos,Intel,,Provided BD notes,Desktop/VIP support; service desk; network ops,AI; network,IT Operations; Logistics,Desktop/VIP support; service desk; network ops,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,AI; network,IT Operations; Logistics,75N91020F00003,"$1,775,391,302.47",NCI OPERATIONAL TASK ORDER,NIH,2,order; task,,,,,
DIA IT Sustainment (ISEO),ISEO,DIA,,TS/SCI,High,$400M,,Reston VA; Bolling AFB; CO,“ISEO… staffing gaps… surge TS/SCI support”,Small firms (surge IT),,,Leidos,Sustainment,,BD notes,Desktop; help desk; TS-cleared techs,AI,IT Operations; Logistics,Desktop; help desk; TS-cleared techs,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,AI,IT Operations; Logistics,,,,,,,,,,,
DIA SITE III,SITE III,DIA,,TS/SCI w/ Poly,Medium,$12.6B,,Worldwide CONUS/OCONUS,“DIA; Multi-Int; Big Data”,Booz Allen; SAIC,,,Leidos,Intel,,Site III ecosystem notes,DevSecOps; cyber; AI/ML; big data,DevSecOps; AI; ML,Data Analytics; Cybersecurity,DevSecOps; cyber; AI/ML; big data,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,DevSecOps; AI; ML,Data Analytics; Cybersecurity,,,,,,,,,,,
DIA SITE III IDIQ,SITE III,DIA,,TS/SCI,High,,,National Harbor MD (conference note),“PTS could position for subcontracting”,PTS (prospective sub),,,"Leidos, CACI, others",Intel,,Program notes,Cyber; IT infrastructure; systems engineering,,Systems Engineering; Cybersecurity,Cyber; IT infrastructure; systems engineering,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,,Systems Engineering; Cybersecurity,,,,,,,,,,,
DIA Solutions for the Information Technology Enterprise III,SITE III,DIA,High,TS/SCI,High,$12.6B,IDIQ,JBAB DC; DIA field sites,“High TO velocity… large TS/SCI cleared workforce”,SHINE Systems (cleared SB),Target,"January 1, 2021 → January 1, 2031",Multi-award primes,Intel,,SITE III documentation,Sys/Win/Linux Admin; Service Desk; SharePoint Admin,SharePoint,,Sys/Win/Linux Admin; Service Desk; SharePoint Admin,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,SharePoint,,,,,,,,,,,,
DIMS (Peraton),DIMS,Air Force,,Secret,Medium,,,Secret,“DIMS Peraton”,,,,Peraton,Data,,Program list reference,Data analysts; IT sustainment; cloud/DB support,AI; cloud,Data Analytics; Cloud Services; Logistics,Data analysts; IT sustainment; cloud/DB support,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,AI; cloud,Data Analytics; Cloud Services; Logistics,,,,,,,,,,,
DISA ENCORE III,ENCORE III,DISA,,Secret,Medium,$17.5B,,DoD-wide,“19 performance areas… network support… cyber”,Numerous small SB subs,,,20 large + 20 small primes,Professional Services,,IDIQ description,IT modernization; software; cyber; net ops,network,Software Development; Cybersecurity,IT modernization; software; cyber; net ops,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,network,Software Development; Cybersecurity,,,,,,,,,,,
DISA ENCORE III Cyber Task Orders,ENCORE III Cyber,DISA,,TS/SCI,Medium,$17.5B,,Fort Meade MD; Scott AFB IL,“CACI ENCORE III Cyber TOs… 15+ reqs”,SB partners,,,CACI,Cyber,,Program references,Boundary protection; DevSecOps; PKI; cyber engineering,DevSecOps; PKI,Cybersecurity,Boundary protection; DevSecOps; PKI; cyber engineering,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,DevSecOps; PKI,Cybersecurity,,,,,,,,,,,
DISA Enterprise IT Support / Cloud Support BPA,,DISA,,Top Secret,Low,,,Crystal City VA; Fort Meade MD,“DISA’s Cloud Support BPA”,,,,Multiple primes,,,BPA notes,Cloud SMEs; security engineers; cloud ops,cloud,Cloud Services; Cybersecurity,Cloud SMEs; security engineers; cloud ops,,,,,,,No Contract Number,,,,,,,,,No Contract Number,,,,,,Not Found,cloud,Cloud Services; Cybersecurity,,,,,,,,,,,
