Priority,Job Title,Program,Prime,Location,Clearance,Match Score,Personalized Intro,Value Proposition,Objection: Process,Objection: Send Email,Objection: Vendor List,HUMINT Questions,Follow-up Action,Job URL
HIGH,"SECRET LINUX SYSTEM ADMINISTRATOR (CO SPRINGS, CO)",Air Force Cyber Operations / Platform One + Cyber/,SAIC; Leidos; CACI; Booz Allen,"Colorado Springs, Colorado",Top Secret,12,"Hi [Name], I'm reaching out because I noticed you're supporting Air Force Cyber Operations / Platform On. PTS specializes in placing Top Secret talent for programs exactly like this.","We have bench candidates in Colorado Springs with the clearances and skills you need. Unlike other staffing firms, we focus exclusively on federal cleared IT and cyber talent.","I completely respect that. I'm not asking to skip any steps - just want 15 minutes so when you DO have an urgent need, we're not starting from zero. Would Thursday or Friday work better?","Happy to send info, but quick question first - what's your biggest headache right now on this program? If it's [specific skill], I can tell you exactly what we have on bench.",Understood. But here's the thing - we're already on [Prime]'s approved vendor list. This is about making sure you know what bench we have ready when speed matters.,1) What roles are hardest to fill right now? 2) What's your timeline looking like for the next task order? 3) Any upcoming surge requirements? 4) Who else on the program should I connect with?,"If no meeting: Follow up in 3 days with specific candidate profile for SECRET LINUX SYSTEM ADMINISTRATOR (CO SPRINGS, CO)",https://insightglobal.com/jobs/find_a_job/colorado/colorado-springs/secret-linux-system-administrator-co-springs-co-/job-476216/
HIGH,TS/SCI LOGISTICS SPECIALIST,Army AESD Enterprise Service Desk,SAIC,"San Antonio, Texas",TS/SCI,12,"Hi [Name], I'm reaching out because I noticed you're supporting Army AESD Enterprise Service Desk. PTS specializes in placing TS/SCI talent for programs exactly like this.","We have bench candidates in San Antonio with the clearances and skills you need. Unlike other staffing firms, we focus exclusively on federal cleared IT and cyber talent.","I completely respect that. I'm not asking to skip any steps - just want 15 minutes so when you DO have an urgent need, we're not starting from zero. Would Thursday or Friday work better?","Happy to send info, but quick question first - what's your biggest headache right now on this program? If it's [specific skill], I can tell you exactly what we have on bench.",Understood. But here's the thing - we're already on [Prime]'s approved vendor list. This is about making sure you know what bench we have ready when speed matters.,1) What roles are hardest to fill right now? 2) What's your timeline looking like for the next task order? 3) Any upcoming surge requirements? 4) Who else on the program should I connect with?,If no meeting: Follow up in 3 days with specific candidate profile for TS/SCI LOGISTICS SPECIALIST,https://insightglobal.com/jobs/find_a_job/texas/san-antonio/ts-sci-logistics-specialist/job-480214/
HIGH,TS/SCI CI POLY SOFTWARE ENGINEER,Army Enterprise Service Management Framework,SAIC,"Colorado Springs, Colorado",TS/SCI Poly,12,"Hi [Name], I'm reaching out because I noticed you're supporting Army Enterprise Service Management Frame. PTS specializes in placing TS/SCI Poly talent for programs exactly like this.","We have bench candidates in Colorado Springs with the clearances and skills you need. Unlike other staffing firms, we focus exclusively on federal cleared IT and cyber talent.","I completely respect that. I'm not asking to skip any steps - just want 15 minutes so when you DO have an urgent need, we're not starting from zero. Would Thursday or Friday work better?","Happy to send info, but quick question first - what's your biggest headache right now on this program? If it's [specific skill], I can tell you exactly what we have on bench.",Understood. But here's the thing - we're already on [Prime]'s approved vendor list. This is about making sure you know what bench we have ready when speed matters.,1) What roles are hardest to fill right now? 2) What's your timeline looking like for the next task order? 3) Any upcoming surge requirements? 4) Who else on the program should I connect with?,If no meeting: Follow up in 3 days with specific candidate profile for TS/SCI CI POLY SOFTWARE ENGINEER,https://insightglobal.com/jobs/find_a_job/colorado/colorado-springs/ts-sci-ci-poly-software-engineer/job-480203/
HIGH,SYSTEMS ENGINEER - LEVEL 3,GBS (Global Broadcast Service),L3Harris (historical),"Anaheim, California",Secret,12,"Hi [Name], I'm reaching out because I noticed you're supporting GBS (Global Broadcast Service). PTS specializes in placing Secret talent for programs exactly like this.","We have bench candidates in Anaheim with the clearances and skills you need. Unlike other staffing firms, we focus exclusively on federal cleared IT and cyber talent.","I completely respect that. I'm not asking to skip any steps - just want 15 minutes so when you DO have an urgent need, we're not starting from zero. Would Thursday or Friday work better?","Happy to send info, but quick question first - what's your biggest headache right now on this program? If it's [specific skill], I can tell you exactly what we have on bench.",Understood. But here's the thing - we're already on [Prime]'s approved vendor list. This is about making sure you know what bench we have ready when speed matters.,1) What roles are hardest to fill right now? 2) What's your timeline looking like for the next task order? 3) Any upcoming surge requirements? 4) Who else on the program should I connect with?,If no meeting: Follow up in 3 days with specific candidate profile for SYSTEMS ENGINEER - LEVEL 3,https://insightglobal.com/jobs/find_a_job/california/anaheim/systems-engineer-level-3/job-481705/
HIGH,TS/SCI - GCCS SYSTEMS ENGINEER,"EDIS – Engineering, Development, Integration & Sus",SAIC,"Colorado Springs, Colorado",TS/SCI,12,"Hi [Name], I'm reaching out because I noticed you're supporting EDIS – Engineering, Development, Integra. PTS specializes in placing TS/SCI talent for programs exactly like this.","We have bench candidates in Colorado Springs with the clearances and skills you need. Unlike other staffing firms, we focus exclusively on federal cleared IT and cyber talent.","I completely respect that. I'm not asking to skip any steps - just want 15 minutes so when you DO have an urgent need, we're not starting from zero. Would Thursday or Friday work better?","Happy to send info, but quick question first - what's your biggest headache right now on this program? If it's [specific skill], I can tell you exactly what we have on bench.",Understood. But here's the thing - we're already on [Prime]'s approved vendor list. This is about making sure you know what bench we have ready when speed matters.,1) What roles are hardest to fill right now? 2) What's your timeline looking like for the next task order? 3) Any upcoming surge requirements? 4) Who else on the program should I connect with?,If no meeting: Follow up in 3 days with specific candidate profile for TS/SCI - GCCS SYSTEMS ENGINEER,https://insightglobal.com/jobs/find_a_job/colorado/colorado-springs/ts-sci-gccs-systems-engineer/job-437999/
HIGH,Network Security Engineer,Data Center & Cloud Optimization,Peraton / Leidos (indicative),"Arlington, VA",,11,"Hi [Name], I'm reaching out because I noticed you're supporting Data Center & Cloud Optimization. PTS specializes in placing cleared talent for programs exactly like this.","We have bench candidates in Arlington with the clearances and skills you need. Unlike other staffing firms, we focus exclusively on federal cleared IT and cyber talent.","I completely respect that. I'm not asking to skip any steps - just want 15 minutes so when you DO have an urgent need, we're not starting from zero. Would Thursday or Friday work better?","Happy to send info, but quick question first - what's your biggest headache right now on this program? If it's [specific skill], I can tell you exactly what we have on bench.",Understood. But here's the thing - we're already on [Prime]'s approved vendor list. This is about making sure you know what bench we have ready when speed matters.,1) What roles are hardest to fill right now? 2) What's your timeline looking like for the next task order? 3) Any upcoming surge requirements? 4) Who else on the program should I connect with?,If no meeting: Follow up in 3 days with specific candidate profile for Network Security Engineer,https://www.apexsystems.com/job/3016779_usa/network-security-engineer
HIGH,MECHANICAL SYSTEMS ENGINEER,"EDIS – Engineering, Development, Integration & Sus",SAIC,"New London, Connecticut",Secret,11,"Hi [Name], I'm reaching out because I noticed you're supporting EDIS – Engineering, Development, Integra. PTS specializes in placing Secret talent for programs exactly like this.","We have bench candidates in New London with the clearances and skills you need. Unlike other staffing firms, we focus exclusively on federal cleared IT and cyber talent.","I completely respect that. I'm not asking to skip any steps - just want 15 minutes so when you DO have an urgent need, we're not starting from zero. Would Thursday or Friday work better?","Happy to send info, but quick question first - what's your biggest headache right now on this program? If it's [specific skill], I can tell you exactly what we have on bench.",Understood. But here's the thing - we're already on [Prime]'s approved vendor list. This is about making sure you know what bench we have ready when speed matters.,1) What roles are hardest to fill right now? 2) What's your timeline looking like for the next task order? 3) Any upcoming surge requirements? 4) Who else on the program should I connect with?,If no meeting: Follow up in 3 days with specific candidate profile for MECHANICAL SYSTEMS ENGINEER,https://insightglobal.com/jobs/find_a_job/connecticut/new-london/mechanical-systems-engineer/job-459815/
HIGH,SIMULATION SYSTEMS ENGINEER II,NARSIL – Advanced Research for System Intelligence,Peraton,"Suffolk, Virginia",,11,"Hi [Name], I'm reaching out because I noticed you're supporting NARSIL – Advanced Research for System In. PTS specializes in placing cleared talent for programs exactly like this.","We have bench candidates in Suffolk with the clearances and skills you need. Unlike other staffing firms, we focus exclusively on federal cleared IT and cyber talent.","I completely respect that. I'm not asking to skip any steps - just want 15 minutes so when you DO have an urgent need, we're not starting from zero. Would Thursday or Friday work better?","Happy to send info, but quick question first - what's your biggest headache right now on this program? If it's [specific skill], I can tell you exactly what we have on bench.",Understood. But here's the thing - we're already on [Prime]'s approved vendor list. This is about making sure you know what bench we have ready when speed matters.,1) What roles are hardest to fill right now? 2) What's your timeline looking like for the next task order? 3) Any upcoming surge requirements? 4) Who else on the program should I connect with?,If no meeting: Follow up in 3 days with specific candidate profile for SIMULATION SYSTEMS ENGINEER II,https://insightglobal.com/jobs/find_a_job/virginia/suffolk/simulation-systems-engineer-ii/job-477425/
HIGH,EVMS Lead Program Control Consultant,Air Force Advanced Battle Management System,"Multiple: SAIC, Leidos, Booz A","Herndon, VA",,10,"Hi [Name], I'm reaching out because I noticed you're supporting Air Force Advanced Battle Management Sys. PTS specializes in placing cleared talent for programs exactly like this.","We have bench candidates in Herndon with the clearances and skills you need. Unlike other staffing firms, we focus exclusively on federal cleared IT and cyber talent.","I completely respect that. I'm not asking to skip any steps - just want 15 minutes so when you DO have an urgent need, we're not starting from zero. Would Thursday or Friday work better?","Happy to send info, but quick question first - what's your biggest headache right now on this program? If it's [specific skill], I can tell you exactly what we have on bench.",Understood. But here's the thing - we're already on [Prime]'s approved vendor list. This is about making sure you know what bench we have ready when speed matters.,1) What roles are hardest to fill right now? 2) What's your timeline looking like for the next task order? 3) Any upcoming surge requirements? 4) Who else on the program should I connect with?,If no meeting: Follow up in 3 days with specific candidate profile for EVMS Lead Program Control Consultant,https://www.apexsystems.com/job/3014010_usa/evms-lead-program-control-consultant
HIGH,Software Engineer - ENG05 - Cleared On-Site,GPS Next-Gen Operational Control System,Raytheon Intelligence & Space,"Aurora, CO",,10,"Hi [Name], I'm reaching out because I noticed you're supporting GPS Next-Gen Operational Control System. PTS specializes in placing cleared talent for programs exactly like this.","We have bench candidates in Aurora with the clearances and skills you need. Unlike other staffing firms, we focus exclusively on federal cleared IT and cyber talent.","I completely respect that. I'm not asking to skip any steps - just want 15 minutes so when you DO have an urgent need, we're not starting from zero. Would Thursday or Friday work better?","Happy to send info, but quick question first - what's your biggest headache right now on this program? If it's [specific skill], I can tell you exactly what we have on bench.",Understood. But here's the thing - we're already on [Prime]'s approved vendor list. This is about making sure you know what bench we have ready when speed matters.,1) What roles are hardest to fill right now? 2) What's your timeline looking like for the next task order? 3) Any upcoming surge requirements? 4) Who else on the program should I connect with?,If no meeting: Follow up in 3 days with specific candidate profile for Software Engineer - ENG05 - Cleared On-Site,https://www.apexsystems.com/job/2049305_usa/software-engineer---eng05---cleared-on-site
HIGH,JAVA/REACT Developer,Integrated Air & Missile Defense,Raytheon,"Andover, MA",,10,"Hi [Name], I'm reaching out because I noticed you're supporting Integrated Air & Missile Defense. PTS specializes in placing cleared talent for programs exactly like this.","We have bench candidates in Andover with the clearances and skills you need. Unlike other staffing firms, we focus exclusively on federal cleared IT and cyber talent.","I completely respect that. I'm not asking to skip any steps - just want 15 minutes so when you DO have an urgent need, we're not starting from zero. Would Thursday or Friday work better?","Happy to send info, but quick question first - what's your biggest headache right now on this program? If it's [specific skill], I can tell you exactly what we have on bench.",Understood. But here's the thing - we're already on [Prime]'s approved vendor list. This is about making sure you know what bench we have ready when speed matters.,1) What roles are hardest to fill right now? 2) What's your timeline looking like for the next task order? 3) Any upcoming surge requirements? 4) Who else on the program should I connect with?,If no meeting: Follow up in 3 days with specific candidate profile for JAVA/REACT Developer,https://www.apexsystems.com/job/3012633_usa/javareact-developer
HIGH,TS/SCI SR. NETWORK ENGINEER,NGEN-R SMIT – Navy Next Generation Enterprise Netw,Leidos,"Mount Vernon, Virginia",TS/SCI,10,"Hi [Name], I'm reaching out because I noticed you're supporting NGEN-R SMIT – Navy Next Generation Enter. PTS specializes in placing TS/SCI talent for programs exactly like this.","We have bench candidates in Mount Vernon with the clearances and skills you need. Unlike other staffing firms, we focus exclusively on federal cleared IT and cyber talent.","I completely respect that. I'm not asking to skip any steps - just want 15 minutes so when you DO have an urgent need, we're not starting from zero. Would Thursday or Friday work better?","Happy to send info, but quick question first - what's your biggest headache right now on this program? If it's [specific skill], I can tell you exactly what we have on bench.",Understood. But here's the thing - we're already on [Prime]'s approved vendor list. This is about making sure you know what bench we have ready when speed matters.,1) What roles are hardest to fill right now? 2) What's your timeline looking like for the next task order? 3) Any upcoming surge requirements? 4) Who else on the program should I connect with?,If no meeting: Follow up in 3 days with specific candidate profile for TS/SCI SR. NETWORK ENGINEER,https://insightglobal.com/jobs/find_a_job/virginia/mount-vernon/ts-sci-sr-network-engineer/job-458210/
HIGH,SECRET NETWORK ADMINISTRATOR II (DAYS),Project Convergence (JADC2 Experiments),SAIC,"Montgomery, Alabama",Secret,10,"Hi [Name], I'm reaching out because I noticed you're supporting Project Convergence (JADC2 Experiments). PTS specializes in placing Secret talent for programs exactly like this.","We have bench candidates in Montgomery with the clearances and skills you need. Unlike other staffing firms, we focus exclusively on federal cleared IT and cyber talent.","I completely respect that. I'm not asking to skip any steps - just want 15 minutes so when you DO have an urgent need, we're not starting from zero. Would Thursday or Friday work better?","Happy to send info, but quick question first - what's your biggest headache right now on this program? If it's [specific skill], I can tell you exactly what we have on bench.",Understood. But here's the thing - we're already on [Prime]'s approved vendor list. This is about making sure you know what bench we have ready when speed matters.,1) What roles are hardest to fill right now? 2) What's your timeline looking like for the next task order? 3) Any upcoming surge requirements? 4) Who else on the program should I connect with?,If no meeting: Follow up in 3 days with specific candidate profile for SECRET NETWORK ADMINISTRATOR II (DAYS),https://insightglobal.com/jobs/find_a_job/alabama/montgomery/secret-network-administrator-ii-days-/job-479729/
HIGH,SALES ENGINEER,Advanced Battle Management System,Multi (SAIC supports parts),"Colorado Springs, Colorado",,10,"Hi [Name], I'm reaching out because I noticed you're supporting Advanced Battle Management System. PTS specializes in placing cleared talent for programs exactly like this.","We have bench candidates in Colorado Springs with the clearances and skills you need. Unlike other staffing firms, we focus exclusively on federal cleared IT and cyber talent.","I completely respect that. I'm not asking to skip any steps - just want 15 minutes so when you DO have an urgent need, we're not starting from zero. Would Thursday or Friday work better?","Happy to send info, but quick question first - what's your biggest headache right now on this program? If it's [specific skill], I can tell you exactly what we have on bench.",Understood. But here's the thing - we're already on [Prime]'s approved vendor list. This is about making sure you know what bench we have ready when speed matters.,1) What roles are hardest to fill right now? 2) What's your timeline looking like for the next task order? 3) Any upcoming surge requirements? 4) Who else on the program should I connect with?,If no meeting: Follow up in 3 days with specific candidate profile for SALES ENGINEER,https://insightglobal.com/jobs/find_a_job/colorado/colorado-springs/sales-engineer/job-239366/
HIGH,PYTHON TESTER - V&V,Defense Enclave Services,Leidos,"Sainte-Anne-De-Bellevue, Quebec",,10,"Hi [Name], I'm reaching out because I noticed you're supporting Defense Enclave Services. PTS specializes in placing cleared talent for programs exactly like this.","We have bench candidates in Sainte-Anne-De-Bellevue with the clearances and skills you need. Unlike other staffing firms, we focus exclusively on federal cleared IT and cyber talent.","I completely respect that. I'm not asking to skip any steps - just want 15 minutes so when you DO have an urgent need, we're not starting from zero. Would Thursday or Friday work better?","Happy to send info, but quick question first - what's your biggest headache right now on this program? If it's [specific skill], I can tell you exactly what we have on bench.",Understood. But here's the thing - we're already on [Prime]'s approved vendor list. This is about making sure you know what bench we have ready when speed matters.,1) What roles are hardest to fill right now? 2) What's your timeline looking like for the next task order? 3) Any upcoming surge requirements? 4) Who else on the program should I connect with?,If no meeting: Follow up in 3 days with specific candidate profile for PYTHON TESTER - V&V,https://insightglobal.com/jobs/find_a_job/quebec/sainte-anne-de-bellevue/python-tester-vv/job-482242/
HIGH,TOP SECRET HARDWARE TECH,Project Convergence (JADC2 Experiments),SAIC,"Monroeville, Pennsylvania",Top Secret,10,"Hi [Name], I'm reaching out because I noticed you're supporting Project Convergence (JADC2 Experiments). PTS specializes in placing Top Secret talent for programs exactly like this.","We have bench candidates in Monroeville with the clearances and skills you need. Unlike other staffing firms, we focus exclusively on federal cleared IT and cyber talent.","I completely respect that. I'm not asking to skip any steps - just want 15 minutes so when you DO have an urgent need, we're not starting from zero. Would Thursday or Friday work better?","Happy to send info, but quick question first - what's your biggest headache right now on this program? If it's [specific skill], I can tell you exactly what we have on bench.",Understood. But here's the thing - we're already on [Prime]'s approved vendor list. This is about making sure you know what bench we have ready when speed matters.,1) What roles are hardest to fill right now? 2) What's your timeline looking like for the next task order? 3) Any upcoming surge requirements? 4) Who else on the program should I connect with?,If no meeting: Follow up in 3 days with specific candidate profile for TOP SECRET HARDWARE TECH,https://insightglobal.com/jobs/find_a_job/pennsylvania/monroeville/top-secret-hardware-tech/job-478314/
HIGH,"MECHANICAL ENGINEER, PE - DESIGNER",Army AESD Enterprise Service Desk,SAIC,"San Antonio, Texas",,10,"Hi [Name], I'm reaching out because I noticed you're supporting Army AESD Enterprise Service Desk. PTS specializes in placing cleared talent for programs exactly like this.","We have bench candidates in San Antonio with the clearances and skills you need. Unlike other staffing firms, we focus exclusively on federal cleared IT and cyber talent.","I completely respect that. I'm not asking to skip any steps - just want 15 minutes so when you DO have an urgent need, we're not starting from zero. Would Thursday or Friday work better?","Happy to send info, but quick question first - what's your biggest headache right now on this program? If it's [specific skill], I can tell you exactly what we have on bench.",Understood. But here's the thing - we're already on [Prime]'s approved vendor list. This is about making sure you know what bench we have ready when speed matters.,1) What roles are hardest to fill right now? 2) What's your timeline looking like for the next task order? 3) Any upcoming surge requirements? 4) Who else on the program should I connect with?,"If no meeting: Follow up in 3 days with specific candidate profile for MECHANICAL ENGINEER, PE - DESIGNER",https://insightglobal.com/jobs/find_a_job/texas/san-antonio/mechanical-engineer-pe-designer/job-479148/
HIGH,TS/SCI NETWORK ADMINISTRATOR III (WAN) (AFTERNOON),Project Convergence (JADC2 Experiments),SAIC,"Montgomery, Alabama",TS/SCI,10,"Hi [Name], I'm reaching out because I noticed you're supporting Project Convergence (JADC2 Experiments). PTS specializes in placing TS/SCI talent for programs exactly like this.","We have bench candidates in Montgomery with the clearances and skills you need. Unlike other staffing firms, we focus exclusively on federal cleared IT and cyber talent.","I completely respect that. I'm not asking to skip any steps - just want 15 minutes so when you DO have an urgent need, we're not starting from zero. Would Thursday or Friday work better?","Happy to send info, but quick question first - what's your biggest headache right now on this program? If it's [specific skill], I can tell you exactly what we have on bench.",Understood. But here's the thing - we're already on [Prime]'s approved vendor list. This is about making sure you know what bench we have ready when speed matters.,1) What roles are hardest to fill right now? 2) What's your timeline looking like for the next task order? 3) Any upcoming surge requirements? 4) Who else on the program should I connect with?,If no meeting: Follow up in 3 days with specific candidate profile for TS/SCI NETWORK ADMINISTRATOR III (WAN) (AFTERNOON),https://insightglobal.com/jobs/find_a_job/alabama/montgomery/ts-sci-network-administrator-iii-wan-afternoon-/job-455774/
HIGH,OPERATING ENGINEER 2,Battlefield Information Collection & Exploitation ,GDIT,"Springfield, Virginia",,10,"Hi [Name], I'm reaching out because I noticed you're supporting Battlefield Information Collection & Exp. PTS specializes in placing cleared talent for programs exactly like this.","We have bench candidates in Springfield with the clearances and skills you need. Unlike other staffing firms, we focus exclusively on federal cleared IT and cyber talent.","I completely respect that. I'm not asking to skip any steps - just want 15 minutes so when you DO have an urgent need, we're not starting from zero. Would Thursday or Friday work better?","Happy to send info, but quick question first - what's your biggest headache right now on this program? If it's [specific skill], I can tell you exactly what we have on bench.",Understood. But here's the thing - we're already on [Prime]'s approved vendor list. This is about making sure you know what bench we have ready when speed matters.,1) What roles are hardest to fill right now? 2) What's your timeline looking like for the next task order? 3) Any upcoming surge requirements? 4) Who else on the program should I connect with?,If no meeting: Follow up in 3 days with specific candidate profile for OPERATING ENGINEER 2,https://insightglobal.com/jobs/find_a_job/virginia/springfield/operating-engineer-2/job-478776/
HIGH,DIGITAL HARDWARE ENGINEER,NGEN-R SMIT – Navy Next Generation Enterprise Netw,Leidos,"Greece, New York",,10,"Hi [Name], I'm reaching out because I noticed you're supporting NGEN-R SMIT – Navy Next Generation Enter. PTS specializes in placing cleared talent for programs exactly like this.","We have bench candidates in Greece with the clearances and skills you need. Unlike other staffing firms, we focus exclusively on federal cleared IT and cyber talent.","I completely respect that. I'm not asking to skip any steps - just want 15 minutes so when you DO have an urgent need, we're not starting from zero. Would Thursday or Friday work better?","Happy to send info, but quick question first - what's your biggest headache right now on this program? If it's [specific skill], I can tell you exactly what we have on bench.",Understood. But here's the thing - we're already on [Prime]'s approved vendor list. This is about making sure you know what bench we have ready when speed matters.,1) What roles are hardest to fill right now? 2) What's your timeline looking like for the next task order? 3) Any upcoming surge requirements? 4) Who else on the program should I connect with?,If no meeting: Follow up in 3 days with specific candidate profile for DIGITAL HARDWARE ENGINEER,https://insightglobal.com/jobs/find_a_job/new-york/greece/digital-hardware-engineer/job-482978/
HIGH,TS/SCI NETWORK ADMINISTRATOR III (WAN) (AFTERNOON),Project Convergence (JADC2 Experiments),SAIC,"Montgomery, Alabama",TS/SCI,10,"Hi [Name], I'm reaching out because I noticed you're supporting Project Convergence (JADC2 Experiments). PTS specializes in placing TS/SCI talent for programs exactly like this.","We have bench candidates in Montgomery with the clearances and skills you need. Unlike other staffing firms, we focus exclusively on federal cleared IT and cyber talent.","I completely respect that. I'm not asking to skip any steps - just want 15 minutes so when you DO have an urgent need, we're not starting from zero. Would Thursday or Friday work better?","Happy to send info, but quick question first - what's your biggest headache right now on this program? If it's [specific skill], I can tell you exactly what we have on bench.",Understood. But here's the thing - we're already on [Prime]'s approved vendor list. This is about making sure you know what bench we have ready when speed matters.,1) What roles are hardest to fill right now? 2) What's your timeline looking like for the next task order? 3) Any upcoming surge requirements? 4) Who else on the program should I connect with?,If no meeting: Follow up in 3 days with specific candidate profile for TS/SCI NETWORK ADMINISTRATOR III (WAN) (AFTERNOON),https://insightglobal.com/jobs/find_a_job/alabama/montgomery/ts-sci-network-administrator-iii-wan-afternoon-/job-455777/
HIGH,TS/SCI NETWORK ADMINISTRATOR III (WAN) (DAY SHIFT),Project Convergence (JADC2 Experiments),SAIC,"Montgomery, Alabama",TS/SCI,10,"Hi [Name], I'm reaching out because I noticed you're supporting Project Convergence (JADC2 Experiments). PTS specializes in placing TS/SCI talent for programs exactly like this.","We have bench candidates in Montgomery with the clearances and skills you need. Unlike other staffing firms, we focus exclusively on federal cleared IT and cyber talent.","I completely respect that. I'm not asking to skip any steps - just want 15 minutes so when you DO have an urgent need, we're not starting from zero. Would Thursday or Friday work better?","Happy to send info, but quick question first - what's your biggest headache right now on this program? If it's [specific skill], I can tell you exactly what we have on bench.",Understood. But here's the thing - we're already on [Prime]'s approved vendor list. This is about making sure you know what bench we have ready when speed matters.,1) What roles are hardest to fill right now? 2) What's your timeline looking like for the next task order? 3) Any upcoming surge requirements? 4) Who else on the program should I connect with?,If no meeting: Follow up in 3 days with specific candidate profile for TS/SCI NETWORK ADMINISTRATOR III (WAN) (DAY SHIFT),https://insightglobal.com/jobs/find_a_job/alabama/montgomery/ts-sci-network-administrator-iii-wan-day-shift-/job-455721/
HIGH,LINUX SYSTEMS ENGINEER (TS),Army Integrated Battle Command System Support,Northrop Grumman (prime); CACI,"Chantilly, Virginia",Top Secret,10,"Hi [Name], I'm reaching out because I noticed you're supporting Army Integrated Battle Command System Su. PTS specializes in placing Top Secret talent for programs exactly like this.","We have bench candidates in Chantilly with the clearances and skills you need. Unlike other staffing firms, we focus exclusively on federal cleared IT and cyber talent.","I completely respect that. I'm not asking to skip any steps - just want 15 minutes so when you DO have an urgent need, we're not starting from zero. Would Thursday or Friday work better?","Happy to send info, but quick question first - what's your biggest headache right now on this program? If it's [specific skill], I can tell you exactly what we have on bench.",Understood. But here's the thing - we're already on [Prime]'s approved vendor list. This is about making sure you know what bench we have ready when speed matters.,1) What roles are hardest to fill right now? 2) What's your timeline looking like for the next task order? 3) Any upcoming surge requirements? 4) Who else on the program should I connect with?,If no meeting: Follow up in 3 days with specific candidate profile for LINUX SYSTEMS ENGINEER (TS),https://insightglobal.com/jobs/find_a_job/virginia/chantilly/linux-systems-engineer-ts-/job-448756/
HIGH,SECRET NETWORK ADMINISTRATOR II (WAN) (AFTERNOONS),Project Convergence (JADC2 Experiments),SAIC,"Montgomery, Alabama",Secret,10,"Hi [Name], I'm reaching out because I noticed you're supporting Project Convergence (JADC2 Experiments). PTS specializes in placing Secret talent for programs exactly like this.","We have bench candidates in Montgomery with the clearances and skills you need. Unlike other staffing firms, we focus exclusively on federal cleared IT and cyber talent.","I completely respect that. I'm not asking to skip any steps - just want 15 minutes so when you DO have an urgent need, we're not starting from zero. Would Thursday or Friday work better?","Happy to send info, but quick question first - what's your biggest headache right now on this program? If it's [specific skill], I can tell you exactly what we have on bench.",Understood. But here's the thing - we're already on [Prime]'s approved vendor list. This is about making sure you know what bench we have ready when speed matters.,1) What roles are hardest to fill right now? 2) What's your timeline looking like for the next task order? 3) Any upcoming surge requirements? 4) Who else on the program should I connect with?,If no meeting: Follow up in 3 days with specific candidate profile for SECRET NETWORK ADMINISTRATOR II (WAN) (AFTERNOONS),https://insightglobal.com/jobs/find_a_job/alabama/montgomery/secret-network-administrator-ii-wan-afternoons-/job-456010/
HIGH,TS/SCI ENGINEERING TECHNICIAN,Army AESD Enterprise Service Desk,SAIC,"San Antonio, Texas",TS/SCI,10,"Hi [Name], I'm reaching out because I noticed you're supporting Army AESD Enterprise Service Desk. PTS specializes in placing TS/SCI talent for programs exactly like this.","We have bench candidates in San Antonio with the clearances and skills you need. Unlike other staffing firms, we focus exclusively on federal cleared IT and cyber talent.","I completely respect that. I'm not asking to skip any steps - just want 15 minutes so when you DO have an urgent need, we're not starting from zero. Would Thursday or Friday work better?","Happy to send info, but quick question first - what's your biggest headache right now on this program? If it's [specific skill], I can tell you exactly what we have on bench.",Understood. But here's the thing - we're already on [Prime]'s approved vendor list. This is about making sure you know what bench we have ready when speed matters.,1) What roles are hardest to fill right now? 2) What's your timeline looking like for the next task order? 3) Any upcoming surge requirements? 4) Who else on the program should I connect with?,If no meeting: Follow up in 3 days with specific candidate profile for TS/SCI ENGINEERING TECHNICIAN,https://insightglobal.com/jobs/find_a_job/texas/san-antonio/ts-sci-engineering-technician/job-478959/
HIGH,TS/SCI PROGRAM MANAGER,Army AESD Enterprise Service Desk,SAIC,"San Antonio, Texas",TS/SCI,10,"Hi [Name], I'm reaching out because I noticed you're supporting Army AESD Enterprise Service Desk. PTS specializes in placing TS/SCI talent for programs exactly like this.","We have bench candidates in San Antonio with the clearances and skills you need. Unlike other staffing firms, we focus exclusively on federal cleared IT and cyber talent.","I completely respect that. I'm not asking to skip any steps - just want 15 minutes so when you DO have an urgent need, we're not starting from zero. Would Thursday or Friday work better?","Happy to send info, but quick question first - what's your biggest headache right now on this program? If it's [specific skill], I can tell you exactly what we have on bench.",Understood. But here's the thing - we're already on [Prime]'s approved vendor list. This is about making sure you know what bench we have ready when speed matters.,1) What roles are hardest to fill right now? 2) What's your timeline looking like for the next task order? 3) Any upcoming surge requirements? 4) Who else on the program should I connect with?,If no meeting: Follow up in 3 days with specific candidate profile for TS/SCI PROGRAM MANAGER,https://insightglobal.com/jobs/find_a_job/texas/san-antonio/ts-sci-program-manager/job-479108/
