Program Name,Acronym,Agency Owner,BD Priority,Clearance Requirements,Confidence Level,Contract Value,Contract Vehicle,Key Locations,Keywords/Signals,Known Subcontractors,PTS Involvement,Period of Performance,Prime Contractor Name,Program Type,Recompete Date,Source Evidence,Typical Roles,Contract Number,Acronym_contract,Match Confidence,Match Score,Tech Stack (Basic),Functional Areas,Job Titles,Contract Start Date (Tango),Current End Date (Tango),Ultimate End Date (Tango),Base + Options Value (Tango),Total Obligated (Tango),Performance Location (Tango),Tango NAICS Code,Tango PSC Code,Recipient UEI (Tango),Recipient Name (Tango),Awarding Office (Tango),Set Aside (Tango),Contract Signed Date (Tango),NAICS Description,PSC Description,Labor Rate Min,Labor Rate Max,Labor Rate Average,Education Requirement,Experience Requirement,Annual Salary Range,CALC API Status
Basic Ordering Agreement (Lockheed Martin),BOA,DoD,nan,Secret,Medium,nan,nan,Various locations,BOA,Multiple,nan,nan,Lockheed Martin,Professional Services,nan,nan,Varies,N0001917C0001,BOA,Low,0.0,,,Varies,2017-11-17,2031-03-31,2031-03-31,"$889,068,000.00","$35,135,514,910.20","FORT WORTH, TEXAS",336411,1510,G4KDGE4JFFK7,LOCKHEED MARTIN CORPORATION,NAVAL AIR SYSTEMS COMMAND (Department of the Navy),NONE,2017-04-28,Aircraft Manufacturing,,,,,,,,No Match
Basic Ordering Agreement (NG BOA),BOA,Other,nan,Secret,Medium,nan,nan,"Roy, UT; Hill AFB; Colorado Springs, CO","Surge Support, Staff Augmentation",Prime Technical Services (sub),nan,nan,Northrop Grumman,nan,nan,Northrop programs supported by Prime TS,"ISSOs, Testers, DevOps, Logistics",FA821920C0006,BOA,Low,0.0,,,"ISSOs, Testers, DevOps, Logistics",2020-09-08,2029-03-10,2029-03-10,"$13,293,562,839.00","$10,801,259,923.19","ROY, UTAH",336414,AC24,D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,FA8219   AFNWC PZBG (Department of the Air Force),NONE,2020-09-08,Guided Missile and Space Vehicle Manufacturing,True,,,,,,,No Match
Basic Ordering Agreement (NG Staff Augmentation),BOA,Other,nan,"Secret, Top Secret",Medium,nan,nan,Roy UT; Colorado Springs CO; Hill AFB UT,“General surge & staff augmentation”; “BOA”,Prime Technical Services,nan,nan,Northrop Grumman,nan,nan,"“BOA – General surge & staff augmentation – ISSOs, Testers, DevOps, Logistics – Roy, UT / COS / Hill AFB”",ISSOs; testers; DevOps engineers; logistics support staff,FA821920C0006,BOA,Low,0.0,,,ISSOs; testers; DevOps engineers; logistics support staff,2020-09-08,2029-03-10,2029-03-10,"$13,293,562,839.00","$10,801,259,923.19","ROY, UTAH",336414,AC24,D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,FA8219   AFNWC PZBG (Department of the Air Force),NONE,2020-09-08,Guided Missile and Space Vehicle Manufacturing,True,,,,,,,No Match
Basic Ordering Agreement Support (Northrop Surge),BOA,Other,Medium,"Secret, Top Secret",Medium,nan,BOA,Roy UT; Colorado Springs CO; Hill AFB UT,"“Surge Support, ISSO, Logistics”",Prime TS,nan,nan,Northrop Grumman,IT Ops,nan,“BOA – general surge and staff augmentation”,ISSOs; testers; DevOps engineers,FA821920C0006,BOA,Low,0.0,,,ISSOs; testers; DevOps engineers,2020-09-08,2029-03-10,2029-03-10,"$13,293,562,839.00","$10,801,259,923.19","ROY, UTAH",336414,AC24,D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,FA8219   AFNWC PZBG (Department of the Air Force),NONE,2020-09-08,Guided Missile and Space Vehicle Manufacturing,True,,,,,,,No Match
Battlefield Info Collection & Exploitation System (BICES-X),BICES-X,DoD,nan,"Secret, TS/SCI",High,$5B,nan,Worldwide coalition networks,“BICES → MPE transition; Capgemini team”,Capgemini; various coalition-support subs,nan,nan,GDIT (incumbent pre-MPE),nan,nan,“MPE contract replacing BICES… Capgemini involvement”,Multilingual service desk; cross-domain IT; coalition network support,19AQMM18C0185,BICES-X,Low,0.0,,,Multilingual service desk; cross-domain IT; coalition network support,2019-06-19,2029-08-07,2029-08-07,"$2,075,898,749.00","$1,495,085,754.52","SPRINGFIELD, VIRGINIA",541614,R706,SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",ACQUISITIONS - AQM MOMENTUM (Department of State),NONE,2018-09-05,"Process, Physical Distribution, and Logistics Consulting Services",,,,,,,,No Match
Battlefield Information Collection & Exploitation System,BICES,DoD,nan,TS/SCI,High,nan,nan,Norfolk VA; Tampa FL; Doral FL; EU sites,“Coalition intel networks; TS/SCI network engineers”,Insight Global; Apex Systems; TEKsystems,nan,nan,GDIT,nan,nan,“BICES – PTS filled Senior Network Engineers (Norfolk/Tampa/Doral)”,Senior network engineers; Linux admins; ServiceNow architects,19AQMM18C0185,BICES,Low,0.0,,Network Administration,Senior network engineers; Linux admins; ServiceNow architects,2019-06-19,2029-08-07,2029-08-07,"$2,075,898,749.00","$1,495,085,754.52","SPRINGFIELD, VIRGINIA",541614,R706,SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",ACQUISITIONS - AQM MOMENTUM (Department of State),NONE,2018-09-05,"Process, Physical Distribution, and Logistics Consulting Services",,,,,,,,No Match
BICES Defense Intelligence Agency Variant,BICES,DIA,nan,TS/SCI,Medium,$500M,nan,Offutt AFB; RAF Molesworth,“USSTRATCOM; BICES; coalition networks”,nan,nan,nan,CACI + Leidos + Peraton + SAIC (various subs),Intel,nan,Prime TS BD Automation Playbook (L200–L220),Network engineers; sysadmins; cyber analysts,FA251822F0034,BICES,Medium,2.0,,Network Administration,Network engineers; sysadmins; cyber analysts,2022-06-27,2026-06-28,2027-06-28,"$694,278.73","$2,893,647.82","COLORADO SPRINGS, COLORADO",541512,R425,EMX1P81U9GG5,"APOGEE-SAIC CAPABILITIES INTEGRATOR, LLC",FA2518  USSF SPOC/SAIO (Department of the Air Force),8A,2022-06-27,Computer Systems Design Services,,,,,,,,No Match
BICES-X / Mission Partner Environment,BICES-X / MPE,DoD,nan,"Secret, TS/SCI",High,$881M,nan,EUCOM / CENTCOM / PACOM nodes,“Coalition IT O&M; CDS”,Leidos; Capgemini,nan,nan,GDIT,nan,nan,Program lineage notes,Coalition IT O&M; CDS support,19AQMM18C0185,BICES-X / MPE,Low,0.0,,,Coalition IT O&M; CDS support,2019-06-19,2029-08-07,2029-08-07,"$2,075,898,749.00","$1,495,085,754.52","SPRINGFIELD, VIRGINIA",541614,R706,SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",ACQUISITIONS - AQM MOMENTUM (Department of State),NONE,2018-09-05,"Process, Physical Distribution, and Logistics Consulting Services",,,,,,,,No Match
BOA (General Staff Augmentation),BOA,Other,High,Secret,High,nan,BOA,Roy UT; Colorado Springs CO; Hill AFB,“General surge & staff augmentation”,nan,nan,nan,Northrop Grumman,IT Ops,nan,BOA operations reference,ISSOs; testers; DevOps; logistics,FA821920C0006,BOA,Low,0.0,,,ISSOs; testers; DevOps; logistics,2020-09-08,2029-03-10,2029-03-10,"$13,293,562,839.00","$10,801,259,923.19","ROY, UTAH",336414,AC24,D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,FA8219   AFNWC PZBG (Department of the Air Force),NONE,2020-09-08,Guided Missile and Space Vehicle Manufacturing,True,,,,,,,No Match
BOA (Northrop Surge),BOA,Other,nan,"Secret, Top Secret",Medium,nan,nan,Roy UT; Colorado Springs CO; Hill AFB,“General surge & staff augmentation”,nan,nan,nan,Northrop Grumman,nan,nan,BOA support description,ISSOs; testers; DevOps engineers; logistics,FA821920C0006,BOA,Low,0.0,,,ISSOs; testers; DevOps engineers; logistics,2020-09-08,2029-03-10,2029-03-10,"$13,293,562,839.00","$10,801,259,923.19","ROY, UTAH",336414,AC24,D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,FA8219   AFNWC PZBG (Department of the Air Force),NONE,2020-09-08,Guided Missile and Space Vehicle Manufacturing,True,,,,,,,No Match
Business Operations & Analytics,BOA,DoD,Medium,"Secret, Top Secret",Medium,Multi-$M,Services,Roy UT; Hill AFB UT; Colorado Springs CO,“Staff augmentation; BOA”,Insight Global; Apex Systems,Target,nan,Northrop Grumman,IT Ops,nan,“Northrop programs supported by Prime TS”,ISSOs; DevOps; testers; logistics analysts,FA821920C0006,BOA,Low,0.0,,,ISSOs; DevOps; testers; logistics analysts,2020-09-08,2029-03-10,2029-03-10,"$13,293,562,839.00","$10,801,259,923.19","ROY, UTAH",336414,AC24,D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,FA8219   AFNWC PZBG (Department of the Air Force),NONE,2020-09-08,Guided Missile and Space Vehicle Manufacturing,True,,,,,,,No Match
"C2BMC (Command & Control, Battle Mgmt, Comms)",C2BMC,MDA,nan,TS/SCI,High,$5B,nan,Colorado Springs; Huntsville AL,“MDA; C2BMC; BMC3; missile defense”,SAIC; Northrop,nan,nan,Lockheed Martin,nan,nan,Multiple BD docs referencing C2BMC,Software engineers; missile defense integrators; C2 / BMC3 engineers,W31P4Q20C0023,C2BMC,Medium,1.0,,,Software engineers; missile defense integrators; C2 / BMC3 engineers,2020-04-30,2033-09-30,2033-09-30,,"$10,449,280,456.95","GRAND PRAIRIE, TEXAS",336414,1410,XFJMYSYFJEK4,LOCKHEED MARTIN CORPORATION,W6QK ACC-RSA (Department of the Army),NONE,2020-04-30,Guided Missile and Space Vehicle Manufacturing,,,,,,,,No Match
CAAC (Peraton),CAAC,DoD,🟡 Medium,Secret,Medium,nan,Program,Secret,IT Ops,nan,nan,nan,Peraton,Professional Services,nan,Medium,“CAAC-PERATON”,47QFCA19F0033,CAAC,Medium,1.0,,,“CAAC-PERATON”,2019-02-11,2024-02-11,2024-02-11,"$166,965,334.00","$487,767,432.14","FORT GEORGE G MEADE, MARYLAND",541330,R499,CJ38H41QMGA1,PERATON TECHNOLOGY SERVICES INC.,GSA FAS AAS FEDSIM (Federal Acquisition Service),None,2018-12-14,Engineering Services,,,,,,,,No Match
CAMMO (AF Satellite Control Network O&M),CAMMO,Space Force,nan,"Secret, TS/SCI",Medium,$446M,nan,Worldwide SATCOM tracking stations,“SATCOM O&M”,L3Harris; LinQuest (indicative),nan,nan,CACI,nan,nan,Program line in sheet,RF techs; schedulers; network ops; SATCOM operators,FA882316C0004,CAMMO,High,7.0,,,RF techs; schedulers; network ops; SATCOM operators,2016-06-13,2025-12-09,2025-12-09,,"$600,725,818.08","COLORADO SPRINGS, COLORADO",517410,R425,L2TTR2QRV8H9,"CACI NSS, LLC",FA8823  SUSTAINMENT MCPNT SSC/PKL (Department of the Air Force),NONE,2016-06-13,Satellite Telecommunications,,,,,,,,No Match
CBP Enterprise IT Support,CBP-Peraton,DHS,Medium,"Public Trust, Secret",Medium,nan,Services,CBP sites nationwide,“Border IT”,nan,nan,nan,Peraton,IT Ops,nan,Program line,IT/cyber support staff; network engineers; help desk,GST0011AJ0025,CBP-Peraton,Medium,2.0,,,IT/cyber support staff; network engineers; help desk,2011-02-02,2018-05-02,2018-05-02,"$87,543,399.00","$609,128,623.96","MC LEAN, VIRGINIA",541512,R499,JER6HDF9APP1,NORTHROP GRUMMAN INFORMATION TECHNOLOGY INC, (),NONE,2011-02-02,Computer Systems Design Services,,,,,,,,No Match
CBP Traveler Processing & Vetting / BISS,TPVS / BISS,DHS,Medium,"TS/SCI, Top Secret",Medium,nan,~2020–2026,TS (some SCI),IT Ops / Analytics,nan,nan,nan,ManTech (TPVS/BISS); CACI (BISS follow-on),Professional Services,nan,Medium,“ManTech Data Scientist SME… TPVS/BISS… Ashburn”,70B04C20F00001357,TPVS / BISS,High,3.0,Data Analytics,,“ManTech Data Scientist SME… TPVS/BISS… Ashburn”,2021-09-26,2026-09-25,2026-09-25,,"$251,830,777.48","HERNDON, VIRGINIA",541512,D399,JY2BDT2K58Z6,"MANTECH ADVANCED SYSTEMS INTERNATIONAL, INC.",INFORMATION TECHNOLOGY CONTRACTING DIVISION (U.S. Customs and Border Protection),None,2020-09-29,Computer Systems Design Services,,,,,,,,No Match
CDAO Advanced AI Tools (Scale AI OTA),Donovan,DoD,nan,TS/SCI,Medium,$100M,nan,DoD secure enclaves,“Advanced AI Tools OTA… deployable to TS/SCI enclaves”,DoD labs; integrators,nan,nan,Scale AI,R&D,nan,Program description,ML engineers; data labeling teams; AI DevOps,W911QX24F0053,Donovan,Low,0.0,AI/ML,,ML engineers; data labeling teams; AI DevOps,2024-06-18,2026-05-31,2026-05-31,"$121,483,272.68","$292,680,689.24","PALO ALTO, CALIFORNIA",541715,AC35,HNN4F9JZWDY8,PALANTIR USG INC,W6QK ACC-APG ADELPHI (Department of the Army),None,2024-06-26,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",True,,,,,,,No Match
CENTCOM Comms Tech Support V,CTSS V,DoD,nan,"Secret, Top Secret",High,$865M,nan,20 countries (SW Asia AOR),“CTSS V… 20 countries… high-turnover… AVI-SPL sub usage”,AVI-SPL,nan,nan,GovCIO (Salient CRGT),nan,nan,CTSS V entry in Top-20,Deployable comms techs; RF engineers; SATCOM; network admins,36C10B22N10030034,CTSS V,Medium,1.0,,,Deployable comms techs; RF engineers; SATCOM; network admins,2022-08-23,2026-08-22,2027-08-22,"$6,799,453.13","$308,757,507.34","COLUMBIA, MARYLAND",541512,DF01,D84JK2RNL7V4,"GOVCIO, LLC",TECHNOLOGY ACQUISITION CENTER NJ (36C10B) (Department of Veterans Affairs),None,2022-06-23,Computer Systems Design Services,,,,,,,,No Match
CENTCOM Enterprise IT Modernization,nan,DoD,nan,"Secret, Top Secret",High,$922M,nan,MacDill AFB; CENTCOM sites OCONUS,“CENTCOM EITM… GDIT… AVI-SPL subs… enterprise modernization”,AVI-SPL; IT staffing partners,nan,nan,GDIT,nan,nan,Program description,Cloud architects; cyber engineers; legacy IT sustainment,19AQMM18C0185,nan,Medium,1.0,,,Cloud architects; cyber engineers; legacy IT sustainment,2019-06-19,2029-08-07,2029-08-07,"$2,075,898,749.00","$1,495,085,754.52","SPRINGFIELD, VIRGINIA",541614,R706,SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",ACQUISITIONS - AQM MOMENTUM (Department of State),NONE,2018-09-05,"Process, Physical Distribution, and Logistics Consulting Services",,,,,,,,No Match
CISA Enterprise Support (CACI),CISA-CACI,DHS,nan,Secret,Medium,nan,nan,NCR,“CISA support”,nan,nan,nan,CACI,Cyber,nan,Program line,Cybersecurity; IT ops support,47QFRA19F0011,CISA-CACI,Medium,1.0,,,Cybersecurity; IT ops support,2019-05-08,2024-04-30,2024-04-30,"$132,392,495.00","$708,253,079.87","ARLINGTON, VIRGINIA",541512,7010,N3PBJAVNKF61,"CACI, INC. - FEDERAL",GSA FAS AAS REGION 8 (Federal Acquisition Service),None,2019-05-03,Computer Systems Design Services,,,,,,,,No Match
Cloud One,Cloud One,Air Force,nan,Secret,High,$727M,nan,Hanscom AFB; remote,“AF Cloud migration; Azure/AWS”,nan,nan,nan,SAIC,nan,nan,Cloud One value from program intel,Cloud engineers; DevSecOps; cyber,FA877319FA023,Cloud One,Medium,1.0,Cloud,,Cloud engineers; DevSecOps; cyber,2019-04-28,2025-11-27,2026-07-27,"$25,546,891.00","$40,554,571.08","SAN ANTONIO, TEXAS",541330,R425,K3XCTTC4VDR5,MOSAIC TECHNOLOGIES GROUP LLC,FA8773 ACC 38 CONS (Department of the Air Force),None,2019-03-07,Engineering Services,,,,,,,,No Match
Cloud One (USAF Cloud Program),Cloud One,Air Force,nan,Secret,High,$727M,nan,Hanscom AFB; remote,“USAF common multi-cloud environment”,Unnamed subcontractors,nan,nan,SAIC,nan,nan,Cloud One description,Cloud engineers; DevSecOps,FA877319FA023,Cloud One,Medium,1.0,Cloud,,Cloud engineers; DevSecOps,2019-04-28,2025-11-27,2026-07-27,"$25,546,891.00","$40,554,571.08","SAN ANTONIO, TEXAS",541330,R425,K3XCTTC4VDR5,MOSAIC TECHNOLOGIES GROUP LLC,FA8773 ACC 38 CONS (Department of the Air Force),None,2019-03-07,Engineering Services,,,,,,,,No Match
CMMARS (Navy Rapid C5ISR),CMMARS,Navy,Medium,Secret,Medium,nan,IDIQ,NAVWAR,“Navy rapid C5ISR”,Multiple subs,nan,nan,Multiple,C5ISR,nan,NAVWAR program entry,Rapid C5ISR engineering; prototyping; integration,nan,nan,nan,nan,,,Rapid C5ISR engineering; prototyping; integration,,,,,,,,,,,,,,,,,,,,,,No Match
CMS Enterprise Cloud Infrastructure Services,ECIS,DoD,nan,Public Trust,Medium,nan,nan,CMS,“CMS cloud”,nan,nan,nan,Peraton / SAIC (indicative),nan,nan,Row entry,Cloud engineers; cloud ops,47QFCA20F0015,ECIS,Medium,2.0,Cloud,,Cloud engineers; cloud ops,2019-12-18,2026-12-17,2026-12-17,"$96,427,530.00","$600,708,181.07","HERNDON, VIRGINIA",541512,D399,MBSRAWAQ9559,PERATON ENTERPRISE SOLUTIONS LLC,GSA FAS AAS FEDSIM (Federal Acquisition Service),None,2019-12-18,Computer Systems Design Services,,,,,,,,No Match
"Command & Control, Battle Mgmt & Comms (MDA) – Secondary Row",C2BMC,MDA,nan,"Secret, TS/SCI",Medium,nan,nan,Colorado Springs; Huntsville,“C2BMC… software/network-centric”,Parsons; Tetra Tech,nan,nan,Northrop Grumman,nan,nan,Same dataset as earlier rows,SW engineers; network engineers; cyber engineers,HQ085621C0003,C2BMC,Medium,2.0,,Software Development; Network Administration,SW engineers; network engineers; cyber engineers,2021-03-25,2028-12-31,2028-12-31,"$2,629,667,873.00","$2,395,436,919.18","CHANDLER, ARIZONA",541715,AC13,F9PAEKAAXGB6,NORTHROP GRUMMAN SYSTEMS CORPORATION,MISSILE DEFENSE AGENCY (MDA) (Missile Defense Agency),NONE,2021-03-24,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",True,,,,,,,No Match
"Command & Control, Battle Mgmt & Comms",C2BMC,MDA,nan,"Secret, TS/SCI",Medium,Multi-$B,nan,Huntsville / Schriever,Global missile defense C2,"Northrop, Raytheon subs",nan,nan,Lockheed Martin,nan,nan,nan,"C2 SW, integration",W31P4Q20C0023,C2BMC,Medium,1.0,,,"C2 SW, integration",2020-04-30,2033-09-30,2033-09-30,,"$10,449,280,456.95","GRAND PRAIRIE, TEXAS",336414,1410,XFJMYSYFJEK4,LOCKHEED MARTIN CORPORATION,W6QK ACC-RSA (Department of the Army),NONE,2020-04-30,Guided Missile and Space Vehicle Manufacturing,,,,,,,,No Match
"Command and Control, Battle Management & Communications (MDA)",C2BMC,MDA,Medium,"Secret, TS/SCI",Medium,nan,R&D,Colorado Springs CO; Huntsville AL,“MDA C2BMC heavily software/network-centric; small biz partners sought”,Parsons; Tetra Tech (support contracts cited),Target,nan,Northrop Grumman,C5ISR,nan,“C2BMC program may seek small biz partners; PTS cyber/network relevant”,Software engineers; network engineers; cyber engineers,HQ085621C0003,C2BMC,Medium,2.0,,Software Development; Network Administration,Software engineers; network engineers; cyber engineers,2021-03-25,2028-12-31,2028-12-31,"$2,629,667,873.00","$2,395,436,919.18","CHANDLER, ARIZONA",541715,AC13,F9PAEKAAXGB6,NORTHROP GRUMMAN SYSTEMS CORPORATION,MISSILE DEFENSE AGENCY (MDA) (Missile Defense Agency),NONE,2021-03-24,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",True,,,,,,,No Match
"Command and Control, Battle Management, Communications",C2BMC,MDA,nan,"Secret, TS/SCI",Medium,nan,nan,Colorado Springs CO; Huntsville AL (indicative),“C2BMC”,nan,nan,nan,Lockheed Martin,nan,nan,“C2BMC”,Systems engineers; software development/test; network engineers,DEAC0494AL85000,C2BMC,Medium,1.0,,,Systems engineers; software development/test; network engineers,1993-10-15,2017-04-30,2017-04-30,"$50,000.00","$47,838,045,445.15",NEW MEXICO,561210,M181,LUJEPCRRT377,"NATIONAL TECHNOLOGY & ENGINEERING SOLUTIONS OF SANDIA, LLC", (),None,1993-10-15,Facilities Support Services,,,,,,,,No Match
Common Open Operational Launch Range,COOLR,Space Force,nan,Secret,Medium,nan,nan,Ranges (test ranges),“Launch range C2”,nan,nan,nan,Lockheed Martin (indicative),nan,nan,nan,C2 / Range software engineers,N0001917C0001,COOLR,Low,0.0,,,C2 / Range software engineers,2017-11-17,2031-03-31,2031-03-31,"$889,068,000.00","$35,135,514,910.20","FORT WORTH, TEXAS",336411,1510,G4KDGE4JFFK7,LOCKHEED MARTIN CORPORATION,NAVAL AIR SYSTEMS COMMAND (Department of the Navy),NONE,2017-04-28,Aircraft Manufacturing,,,,,,,,No Match
Comms Technical Support V,CTSS V,DoD,nan,"Secret, Top Secret",High,$865M,nan,SW Asia AOR + MacDill AFB reach-back,“OCONUS rotations”; “$865M… OCONUS support”,Prior incumbent GDIT; AVI-SPL (A/V),nan,nan,GovCIO (Salient CRGT),nan,nan,Provided CTSS V details,Deployed comms techs; network eng; IT O&M technicians,36C10B22N10030034,CTSS V,Medium,1.0,,,Deployed comms techs; network eng; IT O&M technicians,2022-08-23,2026-08-22,2027-08-22,"$6,799,453.13","$308,757,507.34","COLUMBIA, MARYLAND",541512,DF01,D84JK2RNL7V4,"GOVCIO, LLC",TECHNOLOGY ACQUISITION CENTER NJ (36C10B) (Department of Veterans Affairs),None,2022-06-23,Computer Systems Design Services,,,,,,,,No Match
Consolidated AFSCN Mod & Ops,CAMMO,Space Force,nan,"Secret, Top Secret",High,$446M,nan,"Schriever SFB CO; worldwide tracking stations (HI, DG, UK)",“AFSCN Operations… merged three contracts… L3Harris principal subcontractor”,L3Harris; KBR/FTI; LinQuest,nan,nan,CACI (via L-3 NSS acquisition),nan,nan,CAMMO description as provided,Satellite tracking ops; RF techs; network engineers,FA882316C0004,CAMMO,High,8.0,,IT Operations,Satellite tracking ops; RF techs; network engineers,2016-06-13,2025-12-09,2025-12-09,,"$600,725,818.08","COLORADO SPRINGS, COLORADO",517410,R425,L2TTR2QRV8H9,"CACI NSS, LLC",FA8823  SUSTAINMENT MCPNT SSC/PKL (Department of the Air Force),NONE,2016-06-13,Satellite Telecommunications,,,,,,,,No Match
Consolidated AFSCN Mod & Ops – Secondary Row,CAMMO,Space Force,nan,"Secret, Top Secret",High,$446M,nan,Schriever SFB; worldwide tracking,“AFSCN O&M… merged contracts… CACI prime”,L3Harris; KBR; LinQuest,nan,nan,CACI,nan,nan,CAMMO reference,Satellite controllers; RF techs; network ops,FA882316C0004,CAMMO,High,7.0,,,Satellite controllers; RF techs; network ops,2016-06-13,2025-12-09,2025-12-09,,"$600,725,818.08","COLORADO SPRINGS, COLORADO",517410,R425,L2TTR2QRV8H9,"CACI NSS, LLC",FA8823  SUSTAINMENT MCPNT SSC/PKL (Department of the Air Force),NONE,2016-06-13,Satellite Telecommunications,,,,,,,,No Match
Conventional Prompt Strike,CPS,Army,nan,"Secret, Top Secret",Medium,Multi-$B,nan,Fleet & Army strategic sites,“Hypersonic missiles”,Northrop; others,nan,nan,Lockheed Martin,Weapon Systems,nan,nan,Hypersonic engineers; test engineers; flight test support,N0001917C0001,CPS,Medium,1.0,,,Hypersonic engineers; test engineers; flight test support,2017-11-17,2031-03-31,2031-03-31,"$889,068,000.00","$35,135,514,910.20","FORT WORTH, TEXAS",336411,1510,G4KDGE4JFFK7,LOCKHEED MARTIN CORPORATION,NAVAL AIR SYSTEMS COMMAND (Department of the Navy),NONE,2017-04-28,Aircraft Manufacturing,,,,,,,,No Match
CTSS V (Expanded Listing),CTSS V,DoD,nan,"Secret, Top Secret",High,$865M,nan,Qatar; Kuwait; Bahrain; Iraq; etc.,“Comprehensive comms & IT O&M across CENTCOM AOR”,AVI-SPL; Trace Systems (likely),nan,nan,GovCIO,nan,nan,CTSS V narrative,Comms techs; RF; SATCOM; network administrators,36C10B22N10030034,CTSS V,Low,0.0,,,Comms techs; RF; SATCOM; network administrators,2022-08-23,2026-08-22,2027-08-22,"$6,799,453.13","$308,757,507.34","COLUMBIA, MARYLAND",541512,DF01,D84JK2RNL7V4,"GOVCIO, LLC",TECHNOLOGY ACQUISITION CENTER NJ (36C10B) (Department of Veterans Affairs),None,2022-06-23,Computer Systems Design Services,,,,,,,,No Match
Data Center & Cloud Optimization,DCCO,DHS,nan,"Public Trust, Secret",Medium,nan,nan,NCR,“DHS cloud/DC”,Multiple,nan,nan,Peraton / Leidos (indicative),nan,nan,Row text,Cloud ops; DC ops,GST0011AJ0025,DCCO,Medium,2.0,Cloud,,Cloud ops; DC ops,2011-02-02,2018-05-02,2018-05-02,"$87,543,399.00","$609,128,623.96","MC LEAN, VIRGINIA",541512,R499,JER6HDF9APP1,NORTHROP GRUMMAN INFORMATION TECHNOLOGY INC, (),NONE,2011-02-02,Computer Systems Design Services,,,,,,,,No Match
DC3 – Defense Cyber Crime Center,DC3,DoD,nan,TS/SCI,Medium,nan,nan,Linthicum MD,“DC3”,nan,nan,nan,Peraton,Cyber,nan,nan,Forensics; malware; cyber intel,47QFCA19F0033,DC3,Medium,1.0,,,Forensics; malware; cyber intel,2019-02-11,2024-02-11,2024-02-11,"$166,965,334.00","$487,767,432.14","FORT GEORGE G MEADE, MARYLAND",541330,R499,CJ38H41QMGA1,PERATON TECHNOLOGY SERVICES INC.,GSA FAS AAS FEDSIM (Federal Acquisition Service),None,2018-12-14,Engineering Services,,,,,,,,No Match
DC3 Cyber Crime Center – Secondary Row,DC3,DoD,nan,Secret,Medium,nan,nan,TS/SCI,Cyber,nan,nan,nan,Peraton,Cyber,nan,Medium,“DC3 forensics”,47QFCA19F0033,DC3,Medium,1.0,,,“DC3 forensics”,2019-02-11,2024-02-11,2024-02-11,"$166,965,334.00","$487,767,432.14","FORT GEORGE G MEADE, MARYLAND",541330,R499,CJ38H41QMGA1,PERATON TECHNOLOGY SERVICES INC.,GSA FAS AAS FEDSIM (Federal Acquisition Service),None,2018-12-14,Engineering Services,,,,,,,,No Match
Defense Cyber Crime Center,DC3,DoD,nan,TS/SCI,Medium,nan,nan,Linthicum MD,“DC3”,nan,nan,nan,Peraton,Cyber,nan,Row text,Digital forensics; malware analysis; cyber investigators,47QFCA19F0033,DC3,Medium,1.0,,,Digital forensics; malware analysis; cyber investigators,2019-02-11,2024-02-11,2024-02-11,"$166,965,334.00","$487,767,432.14","FORT GEORGE G MEADE, MARYLAND",541330,R499,CJ38H41QMGA1,PERATON TECHNOLOGY SERVICES INC.,GSA FAS AAS FEDSIM (Federal Acquisition Service),None,2018-12-14,Engineering Services,,,,,,,,No Match
Defense Enclave Services,DES,DoD,nan,Secret,High,$11.5B,nan,Fort Belvoir VA (HQ),“PTS is already on DES (Fort Belvoir placements)”,PTS (subcontractor),nan,nan,Leidos,nan,nan,BD evidence,Systems engineers; IT support; service desk; NOC staff,HHSN261200800001E,DES,Low,0.0,,,Systems engineers; IT support; service desk; NOC staff,2008-09-26,2024-09-06,2024-09-06,"$1,321,327,661.00","$4,813,063,024.90","FREDERICK, MARYLAND",561210,M181,HV8BH9BPG8Y9,LEIDOS BIOMEDICAL RESEARCH INC, (),NONE,2008-09-24,Facilities Support Services,,,,,,,,No Match
