Rank,Acronym,Program Name,Prime Contractor,Agency,Contract Value,Obligated Amount,Contract Number,PoP Start,PoP End,Ultimate Completion,Recompete Date,Clearance,Locations,Typical Roles,BD Score,BD Priority,Greenfield Type,Bullhorn Placements,Bullhorn Mentions,Gap Status,NAICS,Set Aside,Vehicle Type,Subaward Total,Subaward Count,Data Source
94,,CENTCOM Enterprise IT Modernization,GDIT,DoD,$922.0M,$1.50B,19AQMM18C0185,2019-06-19,2029-08-07,2029-08-07,,"Secret, Top Secret",MacDill AFB; CENTCOM sites OCONUS,Cloud architects; cyber engineers; legacy IT sustainment,,High,,,,,541614,,Single Award,$4.52B,5952,master_db
95,,IGF::OT::IGF,"CACI, INC. - FEDERAL",Federal Acquisition,$921.5M,$921.5M,47QFCA19F0006,2019-05-20,2026-05-19,2026-05-19,2026-05-19,Secret,"FORT BELVOIR, VIRGINIA",Systems Administrator; Network Engineer; Help Desk Analyst; Cloud Engineer; IT Project Manager; DevOps Engineer; Database Administrator,83,,WARM,,,,,,,,,warm_greenfield
96,ITEMSS,Army IT Enterprise Mgmt Systems Solution,CACI,Army,$880.0M,$708.3M,47QFRA19F0011,2019-05-08,2024-04-30,2024-04-30,,"Public Trust, Secret",Arlington VA; Springfield VA; National Guard sites nationwide,Agile software developers; cybersecurity engineers; trainers; distance-learning and ERP support,,High,,1,,,541512,,GWAC,$10.0M,2,master_db
97,CTSS V,CENTCOM Comms Tech Support V,GovCIO (Salient CRGT),DoD,$865.0M,$308.8M,36C10B22N10030034,2022-08-23,2026-08-22,2027-08-22,,"Secret, Top Secret",20 countries (SW Asia AOR),Deployable comms techs; RF engineers; SATCOM; network admins,,High,,,,,541512,,Single Award,$322.3M,114,master_db
98,NEE,NGA Enterprise Engineering,Peraton (Perspecta heritage),NGA,$824.0M,$1.41B,80GSFC19C0063,2019-10-01,2026-03-31,2026-03-31,,TS/SCI,Springfield VA; St. Louis MO,Cloud engineers; enterprise architects; GEOINT IT,,Medium,,2,,,517919,,Single Award,$637.9M,1514,master_db
99,ECIS,CMS Enterprise Cloud Infrastructure Services,Peraton / SAIC (indicative),DoD,$810.6M,$600.7M,47QFCA20F0015,2019-12-18,2026-12-17,2026-12-17,,Public Trust,CMS,Cloud engineers; cloud ops,,Medium,,52,,,541512,,Services,$271.6M,138,master_db
100,DFAS-Peraton,DFAS Enterprise IT Support – Secondary Row,Peraton,DoD,$810.6M,$600.7M,47QFCA20F0015,2019-12-18,2026-12-17,2026-12-17,,Public Trust,DFAS nationwide,Financial IT; ERP modernization,,Medium,,5,,,541512,,Services,$271.6M,138,master_db
101,DIMS,DIMS (Peraton),Peraton,Air Force,$810.6M,$600.7M,47QFCA20F0015,2019-12-18,2026-12-17,2026-12-17,,Secret,Secret,Data analysts; IT sustainment; cloud/DB support,,Medium,,2,,,541512,,PROGRAM,$271.6M,138,master_db
102,C5ISR,AWARD OF TASK ORDER 47QFCA210051-NAWCAD,GENERAL DYNAMICS INFORMAT,Federal Acquisition,$805.0M,$805.0M,47QFCA21F0051,2021-07-01,2026-06-30,2026-06-30,2026-06-30,Secret,"SAINT INIGOES, MARYLAND",Information Systems Security Officer (ISSO); Cybersecurity Analyst; Security Engineer; ISSM; SOC Analyst; Penetration Tester; RMF Analyst; Data Engineer; Data Scientist; Business Intelligence Analyst; Data Architect; ETL Developer,77,,WARM,,,,,,,,,warm_greenfield
103,FCO,CONSOLIDATION AND FOLLOW-ON TO 22C1003 A,GENERAL DYNAMICS MISSION,Department of the Na,$796.0M,$796.0M,N0003024C1005,2023-10-01,2024-12-31,2024-12-31,2024-12-31,Secret,"PITTSFIELD, MASSACHUSETTS",Systems Engineer; Test Engineer; Requirements Analyst; Configuration Manager; Technical Writer; Integration Engineer; Logistics Analyst,66,,WARM,,,,,,,,,warm_greenfield
104,DODIN/DISN,OPERATION AND SUSTAINMENT OF THE DODIN/D,"LEIDOS, INC.",Defense Information,$776.0M,$776.0M,HC102820F0032,2020-11-19,2025-11-18,2025-11-18,2025-11-18,TS/SCI w/ Poly,"FORT GEORGE G MEADE, MARYLAND",Information Systems Security Officer (ISSO); Cybersecurity Analyst; Security Engineer; ISSM; SOC Analyst; Penetration Tester; RMF Analyst; Data Engineer; Data Scientist; Business Intelligence Analyst; Data Architect; ETL Developer,73,,WARM,,,,,,,,,warm_greenfield
105,MDA,200301!000025!9700!ZD60  !MISSILE DEFENS,GENERAL DYNAMICS INFORMAT,,$766.0M,$766.0M,HQ000603C0003,2002-10-21,2014-06-30,2014-06-30,2014-06-30,Secret,"nan, VIRGINIA",Information Systems Security Officer (ISSO); Cybersecurity Analyst; Security Engineer; ISSM; SOC Analyst; Penetration Tester; RMF Analyst; Data Engineer; Data Scientist; Business Intelligence Analyst; Data Architect; ETL Developer,53,,WARM,,,,,,,,,warm_greenfield
106,AESD,Army AESD Enterprise Service Desk,SAIC,Army,$757.0M,$39.9M,FA877319FA023,2019-04-28,2025-10-27,2026-07-27,,Secret,Fort Liberty NC; Fort Sam Houston TX,Helpdesk agents; desktop techs; Tier 1–2 enterprise IT support,,High,,,,,541330,,Single Award,,0,master_db
107,SOF ETOPS,SPECIAL OPERATIONS FORCES EMERGING THREA,"CACI NSS, LLC",Federal Acquisition,$729.0M,$729.0M,47QFCA21F0087,2021-09-30,2026-09-29,2026-09-29,2026-09-29,,"FORT BRAGG, NORTH CAROLINA",Systems Engineer; Test Engineer; Requirements Analyst; Configuration Manager; Technical Writer; Integration Engineer; Logistics Analyst,74,,WARM,,,,,,,,,warm_greenfield
108,OASIS,GSA OASIS,100+ primes (Pools 1–6),DoD,$722.1M,,,,,,,Secret,Government-wide,A&AS; management; engineering,,Medium,,,,,,,GWAC,,0,master_db
109,HR3DGI,IGF::OT::IGF HIGH RESOLUTION 3D GEOSPATI,"Leidos, Inc.",Federal Acquisition,$694.3M,$694.3M,GSQ0116BK0198,2021-09-06,2025-12-31,2025-12-31,2025-12-31,TS/SCI w/ Poly,"RESTON, VIRGINIA",Information Systems Security Officer (ISSO); Cybersecurity Analyst; Security Engineer; ISSM; SOC Analyst; Penetration Tester; RMF Analyst; Data Engineer; Data Scientist; Business Intelligence Analyst; Data Architect; ETL Developer,59,,WARM,,,,,,,,,warm_greenfield
110,,SERVICES 01 JAN 09 TO 31 DEC 09,GENERAL DYNAMICS INFORMAT,Department of the Ai,$684.9M,$684.9M,FA701407C0009,2007-01-01,2016-07-31,2016-07-31,2016-07-31,Secret,"ARLINGTON, VIRGINIA",Information Systems Security Officer (ISSO); Cybersecurity Analyst; Security Engineer; ISSM; SOC Analyst; Penetration Tester; RMF Analyst; Data Engineer; Data Scientist; Business Intelligence Analyst; Data Architect; ETL Developer,57,,WARM,,,,,,,,,warm_greenfield
111,,200411!000222!1700!A8304 !NAVAL AIR WARF,GENERAL DYNAMICS INFORMAT,,$674.4M,$674.4M,N6133904F1001,2004-07-15,2008-04-30,2008-04-30,2008-04-30,Secret,"FAIRFAX, VIRGINIA",Information Systems Security Officer (ISSO); Cybersecurity Analyst; Security Engineer; ISSM; SOC Analyst; Penetration Tester; RMF Analyst; Data Engineer; Data Scientist; Business Intelligence Analyst; Data Architect; ETL Developer,53,,WARM,,,,,,,,,warm_greenfield
112,,FUNDING CORE   BASE PERIOD  IGF::OT::IGF,GENERAL DYNAMICS INFORMAT,Department of the Ar,$666.5M,$666.5M,0142,2006-06-16,2012-09-30,2012-09-30,2012-09-30,Secret,"HERNDON, VIRGINIA",Information Systems Security Officer (ISSO); Cybersecurity Analyst; Security Engineer; ISSM; SOC Analyst; Penetration Tester; RMF Analyst; Data Engineer; Data Scientist; Business Intelligence Analyst; Data Architect; ETL Developer,63,,WARM,,,,,,,,,warm_greenfield
113,ATOP,ADVANCED TECHNOLOGIES AND OCEANIC PROCED,"LEIDOS, INC.",,$656.2M,$656.2M,DTFA0101CA0065CALL0001,,,,,TS/SCI w/ Poly,"ROCKVILLE, MARYLAND",Information Systems Security Officer (ISSO); Cybersecurity Analyst; Security Engineer; ISSM; SOC Analyst; Penetration Tester; RMF Analyst; Data Engineer; Data Scientist; Business Intelligence Analyst; Data Architect; ETL Developer,53,,WARM,,,,,,,,,warm_greenfield
114,,current,,,$621.7M,,,,,,,,,,,,,,,,,,,,0,master_db
115,,CONTRACTOR TO PROVIDE DEVELOPMENT&DATABA,"LEIDOS, INC.",Social Security Admi,$593.5M,$593.5M,28321318FDS030247,,,,,TS/SCI w/ Poly,"BALTIMORE, MARYLAND",Information Systems Security Officer (ISSO); Cybersecurity Analyst; Security Engineer; ISSM; SOC Analyst; Penetration Tester; RMF Analyst; Data Engineer; Data Scientist; Business Intelligence Analyst; Data Architect; ETL Developer,56,,WARM,,,,,,,,,warm_greenfield
116,HITS / HITS-U,DoD High Performance Computing Modernization Program – HITS / HITS-U Support,SAIC,DoD,$586.0M,$39.9M,FA877319FA023,2019-04-28,2025-10-27,2026-07-27,,"Public Trust, Secret",DSRC sites: ERDC (Vicksburg MS); ARL (Aberdeen MD); AFRL (Wright-Patterson AFB OH),HPC system administrators; network engineers; computational scientists; storage engineers; Linux cluster admins; petascale systems operators,,High,,,,,541330,,,,0,master_db
117,HPCMP (HITS-U),DoD HPC Modernization Program Support (HITS-U),SAIC,Army,$586.0M,,,,,,,Secret,Vicksburg MS; Aberdeen MD; Wright-Patterson AFB; other DSRCs,HPC sysadmins; computational scientists; network engineers,,High,,,,,,,Single Award,,0,master_db
118,EMITS,ENTERPRISE MISSION INFORMATION TECHNOLOG,GENERAL DYNAMICS INFORMAT,Federal Acquisition,$583.6M,$583.6M,47QFMA21F0003,,,,,Secret,"nan, nan",Information Systems Security Officer (ISSO); Cybersecurity Analyst; Security Engineer; ISSM; SOC Analyst; Penetration Tester; RMF Analyst; Data Engineer; Data Scientist; Business Intelligence Analyst; Data Architect; ETL Developer,62,,WARM,,,,,,,,,warm_greenfield
119,,JLTV,,,$580.2M,,,,,,,,,,,,,,,,,,,,0,master_db
120,DCAT,DCAT4 TASK ORDER AWARDED,LEIDOS SMS INC,,$574.5M,$574.5M,VA11810000004,,,,,TS/SCI w/ Poly,"AUSTIN, TEXAS",Information Systems Security Officer (ISSO); Cybersecurity Analyst; Security Engineer; ISSM; SOC Analyst; Penetration Tester; RMF Analyst; Data Engineer; Data Scientist; Business Intelligence Analyst; Data Architect; ETL Developer,53,,WARM,,,,,,,,,warm_greenfield
121,,Alliant,,,$562.2M,,,,,,,,,,,,,,,,,,,,0,master_db
122,ESA V,ESA V MANAGED SERVICES (ATF AND FCS),"Leidos, Inc.","Bureau of Alcohol, T",$555.8M,$555.8M,15A00020FAQA00189,,,,,TS/SCI w/ Poly,"WASHINGTON, DISTRICT OF COLUMBIA",Information Systems Security Officer (ISSO); Cybersecurity Analyst; Security Engineer; ISSM; SOC Analyst; Penetration Tester; RMF Analyst; Data Engineer; Data Scientist; Business Intelligence Analyst; Data Architect; ETL Developer,68,,WARM,,,,,,,,,warm_greenfield
123,SENS3,IGF::OT::IGF SENS3 AWARD,"LEIDOS, INC.",Federal Acquisition,$550.4M,$550.4M,GSQ0017AJ0079,,,,,TS/SCI w/ Poly,"WASHINGTON, DISTRICT OF COLUMBIA",Information Systems Security Officer (ISSO); Cybersecurity Analyst; Security Engineer; ISSM; SOC Analyst; Penetration Tester; RMF Analyst; Data Engineer; Data Scientist; Business Intelligence Analyst; Data Architect; ETL Developer,68,,WARM,,,,,,,,,warm_greenfield
124,,TAS::75 0511::TAS ENTERPRISE SYSTEMS DEV,GENERAL DYNAMICS INFORMAT,Department of the Army,$549.9M,$666.5M,0142,2006-06-16,2012-09-30,2012-09-30,2012-09-30,Secret,"HERNDON, VIRGINIA",Information Systems Security Officer (ISSO); Cybersecurity Analyst; Security Engineer; ISSM; SOC Analyst; Penetration Tester; RMF Analyst; Data Engineer; Data Scientist; Business Intelligence Analyst; Data Architect; ETL Developer,63,,WARM,,,,,,,,,warm_greenfield
125,,Weapons System,,,$510.1M,,,,,,,,,,,,,,,,,,,,0,master_db
126,,NTT Applications & BPS Support,NTT DATA,DoD,$500.0M,,HHSN316201500016W,,,,,"Public Trust, Secret",Texas; remote CONUS,Application engineers; business analysts; apps/BPS support,,Medium,,,,,,,Services,,0,master_db
127,,NTT DATA Enterprise Architecture (BPS / Apps),NTT DATA,DoD,$500.0M,,HHSN316201500016W,,,,,"Public Trust, Secret",U.S. – Heredia CR; Atlanta GA; remote,"Enterprise architects; solution architects (BPS, applications)",,Medium,,,,,,,Services,,0,master_db
128,,aerospace,,,$478.6M,,,,,,,,,,,,,,,,,,,,0,master_db
129,BEAGLE,BORDER ENFORCEMENT APPLICATIONS FOR GOVE,"CACI, INC. - FEDERAL",U.S. Customs and Bor,$467.9M,$467.9M,70B04C24F00001129,2024-09-30,2026-09-29,2026-09-29,2026-09-29,,"ASHBURN, VIRGINIA",Systems Administrator; Network Engineer; Help Desk Analyst; Cloud Engineer; IT Project Manager; DevOps Engineer; Database Administrator,68,,WARM,,,,,,,,,warm_greenfield
130,HIGLAS,ATLANTIC RANGES ENGINEERING AND TECHNICA,GENERAL DYNAMICS INFORMAT,Department of the Na,$455.7M,$144.8M,75FCMC23F0156,,,,,Secret,"WINDSOR MILL, MARYLAND",Information Systems Security Officer (ISSO); Cybersecurity Analyst; Security Engineer; ISSM; SOC Analyst; Penetration Tester; RMF Analyst; Data Engineer; Data Scientist; Business Intelligence Analyst; Data Architect; ETL Developer,59,,WARM,,,,,,,,,warm_greenfield
131,NISSC II,NORAD/NORTHCOM IT Infrastructure Support (NISSC II),Jacobs,Air Force,$455.0M,$2.10B,NNK13MA14C,2013-03-01,2023-04-30,2023-04-30,,TS/SCI w/ Poly,Peterson SFB CO; Cheyenne Mountain CO; Offutt AFB NE; Vandenberg CA,24×7 help desk; systems admins; ISSOs; network/security ops; missile-warning IT support,,High,,,,,541712,,Single Award,$12.34B,1368,master_db
132,DE&DT,DIGITAL ENGINEERING AND DIGITAL TRANSFOR,"CACI, INC. - FEDERAL",Department of the Ai,$450.6M,$450.6M,FA807522F0030,2022-05-04,2027-05-04,2027-05-04,2027-05-04,Secret,"ABERDEEN PROVING GROUND, MARYLAND",,71,,WARM,,,,,,,,,warm_greenfield
133,CAMMO,CAMMO (AF Satellite Control Network O&M),CACI,Space Force,$446.0M,$600.7M,FA882316C0004,2016-06-13,2025-12-09,2025-12-09,,"Secret, TS/SCI",Worldwide SATCOM tracking stations,RF techs; schedulers; network ops; SATCOM operators,,Medium,,,,CRITICAL_GAP,517410,,Single Award,$11.6M,68,master_db
134,NAVAIR CSM,AWARD MADE TO GENERAL DYNAMIC INFORMATIO,GENERAL DYNAMICS INFORMAT,Federal Acquisition,$445.8M,$445.8M,GSQ0017AJ0018,,,,,Secret,"SAINT INIGOES, MARYLAND",Information Systems Security Officer (ISSO); Cybersecurity Analyst; Security Engineer; ISSM; SOC Analyst; Penetration Tester; RMF Analyst; Data Engineer; Data Scientist; Business Intelligence Analyst; Data Architect; ETL Developer,59,,WARM,,,,,,,,,warm_greenfield
135,INDOPACOM C5ISR,INDOPACOM C5ISR Support,Amentum,DoD,$441.0M,,4,,,,,"Secret, TS/SCI",Camp HM Smith HI; Pacific sites,IT & cyber analysts; comms engineers; systems integrators,,High,,1,,,,,,,0,master_db
136,HCQIS,TAS::75 0119 000::TAS HCQIS PHASE II: IN,General Dynamics Informat,,$426.5M,$426.5M,HHSM500200900029C,,,,,Secret,"WARRENTON, VIRGINIA",Information Systems Security Officer (ISSO); Cybersecurity Analyst; Security Engineer; ISSM; SOC Analyst; Penetration Tester; RMF Analyst; Data Engineer; Data Scientist; Business Intelligence Analyst; Data Architect; ETL Developer,50,,WARM,,,,,,,,,warm_greenfield
137,,"IGF::CL,CT::IGF THE PURPOSE OF THIS TO I","CACI NSS, LLC",,$424.4M,$424.4M,GST0013AJ0065,,,,,,"RESTON, VIRGINIA",Systems Administrator; Network Engineer; Help Desk Analyst; Cloud Engineer; IT Project Manager; DevOps Engineer; Database Administrator,59,,WARM,,,,,,,,,warm_greenfield
138,,multiple,,,$422.3M,,,,,,,,,,,,,,,,,,,,0,master_db
139,CSIA,CSIA DIVISION SUPPORT SERVICES,"CACI, INC. - FEDERAL",Federal Acquisition,$420.8M,$420.8M,47QFWA20F0011,,,,,,"ABERDEEN, MARYLAND",Systems Administrator; Network Engineer; Help Desk Analyst; Cloud Engineer; IT Project Manager; DevOps Engineer; Database Administrator,50,,WARM,,,,,,,,,warm_greenfield
140,ELITE,ENTERPRISE LEVEL IT EXPERTISE ELITE,"CACI, INC. - FEDERAL",Federal Acquisition,$407.7M,$407.7M,47QFMA24F0014,,,,,,"nan, nan",Systems Administrator; Network Engineer; Help Desk Analyst; Cloud Engineer; IT Project Manager; DevOps Engineer; Database Administrator,62,,WARM,,,,,,,,,warm_greenfield
141,,DARPA,,,$407.4M,,,,,,,,,,,,,,,,,,,,0,master_db
142,EITSS,Army AvMC Enterprise IT Support,IPTA (SDVOSB),Army,$404.0M,,,,,,,Secret,Redstone Arsenal AL,Help desk; sysadmins; network operations; user support; IT ops,,High,,,,,,,Single Award,,0,master_db
143,,DTRA,,,$401.6M,,,,,,,,,,,,,,,,,,,,0,master_db
144,DTRA IMAX,DTRA IMAX DA,"CACI NSS, LLC",Federal Acquisition,$401.6M,$401.6M,47QFCA21F0057,2021-06-30,2023-06-29,2026-06-29,2026-06-29,,"RESTON, VIRGINIA",Systems Engineer; Test Engineer; Requirements Analyst; Configuration Manager; Technical Writer; Integration Engineer; Logistics Analyst,68,,WARM,,,,,,,,,warm_greenfield
145,ISEO,DIA Information Systems Engineering Office,Leidos,DIA,$400.0M,$4.81B,HHSN261200800001E,2008-09-26,2024-09-06,2024-09-06,,TS/SCI,Reston VA; JBAB DC,Sysadmin; help desk; desktop support,,High,,2,,,561210,,IDIQ,$1.08B,2094,master_db
146,ISEO (ISE Ops),Integrated Strategic & Expeditionary Operations (DIA ISEO variant),Leidos,DIA,$400.0M,$862.6M,70T04019C9DAP3006,2019-10-01,2025-03-31,2025-03-31,,TS/SCI,Washington DC; Quantico VA; Bolling AFB,IT support; help desk; desktop support; enterprise sustainment,,Medium,,,,,811219,,Services,$556.9M,222,master_db
147,,DIA ISEO (IT Sustainment & Enterprise Ops),,DIA,$400.0M,,,,,,,,"JB Anacostia-Bolling DC, DIA field offices",,,High,,,,,,,,,0,master_db
148,,THE SCOPE OF THIS REQUIREMENT INCLUDES P,GENERAL DYNAMICS INFORMAT,Federal Acquisition,$399.5M,$399.5M,47QFCA20F0049,,,,,Secret,"DORAL, FLORIDA",Information Systems Security Officer (ISSO); Cybersecurity Analyst; Security Engineer; ISSM; SOC Analyst; Penetration Tester; RMF Analyst; Data Engineer; Data Scientist; Business Intelligence Analyst; Data Architect; ETL Developer,59,,WARM,,,,,,,,,warm_greenfield
149,NSWC SHIP DESIGN,SHIP DESIGN SERVICES,GENERAL DYNAMICS INFORMAT,Department of the Na,$391.2M,$391.2M,EH02,2008-12-19,2018-09-01,2018-09-01,2018-09-01,Secret,"WASHINGTON NAVY YARD, DISTRICT OF COLUMBIA",Information Systems Security Officer (ISSO); Cybersecurity Analyst; Security Engineer; ISSM; SOC Analyst; Penetration Tester; RMF Analyst; Data Engineer; Data Scientist; Business Intelligence Analyst; Data Architect; ETL Developer,54,,WARM,,,,,,,,,warm_greenfield
150,MAINES,MAINES,GENERAL DYNAMICS INFORMAT,Federal Acquisition,$389.1M,$389.1M,47QFCA22F0018,,,,,Secret,"DURHAM, NORTH CAROLINA",Information Systems Security Officer (ISSO); Cybersecurity Analyst; Security Engineer; ISSM; SOC Analyst; Penetration Tester; RMF Analyst; Data Engineer; Data Scientist; Business Intelligence Analyst; Data Architect; ETL Developer,59,,WARM,,,,,,,,0,master_db
151,CENTCOM C4,IGF::OT::IGF   THE EFFORT WILL SUPPORT A,"LEIDOS, INC.",,$387.0M,$387.0M,GST0012AJ0127,,,,,TS/SCI w/ Poly,"TAMPA, FLORIDA",Information Systems Security Officer (ISSO); Cybersecurity Analyst; Security Engineer; ISSM; SOC Analyst; Penetration Tester; RMF Analyst; Data Engineer; Data Scientist; Business Intelligence Analyst; Data Architect; ETL Developer,59,,WARM,,,,,,,,,warm_greenfield
152,,month,,,$383.1M,,,,,,,,,,,,,,,,,,,,0,master_db
153,VA IOSS,IGF::OT::IGF  INFRASTRUCTURE OPERATIONS,LEIDOS SMS INC,Department of Vetera,$372.2M,$372.2M,36C10B18N10040007,,,,,TS/SCI w/ Poly,"AUSTIN, TEXAS",Information Systems Security Officer (ISSO); Cybersecurity Analyst; Security Engineer; ISSM; SOC Analyst; Penetration Tester; RMF Analyst; Data Engineer; Data Scientist; Business Intelligence Analyst; Data Architect; ETL Developer,59,,WARM,,,,,,,,,warm_greenfield
154,STAMP,THIS TASK ORDER IS CREATED FOR OPERATION,"LEIDOS, INC.",Department of the Ar,$372.1M,$372.1M,W56KGY20F0067,2020-07-31,2026-02-16,2026-02-16,2026-02-16,TS/SCI w/ Poly,"RESTON, VIRGINIA",Information Systems Security Officer (ISSO); Cybersecurity Analyst; Security Engineer; ISSM; SOC Analyst; Penetration Tester; RMF Analyst; Data Engineer; Data Scientist; Business Intelligence Analyst; Data Architect; ETL Developer,63,,WARM,,,,,,,,,warm_greenfield
155,SMA,SAFETY AND MISSION ASSURANCE SUPPORT SER,"Leidos, Inc.",,$360.1M,$360.1M,NNJ06JE86C,,,,,TS/SCI w/ Poly,"HOUSTON, TEXAS",Information Systems Security Officer (ISSO); Cybersecurity Analyst; Security Engineer; ISSM; SOC Analyst; Penetration Tester; RMF Analyst; Data Engineer; Data Scientist; Business Intelligence Analyst; Data Architect; ETL Developer,50,,WARM,,,,,,,,,warm_greenfield
156,LMP,LMP CORE REQUIREMENTS CY 09,GENERAL DYNAMICS INFORMAT,Department of the Ar,$352.2M,$352.2M,0101,,,,,Secret,"MOORESTOWN, NEW JERSEY",Information Systems Security Officer (ISSO); Cybersecurity Analyst; Security Engineer; ISSM; SOC Analyst; Penetration Tester; RMF Analyst; Data Engineer; Data Scientist; Business Intelligence Analyst; Data Architect; ETL Developer,54,,WARM,,,,,,,,,warm_greenfield
157,ETM,ENTERPRISE TRANSPORT MANAGEMENT (ETM) -,GENERAL DYNAMICS INFORMAT,Defense Information,$339.1M,$339.1M,HC102819F0141,2019-01-24,2026-02-08,2026-08-08,2026-08-08,Secret,"ARLINGTON, VIRGINIA",Information Systems Security Officer (ISSO); Cybersecurity Analyst; Security Engineer; ISSM; SOC Analyst; Penetration Tester; RMF Analyst; Data Engineer; Data Scientist; Business Intelligence Analyst; Data Architect; ETL Developer,81,,WARM,,,,,,,,,warm_greenfield
158,,months,,,$337.9M,,,,,,,,,,,,,,,,,,,,0,master_db
159,,Deputy,,,$317.0M,,,,,,,,,,,,,,,,,,,,0,master_db
160,,being,,,$308.8M,,,,,,,,,,,,,,,,,,,,0,master_db
161,,SOUTHCOM,,,$285.0M,,,,,,,,,,,,,,,,,,,,0,master_db
162,TPVS / BISS,CBP Traveler Processing & Vetting / BISS,ManTech (TPVS/BISS); CACI (BISS follow-on),DHS,$272.5M,$251.8M,70B04C20F00001357,2021-09-26,2026-09-25,2026-09-25,,TS/SCI,TS (some SCI),“ManTech Data Scientist SME… TPVS/BISS… Ashburn”,,Medium,,,,,541512,,~2020–2026,$267.8M,32,master_db
163,I2TS-Next,Intelligence Community Infrastructure Support,Jacobs,Army,$267.5M,$263.1M,140R4024C0013,2024-08-30,2029-12-24,2030-12-24,,TS/SCI,Fort Belvoir VA; Korea (possible),IT support; cyber security; helpdesk; systems tech,,High,,,,,237110,,,$249.5M,16,master_db
164,16AF Mission IT,16th Air Force Mission IT Support,ManTech,Air Force,$261.0M,$317.0M,FA807519FA029,2019-08-29,2024-09-30,2024-09-30,,"Secret, TS/SCI",Lackland TX; Eglin/Tyndall FL; Nellis NV; Hill UT,"Mission help desk, Software support techs, Cyber ops, EW techs",,High,,,,,541715,,,$83.0M,144,master_db
165,,USAF 16th Air Force Mission IT Support,,Air Force,$261.0M,,,,,,,,"Lackland AFB TX, Eglin AFB FL, Tyndall AFB FL, Nellis AFB NV, Hill AFB UT",,,High,,,,,,,,,0,master_db
166,SEWP,NASA SEWP,Multiple,NASA,$254.3M,,,,,,,"Public Trust, Secret",Nationwide,Hardware/software procurement; IT services; cloud,,Medium,,,,,,,GWAC,,0,master_db
167,,several,,,$232.9M,,,,,,,,,,,,,,,,,,,,0,master_db
168,,CENTCOM,,,$227.3M,,,,,,,,,,,,,,,,,,,,0,master_db
169,,Senior,,,$214.4M,,,,,,,,,,,,,,,,,,,,0,master_db
170,,hire,,,$202.7M,,,,,,,,,,,,,,,,,,,,0,master_db
171,FORGE,FORGE (OPIR Ground – Missile Warning C2),Raytheon (MDPAF); BAE (C2),Space Force,$197.0M,$8.69B,N0001918C1021,2018-03-23,2024-12-30,2024-12-30,,"Secret, TS/SCI",Buckley SFB; Aurora CO,Data processing; OPIR ops; cyber; ground segment engineers,,High,,,,CRITICAL_GAP,336412,,MULTI-PRIME,$239.5M,53,master_db
172,,Early,,,$196.2M,,,,,,,,,,,,,,,,,,,,0,master_db
173,JSP,DoD Joint Service Provider – Pentagon IT & ICAM,CACI (incumbent),DoD,$190.0M,$708.3M,47QFRA19F0011,2019-05-08,2024-04-30,2024-04-30,,"Secret, Top Secret",Pentagon; NCR,Helpdesk; deskside; VTC; ICAM,,Medium,,,,,541512,,Services,$10.0M,2,master_db
174,JSP ETM,JSP ETM (Pentagon IT),CACI,DoD,$190.0M,$960.0M,GSQ0017AJ0006,2016-10-28,2022-02-28,2022-02-28,,"Secret, TS/SCI",Pentagon / NCR,Helpdesk; classified VTC; classified desktop support,,High,,,,,541712,,,$214.2M,92,master_db
175,,6 months,,,$178.2M,,,,,,,,,,,,,,,,,,,,0,master_db
176,,CIO-SP3,,,$175.8M,,,,,,,,,,,,,,,,,,,,0,master_db
177,,1 year,,,$163.4M,,,,,,,,,,,,,,,,,,,,0,master_db
178,HBTSS,Hypersonic & Ballistic Tracking Space Sensor,Northrop & L3Harris (co-primes),MDA,$155.0M,$2.40B,HQ085621C0003,2021-03-25,2028-12-31,2028-12-31,,TS/SCI,Orbit prototypes; SDA ground centers,Space payload engineers; infrared flight SW; tracking algorithm developers,,High,,,,,541715,,R&D,$1.61B,234,master_db
179,,Another,,,$154.0M,,,,,,,,,,,,,,,,,,,,0,master_db
180,MITS,Managed IT Services (USTRANSCOM),SAIC,DoD,$150.0M,$2.9M,FA251822F0034,2022-06-27,2026-06-28,2027-06-28,,"Secret, Top Secret",Scott AFB IL,Service desk; admins; cyber analysts,,Medium,,,,,541512,8A,Single Award,,0,master_db
181,,B-21,,,$139.3M,,,,,,,,,,,,,,,,,,,,0,master_db
182,OUSD(A&S) PSS,OUSD(A&S) Professional Support Services,LMI,DoD,$116.7M,$35.14B,N0001917C0001,2017-11-17,2031-03-31,2031-03-31,,"Public Trust, Secret",Pentagon; Mark Center; Crystal City,Admin assistants; analysts; PM support,,Medium,,,,,336411,,Single Award,$19.01B,12781,master_db
183,NGC2,Army Next-Gen C2 Prototype,Anduril,Army,$100.0M,$19.3M,FA882024FB003,2024-09-27,2026-03-26,2026-03-26,,Secret,Fort Irwin test sites,Data mesh engineers; edge app developers; AI/ML integration engineers,,Medium,,60,,,541715,,OTA,,0,master_db
184,Donovan,CDAO Advanced AI Tools (Scale AI OTA),Scale AI,DoD,$100.0M,$292.7M,W911QX24F0053,2024-06-18,2026-05-31,2026-05-31,,TS/SCI,DoD secure enclaves,ML engineers; data labeling teams; AI DevOps,,Medium,,,,,541715,,OTA,,0,master_db
